handover_id,unit_id,project_id,original_handover_date,forecast_handover_date,actual_handover_date,handover_status,days_delayed,final_payment_received,customer_notified,inspection_completed,keys_released
HAN-0145,MER-P2-B2-01839,MER,2025-10-31,2025-10-31,2025-10-26,Completed,0,True,True,True,True
HAN-0146,MER-P2-B2-01841,MER,2025-10-31,2025-10-31,,On Track,0,False,True,False,False
HAN-0147,MER-P2-B2-01842,MER,2025-10-31,2025-10-31,,On Track,0,True,True,False,False
HAN-0148,MER-P2-B2-01843,MER,2025-10-31,2025-10-31,,On Track,0,True,True,False,False
HAN-0149,MER-P2-B2-01844,MER,2025-10-31,2025-11-02,,On Track,2,True,True,True,False
HAN-0150,MER-P2-B2-01845,MER,2025-10-31,2025-11-03,2025-10-30,Completed,3,True,True,True,True
HAN-0151,MER-P2-B2-01846,MER,2025-10-31,2025-11-04,,On Track,4,False,True,False,False
HAN-0152,MER-P2-B2-01847,MER,2025-10-31,2025-10-31,2025-10-27,Completed,0,True,True,True,True
HAN-0153,MER-P2-B2-01848,MER,2025-10-31,2025-10-31,,On Track,0,False,True,False,False
HAN-0154,MER-P2-B2-01849,MER,2025-10-31,2025-10-31,,On Track,0,False,True,True,False
HAN-0155,MER-P2-B2-01850,MER,2025-10-31,2025-10-31,2025-10-23,Completed,0,True,True,True,True
HAN-0156,MER-P2-B2-01851,MER,2025-10-31,2025-11-13,2025-11-05,Completed,13,True,True,True,True
HAN-0157,MER-P2-B2-01852,MER,2025-10-31,2025-11-16,,On Track,16,False,False,False,False
HAN-0158,MER-P2-B2-01854,MER,2025-10-31,2025-11-17,2025-11-11,Completed,17,True,True,True,True
HAN-0159,MER-P2-B2-01855,MER,2025-10-31,2025-10-31,2025-10-26,Completed,0,True,True,True,True
HAN-0160,MER-P2-B2-01857,MER,2025-10-31,2025-10-31,,On Track,0,False,True,False,False
HAN-0161,MER-P2-B2-01858,MER,2025-10-31,2025-10-31,,On Track,0,False,True,True,False
HAN-0162,MER-P2-B2-01859,MER,2025-10-31,2025-11-16,,On Track,16,True,True,False,False
HAN-0163,MER-P2-B2-01860,MER,2025-10-31,2025-11-09,2025-11-09,Completed,9,True,True,True,True
HAN-0164,MER-P2-B2-01861,MER,2025-10-31,2025-11-13,,On Track,13,False,False,False,False
HAN-0165,MER-P2-B2-01862,MER,2025-10-31,2025-10-31,2025-10-28,Completed,0,True,True,True,True
HAN-0166,MER-P2-B2-01863,MER,2025-10-31,2025-10-31,,On Track,0,False,True,True,False
HAN-0167,MER-P2-B2-01865,MER,2025-10-31,2025-10-31,,On Track,0,True,True,True,False
HAN-0168,MER-P2-B2-01867,MER,2025-10-31,2025-11-02,2025-10-30,Completed,2,True,True,True,True
HAN-0169,MER-P2-B2-01872,MER,2025-10-31,2025-11-16,,On Track,16,True,True,True,False
HAN-0170,MER-P2-B2-01873,MER,2025-10-31,2025-11-11,,On Track,11,False,True,False,False
HAN-0171,MER-P2-B3-01875,MER,2025-10-31,2026-01-02,,Delayed,63,False,False,True,False
HAN-0172,MER-P2-B3-01876,MER,2025-10-31,2026-03-16,,Delayed,136,False,False,True,False
HAN-0173,MER-P2-B3-01877,MER,2025-10-31,2026-02-19,2026-02-19,Completed (Delayed),111,True,False,True,True
HAN-0174,MER-P2-B3-01879,MER,2025-10-31,2026-02-23,2026-02-16,Completed (Delayed),115,True,False,True,True
HAN-0175,MER-P2-B3-01880,MER,2025-10-31,2026-03-13,,Delayed,133,False,False,False,False
HAN-0176,MER-P2-B3-01884,MER,2025-10-31,2026-01-29,,Delayed,90,False,True,True,False
HAN-0177,MER-P2-B3-01885,MER,2025-10-31,2026-02-28,2026-02-19,Completed (Delayed),120,True,True,True,True
HAN-0178,MER-P2-B3-01886,MER,2025-10-31,2026-01-17,,Delayed,78,False,True,False,False
HAN-0179,MER-P2-B3-01887,MER,2025-10-31,2026-02-07,2026-02-07,Completed (Delayed),99,True,False,True,True
HAN-0180,MER-P2-B3-01888,MER,2025-10-31,2026-03-03,,Delayed,123,False,True,True,False
HAN-0181,MER-P2-B3-01892,MER,2025-10-31,2026-01-17,2026-01-10,Completed (Delayed),78,True,True,True,True
HAN-0182,MER-P2-B3-01893,MER,2025-10-31,2026-02-04,,Delayed,96,False,True,False,False
HAN-0183,MER-P2-B3-01894,MER,2025-10-31,2026-03-22,,Delayed,142,False,False,False,False
HAN-0184,MER-P2-B3-01895,MER,2025-10-31,2026-01-30,,Delayed,91,False,True,True,False
HAN-0185,MER-P2-B3-01896,MER,2025-10-31,2026-03-17,,Delayed,137,False,False,False,False
HAN-0186,MER-P2-B3-01897,MER,2025-10-31,2026-03-14,2026-03-07,Completed (Delayed),134,True,True,True,True
HAN-0187,MER-P2-B3-01899,MER,2025-10-31,2026-03-05,2026-02-27,Completed (Delayed),125,True,True,True,True
HAN-0188,MER-P2-B3-01900,MER,2025-10-31,2026-02-21,2026-02-15,Completed (Delayed),113,True,True,True,True
HAN-0189,MER-P2-B3-01902,MER,2025-10-31,2026-03-08,,Delayed,128,False,False,False,False
HAN-0190,MER-P2-B3-01903,MER,2025-10-31,2026-01-21,2026-01-18,Completed (Delayed),82,True,True,True,True
HAN-0191,MER-P2-B3-01904,MER,2025-10-31,2026-03-28,2026-03-19,Completed (Delayed),148,True,True,True,True
HAN-0192,MER-P2-B3-01906,MER,2025-10-31,2026-02-09,2026-02-08,Completed (Delayed),101,True,False,True,True
HAN-0193,MER-P2-B3-01907,MER,2025-10-31,2026-01-02,2025-12-27,Completed (Delayed),63,True,True,True,True
HAN-0194,MER-P2-B3-01908,MER,2025-10-31,2026-03-29,,Delayed,149,False,False,False,False
HAN-0195,MER-P2-B3-01910,MER,2025-10-31,2026-01-25,2026-01-17,Completed (Delayed),86,True,False,True,True
HAN-0196,MER-P2-B3-01911,MER,2025-10-31,2026-01-29,2026-01-25,Completed (Delayed),90,True,True,True,True
HAN-0197,MER-P2-B4-01912,MER,2025-10-31,2026-01-16,,Delayed,77,False,True,False,False
HAN-0198,MER-P2-B4-01913,MER,2025-10-31,2026-01-07,2025-12-30,Completed (Delayed),68,True,False,True,True
HAN-0199,MER-P2-B4-01914,MER,2025-10-31,2026-02-10,,Delayed,102,False,True,False,False
HAN-0200,MER-P2-B4-01915,MER,2025-10-31,2026-03-17,,Delayed,137,False,False,False,False
HAN-0201,MER-P2-B4-01916,MER,2025-10-31,2026-01-15,,Delayed,76,False,True,False,False
HAN-0202,MER-P2-B4-01917,MER,2025-10-31,2026-03-25,2026-03-22,Completed (Delayed),145,True,False,True,True
HAN-0203,MER-P2-B4-01918,MER,2025-10-31,2026-02-08,,Delayed,100,False,True,True,False
HAN-0204,MER-P2-B4-01919,MER,2025-10-31,2026-01-18,2026-01-14,Completed (Delayed),79,True,True,True,True
HAN-0205,MER-P2-B4-01920,MER,2025-10-31,2026-02-09,2026-02-09,Completed (Delayed),101,True,True,True,True
HAN-0206,MER-P2-B4-01921,MER,2025-10-31,2026-02-11,2026-02-03,Completed (Delayed),103,True,False,True,True
HAN-0207,MER-P2-B4-01922,MER,2025-10-31,2026-01-03,,Delayed,64,False,True,True,False
HAN-0208,MER-P2-B4-01924,MER,2025-10-31,2026-03-28,2026-03-28,Completed (Delayed),148,True,False,True,True
HAN-0209,MER-P2-B4-01925,MER,2025-10-31,2026-02-03,2026-02-02,Completed (Delayed),95,True,False,True,True
HAN-0210,MER-P2-B4-01926,MER,2025-10-31,2026-01-27,,Delayed,88,False,False,True,False
HAN-0211,MER-P2-B4-01927,MER,2025-10-31,2026-02-28,,Delayed,120,False,True,False,False
HAN-0212,MER-P2-B4-01928,MER,2025-10-31,2026-01-07,,Delayed,68,False,True,True,False
HAN-0213,MER-P2-B4-01929,MER,2025-10-31,2026-01-07,,Delayed,68,False,True,False,False
HAN-0214,MER-P2-B4-01930,MER,2025-10-31,2026-01-27,2026-01-26,Completed (Delayed),88,True,True,True,True
HAN-0215,MER-P2-B4-01931,MER,2025-10-31,2026-01-16,,Delayed,77,False,True,False,False
HAN-0216,MER-P2-B4-01932,MER,2025-10-31,2026-01-19,2026-01-10,Completed (Delayed),80,True,True,True,True
HAN-0217,MER-P2-B4-01933,MER,2025-10-31,2026-03-11,,Delayed,131,False,True,True,False
HAN-0218,MER-P2-B4-01934,MER,2025-10-31,2026-03-20,2026-03-15,Completed (Delayed),140,True,False,True,True
HAN-0219,MER-P2-B4-01936,MER,2025-10-31,2026-02-27,2026-02-24,Completed (Delayed),119,True,True,True,True
HAN-0220,MER-P2-B4-01938,MER,2025-10-31,2026-03-19,2026-03-18,Completed (Delayed),139,True,False,True,True
HAN-0221,MER-P2-B4-01939,MER,2025-10-31,2026-01-17,2026-01-12,Completed (Delayed),78,True,True,True,True
HAN-0222,MER-P2-B4-01943,MER,2025-10-31,2026-03-11,,Delayed,131,False,True,True,False
HAN-0223,MER-P2-B4-01944,MER,2025-10-31,2026-01-05,2025-12-30,Completed (Delayed),66,True,False,True,True
HAN-0224,MER-P2-B4-01945,MER,2025-10-31,2026-02-09,2026-02-09,Completed (Delayed),101,True,True,True,True
HAN-0225,MER-P2-B4-01947,MER,2025-10-31,2026-01-17,2026-01-10,Completed (Delayed),78,True,True,True,True
HAN-0226,MER-P2-B4-01948,MER,2025-10-31,2026-02-25,2026-02-22,Completed (Delayed),117,True,True,True,True
