lead_id,created_at,campaign_id,source,channel,project_interest,unit_type_interest,budget_min,budget_max,preferred_location,nationality,residency_country,customer_segment,purchase_purpose,financing_preference,lead_score,sales_agent_id,broker_id,first_response_at,first_contact_at,last_activity_at,current_stage,loss_reason,qualification_status,appointment_date,site_visit_date,sale_id,estimated_deal_value,marketing_consent,duplicate_flag
LEA-000013,2024-11-06 00:00:00,CMP-0011,Meta,Meta,AUR,Villa,36875000.0,49890000.0,New Cairo,Emirati,UAE,First-Time Buyer,Primary Residence,Undecided,33,AGT-001,,2024-11-06 00:44:46,2024-11-06 01:30:50,2024-11-06 01:30:50,lost,Location Preference Changed,Unqualified,,,,43383000.0,True,False
LEA-000014,2025-04-22 00:00:00,CMP-0003,Broker Referral,Brokers,AUR,Apartment,37501000.0,50737000.0,New Cairo,Egyptian,Egypt,High Net Worth,Second Home,Bank Mortgage,39,AGT-005,BRK-14,2025-04-22 00:25:15,2025-04-22 03:05:09,2025-04-22 03:05:09,lost,Budget Mismatch,Unqualified,,,,44119000.0,False,False
LEA-000015,2024-08-13 00:00:00,CMP-0013,TikTok,TikTok,AUR,Duplex,22700000.0,30712000.0,New Cairo,Emirati,UAE,Mass Affluent,Investment / Resale,Bank Mortgage,32,AGT-003,,2024-08-13 00:15:52,2024-08-13 02:27:32,2024-08-13 02:27:32,lost,Location Preference Changed,Unqualified,,,,26706000.0,True,False
LEA-000016,2024-10-12 00:00:00,CMP-0019,Organic Website,Organic Website,AUR,Villa,34127000.0,46172000.0,New Cairo,Egyptian,Egypt,High Net Worth,Rental Income,Developer Payment Plan,72,AGT-002,,2024-10-12 00:10:59,2024-10-12 05:58:09,2024-10-15 08:38:12,dormant,,Qualified,,,,40150000.0,True,True
LEA-000017,2025-01-17 00:00:00,CMP-0002,Outdoor,Outdoor,AUR,Duplex,27743000.0,37535000.0,New Cairo,Egyptian,Egypt,Investor,Second Home,Cash,23,AGT-006,,2025-01-17 00:07:09,2025-01-17 02:07:50,2025-01-17 02:07:50,lost,Financing Declined,Unqualified,,,,32639000.0,True,False
LEA-000018,2025-11-28 00:00:00,CMP-0012,Google Search,Google Search,AUR,Apartment,30196000.0,40853000.0,New Cairo,Egyptian,Egypt,First-Time Buyer,Rental Income,Cash,41,AGT-004,,2025-11-28 00:46:43,2025-11-28 02:38:12,2025-12-14 16:32:08,dormant,,Qualified,2025-12-07,2025-12-10,,35524000.0,True,False
LEA-000019,2025-02-27 00:00:00,CMP-0022,Organic Website,Organic Website,AUR,Villa,26577000.0,35957000.0,New Cairo,Egyptian,Egypt,High Net Worth,Second Home,Cash,47,AGT-007,,2025-02-27 00:46:40,2025-02-27 05:11:35,2025-02-27 05:11:35,lost,Unresponsive,Unqualified,,,,31267000.0,True,False
LEA-000020,2025-04-07 00:00:00,CMP-0021,Google Search,Google Search,AUR,Villa,37300000.0,50465000.0,New Cairo,Egyptian,Egypt,High Net Worth,Second Home,Bank Mortgage,44,AGT-010,,,,2025-04-07 00:00:00,lost,Location Preference Changed,Unqualified,,,,43882000.0,True,False
LEA-000021,2025-11-21 00:00:00,CMP-0017,Organic Website,Organic Website,AUR,Villa,35252000.0,47694000.0,New Cairo,Saudi,Saudi Arabia,First-Time Buyer,Primary Residence,Cash,94,AGT-007,,,,2025-11-21 00:00:00,lost,Unresponsive,Unqualified,,,,41473000.0,True,False
LEA-000022,2026-05-12 00:00:00,CMP-0018,TikTok,TikTok,AUR,Apartment,28398000.0,38420000.0,New Cairo,Egyptian,Egypt,Investor,Investment / Resale,Developer Payment Plan,85,AGT-007,,2026-05-12 01:53:31,2026-05-12 06:53:54,2026-05-15 22:52:18,qualified,,Qualified,,,,33409000.0,False,False
LEA-000023,2026-05-30 00:00:00,CMP-0004,Broker Referral,Brokers,AUR,Apartment,22220000.0,30062000.0,New Cairo,Egyptian,Egypt,Investor,Primary Residence,Developer Payment Plan,40,AGT-001,BRK-07,2026-05-30 00:43:16,2026-05-30 02:37:56,2026-05-30 02:37:56,lost,Timeline Mismatch,Unqualified,,,,26141000.0,True,False
LEA-000024,2025-07-30 00:00:00,CMP-0003,Broker Referral,Brokers,AUR,Apartment,30689000.0,41521000.0,New Cairo,Egyptian,Egypt,Investor,Rental Income,Undecided,33,AGT-008,BRK-02,2025-07-30 00:24:10,2025-07-30 05:17:41,2025-07-30 05:17:41,lost,Timeline Mismatch,Unqualified,,,,36105000.0,True,False
LEA-000025,2024-07-14 00:00:00,CMP-0020,LinkedIn,LinkedIn,AUR,Villa,28174000.0,38118000.0,New Cairo,Saudi,Saudi Arabia,Mass Affluent,Primary Residence,Developer Payment Plan,58,AGT-001,,2024-07-14 00:17:54,2024-07-14 02:02:33,2024-07-15 13:25:07,dormant,,Qualified,,,,33146000.0,True,False
LEA-000026,2025-11-17 00:00:00,CMP-0016,TikTok,TikTok,AUR,Villa,35614000.0,48184000.0,New Cairo,Other,Other,Investor,Primary Residence,Developer Payment Plan,51,AGT-006,,2025-11-17 00:03:00,2025-11-17 04:22:25,2025-11-18 02:49:02,dormant,,Qualified,,,,41899000.0,True,False
LEA-000027,2025-04-26 00:00:00,CMP-0015,Google Display,Google Display,AUR,Villa,32976000.0,44615000.0,New Cairo,Kuwaiti,Kuwait,Investor,Investment / Resale,Bank Mortgage,52,AGT-010,,2025-04-26 00:03:00,2025-04-26 00:46:57,2025-04-26 00:46:57,lost,Financing Declined,Unqualified,,,,38795000.0,True,False
LEA-000028,2025-08-19 00:00:00,CMP-0021,Google Search,Google Search,AUR,Villa,35562000.0,48113000.0,New Cairo,Other,Egypt,Mass Affluent,Investment / Resale,Cash,54,AGT-010,,2025-08-19 00:03:00,2025-08-19 04:51:38,2025-08-19 04:51:38,lost,Budget Mismatch,Unqualified,,,,41837000.0,True,False
LEA-000029,2026-06-12 00:00:00,CMP-0002,Outdoor,Outdoor,AUR,Duplex,29220000.0,39534000.0,New Cairo,Egyptian,Egypt,First-Time Buyer,Rental Income,Undecided,35,AGT-006,,2026-06-12 00:26:04,2026-06-12 00:51:40,2026-06-17 00:01:14,site_visit_completed,,Qualified,2026-06-15,2026-06-17,,34377000.0,True,False
LEA-000030,2025-06-14 00:00:00,CMP-0006,TikTok,TikTok,AUR,Villa,24608000.0,33293000.0,New Cairo,Egyptian,Egypt,High Net Worth,Primary Residence,Cash,34,AGT-002,,2025-06-14 00:18:27,2025-06-14 03:35:14,2025-06-14 03:35:14,lost,Location Preference Changed,Unqualified,,,,28951000.0,True,False
LEA-000031,2025-10-15 00:00:00,CMP-0007,Call Center,Call Center,AUR,Apartment,38395000.0,51946000.0,New Cairo,Saudi,Saudi Arabia,High Net Worth,Second Home,Undecided,56,AGT-008,BRK-05,2025-10-15 00:21:50,2025-10-15 02:07:47,2025-10-15 02:07:47,lost,Location Preference Changed,Unqualified,,,,45171000.0,True,False
LEA-000032,2024-10-06 00:00:00,CMP-0006,TikTok,TikTok,AUR,Villa,30934000.0,41852000.0,New Cairo,Egyptian,Egypt,Mass Affluent,Rental Income,Bank Mortgage,51,AGT-005,,2024-10-06 00:31:03,2024-10-06 06:26:29,2024-10-06 06:26:29,lost,Location Preference Changed,Unqualified,,,,36393000.0,True,False
LEA-000033,2025-08-22 00:00:00,CMP-0002,Outdoor,Outdoor,AUR,Duplex,22213000.0,30053000.0,New Cairo,Emirati,UAE,Mass Affluent,Second Home,Developer Payment Plan,47,AGT-005,,2025-08-22 00:39:00,2025-08-22 04:13:36,2025-08-22 04:13:36,lost,Timeline Mismatch,Unqualified,,,,26133000.0,True,False
LEA-000034,2026-01-19 00:00:00,CMP-0014,LinkedIn,LinkedIn,AUR,Duplex,36460000.0,49328000.0,New Cairo,British,United Kingdom,Investor,Second Home,Developer Payment Plan,66,AGT-010,,2026-01-19 00:16:01,2026-01-19 04:45:40,2026-01-19 04:45:40,lost,Timeline Mismatch,Unqualified,,,,42894000.0,True,False
LEA-000035,2024-07-14 00:00:00,CMP-0004,Broker Referral,Brokers,AUR,Villa,23533000.0,31838000.0,New Cairo,Egyptian,Egypt,First-Time Buyer,Investment / Resale,Bank Mortgage,40,AGT-002,BRK-14,2024-07-14 00:17:08,2024-07-14 05:34:24,2024-07-14 05:34:24,lost,Unresponsive,Unqualified,,,,27685000.0,True,False
LEA-000036,2024-08-04 00:00:00,CMP-0001,Events,Events,AUR,Duplex,34757000.0,47025000.0,New Cairo,Egyptian,Egypt,Investor,Primary Residence,Developer Payment Plan,50,AGT-004,,2024-08-04 00:27:27,2024-08-04 04:54:02,2024-08-15 23:56:22,dormant,,Qualified,2024-08-14,2024-08-15,,40891000.0,True,False
LEA-000037,2024-09-28 00:00:00,CMP-0022,Organic Website,Organic Website,AUR,Villa,33388000.0,45172000.0,New Cairo,Egyptian,Egypt,Mass Affluent,Primary Residence,Undecided,42,AGT-005,BRK-14,2024-09-28 00:03:00,2024-09-28 05:37:18,2024-10-14 21:34:39,dormant,,Qualified,2024-10-09,2024-10-10,,39280000.0,True,False
LEA-000038,2024-10-02 00:00:00,CMP-0011,Meta,Meta,AUR,Duplex,27714000.0,37496000.0,New Cairo,Saudi,Egypt,First-Time Buyer,Investment / Resale,Developer Payment Plan,54,AGT-010,,2024-10-02 00:18:54,2024-10-02 06:14:33,2024-10-10 10:17:17,dormant,,Qualified,2024-10-08,2024-10-10,,32605000.0,True,False
LEA-000039,2024-10-24 00:00:00,CMP-0017,Organic Website,Organic Website,AUR,Villa,34447000.0,46605000.0,New Cairo,Egyptian,Egypt,Mass Affluent,Investment / Resale,Cash,72,AGT-009,,2024-10-24 00:25:41,2024-10-24 04:27:06,2024-11-05 08:06:13,dormant,,Qualified,2024-11-02,2024-11-05,,40526000.0,True,False
LEA-000040,2025-08-05 00:00:00,CMP-0012,Google Search,Google Search,AUR,Apartment,24003000.0,32474000.0,New Cairo,Egyptian,Egypt,First-Time Buyer,Investment / Resale,Cash,62,AGT-010,BRK-02,2025-08-05 00:28:29,2025-08-05 02:10:35,2025-08-15 18:25:01,dormant,,Qualified,2025-08-15,2025-08-15,,28238000.0,True,False
LEA-000041,2025-05-25 00:00:00,CMP-0002,Outdoor,Outdoor,AUR,Apartment,30395000.0,41123000.0,New Cairo,Egyptian,Egypt,High Net Worth,Investment / Resale,Undecided,50,AGT-005,,2025-05-25 00:20:05,2025-05-25 01:55:29,2025-05-25 01:55:29,lost,Price Objection,Unqualified,,,,35759000.0,True,False
LEA-000042,2024-09-30 00:00:00,CMP-0012,Google Search,Google Search,AUR,Villa,36062000.0,48789000.0,New Cairo,Egyptian,Egypt,Mass Affluent,Investment / Resale,Developer Payment Plan,31,AGT-004,,2024-09-30 00:05:02,2024-09-30 04:40:33,2024-10-21 10:14:56,dormant,,Qualified,2024-10-07,2024-10-09,,42426000.0,True,False
LEA-000043,2025-01-20 00:00:00,CMP-0017,Organic Website,Organic Website,AUR,Villa,24301000.0,32878000.0,New Cairo,Egyptian,Egypt,Mass Affluent,Second Home,Developer Payment Plan,48,AGT-006,,2025-01-20 00:30:19,2025-01-20 04:21:27,2025-01-20 04:21:27,lost,Unresponsive,Unqualified,,,,28590000.0,True,False
LEA-000044,2026-01-02 00:00:00,CMP-0019,Organic Website,Organic Website,AUR,Villa,36571000.0,49478000.0,New Cairo,Egyptian,Egypt,Mass Affluent,Primary Residence,Developer Payment Plan,77,AGT-010,,,,2026-01-02 00:00:00,lost,Timeline Mismatch,Unqualified,,,,43024000.0,True,False
LEA-000045,2025-03-16 00:00:00,CMP-0020,LinkedIn,LinkedIn,AUR,Apartment,32907000.0,44522000.0,New Cairo,Egyptian,Egypt,Investor,Second Home,Undecided,64,AGT-007,,2025-03-16 00:03:00,2025-03-16 03:41:45,2025-04-01 15:42:35,dormant,,Qualified,2025-03-26,2025-03-28,,38715000.0,True,False
LEA-000046,2024-07-01 00:00:00,CMP-0016,TikTok,TikTok,AUR,Apartment,35944000.0,48631000.0,New Cairo,Egyptian,Egypt,First-Time Buyer,Investment / Resale,Undecided,25,AGT-003,,2024-07-01 01:02:01,2024-07-01 06:10:52,2024-07-01 06:10:52,lost,Location Preference Changed,Unqualified,,,,42288000.0,True,False
LEA-000047,2025-12-21 00:00:00,CMP-0012,Google Search,Google Search,AUR,Duplex,35604000.0,48170000.0,New Cairo,Egyptian,Egypt,High Net Worth,Investment / Resale,Bank Mortgage,64,AGT-004,,2025-12-21 00:30:54,2025-12-21 04:07:58,2025-12-24 04:32:35,dormant,,Qualified,,,,41887000.0,False,False
LEA-000048,2024-08-28 00:00:00,CMP-0018,TikTok,TikTok,AUR,Villa,33093000.0,44773000.0,New Cairo,Egyptian,Egypt,First-Time Buyer,Rental Income,Undecided,77,AGT-003,,2024-08-28 00:27:09,2024-08-28 03:21:22,2024-08-28 03:21:22,lost,Unresponsive,Unqualified,,,,38933000.0,True,False
LEA-000049,2025-09-07 00:00:00,CMP-0015,Google Display,Google Display,AUR,Villa,23467000.0,31750000.0,New Cairo,Kuwaiti,Kuwait,High Net Worth,Investment / Resale,Bank Mortgage,74,AGT-010,,2025-09-07 00:55:28,2025-09-07 03:28:27,2025-09-29 08:55:28,dormant,,Qualified,2025-09-16,2025-09-18,,27609000.0,True,False
LEA-000050,2025-05-27 00:00:00,CMP-0017,Organic Website,Organic Website,AUR,Duplex,26845000.0,36320000.0,New Cairo,Saudi,Egypt,First-Time Buyer,Rental Income,Bank Mortgage,80,AGT-008,,2025-05-27 02:06:24,2025-05-27 07:14:13,2025-05-27 07:14:13,lost,Budget Mismatch,Unqualified,,,,31583000.0,True,False
LEA-000051,2024-08-14 00:00:00,CMP-0018,TikTok,TikTok,AUR,Duplex,25880000.0,35014000.0,New Cairo,Egyptian,Egypt,Investor,Second Home,Bank Mortgage,62,AGT-008,,2024-08-14 00:15:42,2024-08-14 03:41:40,2024-08-15 18:48:01,dormant,,Qualified,,,,30447000.0,True,False
LEA-000052,2024-12-28 00:00:00,CMP-0021,Google Search,Google Search,AUR,Villa,34729000.0,46986000.0,New Cairo,Egyptian,Egypt,First-Time Buyer,Rental Income,Developer Payment Plan,26,AGT-002,,2024-12-28 00:30:00,2024-12-28 04:11:53,2024-12-29 22:50:36,dormant,,Qualified,,,,40857000.0,True,False
LEA-000053,2026-05-19 00:00:00,CMP-0003,Broker Referral,Brokers,AUR,Apartment,37778000.0,51112000.0,New Cairo,Emirati,UAE,High Net Worth,Investment / Resale,Developer Payment Plan,68,AGT-006,BRK-14,2026-05-19 00:24:22,2026-05-19 05:01:21,2026-06-06 10:35:52,contract,,Qualified,2026-05-21,2026-05-23,SAL-000035,44445000.0,True,False
LEA-000054,2025-07-08 00:00:00,CMP-0005,LinkedIn,LinkedIn,AUR,Duplex,31390000.0,42469000.0,New Cairo,Egyptian,Egypt,Mass Affluent,Investment / Resale,Developer Payment Plan,59,AGT-008,,2025-07-08 00:32:11,2025-07-08 04:35:04,2025-07-16 19:30:33,dormant,,Qualified,2025-07-13,2025-07-14,,36930000.0,True,False
LEA-000055,2025-11-29 00:00:00,CMP-0019,Organic Website,Organic Website,AUR,Villa,36107000.0,48851000.0,New Cairo,Egyptian,Egypt,First-Time Buyer,Second Home,Undecided,36,AGT-003,,2025-11-29 00:21:02,2025-11-29 01:44:55,2025-11-29 01:44:55,lost,Timeline Mismatch,Unqualified,,,,42479000.0,True,False
LEA-000056,2025-04-21 00:00:00,CMP-0013,TikTok,TikTok,AUR,Apartment,27320000.0,36962000.0,New Cairo,Egyptian,Egypt,Mass Affluent,Primary Residence,Bank Mortgage,61,AGT-001,,2025-04-21 00:14:59,2025-04-21 01:12:03,2025-05-03 01:17:23,dormant,,Qualified,2025-05-02,2025-05-03,,32141000.0,True,False
LEA-000057,2025-08-12 00:00:00,CMP-0002,Outdoor,Outdoor,AUR,Duplex,22250000.0,30103000.0,New Cairo,Egyptian,Egypt,High Net Worth,Rental Income,Bank Mortgage,36,AGT-008,,2025-08-12 00:03:00,2025-08-12 04:15:37,2025-08-12 04:15:37,lost,Chose Competitor Project,Unqualified,,,,26177000.0,True,False
LEA-000058,2025-06-10 00:00:00,CMP-0006,TikTok,TikTok,AUR,Villa,35948000.0,48636000.0,New Cairo,Egyptian,Egypt,First-Time Buyer,Primary Residence,Undecided,31,AGT-003,,2025-06-10 00:30:52,2025-06-10 02:42:25,2025-06-10 02:42:25,lost,Budget Mismatch,Unqualified,,,,42292000.0,True,False
LEA-000059,2026-06-26 00:00:00,CMP-0010,LinkedIn,LinkedIn,AUR,Duplex,27525000.0,37240000.0,New Cairo,Egyptian,Egypt,Mass Affluent,Investment / Resale,Undecided,57,AGT-004,,2026-06-26 00:09:56,2026-06-26 00:59:36,2026-07-09 07:30:41,contract,,Qualified,2026-07-02,2026-07-03,SAL-000030,32383000.0,True,False
LEA-000060,2025-01-25 00:00:00,CMP-0022,Organic Website,Organic Website,AUR,Duplex,28785000.0,38944000.0,New Cairo,Emirati,UAE,Investor,Primary Residence,Undecided,67,AGT-008,,2025-01-25 00:28:57,2025-01-25 03:14:06,2025-02-15 07:29:13,dormant,,Qualified,2025-02-02,2025-02-02,,33864000.0,True,False
LEA-000061,2025-11-21 00:00:00,CMP-0007,Call Center,Call Center,AUR,Apartment,27862000.0,37696000.0,New Cairo,Egyptian,Egypt,High Net Worth,Rental Income,Bank Mortgage,77,AGT-010,,2025-11-21 00:07:51,2025-11-21 02:47:26,2025-11-23 06:49:34,dormant,,Qualified,,,,32779000.0,True,False
LEA-000062,2024-10-27 00:00:00,CMP-0009,Google Search,Google Search,AUR,Apartment,33172000.0,44880000.0,New Cairo,Egyptian,Egypt,High Net Worth,Investment / Resale,Developer Payment Plan,53,AGT-003,,2024-10-27 00:03:00,2024-10-27 00:41:00,2024-11-02 07:34:35,dormant,,Qualified,2024-10-30,2024-11-02,,39026000.0,True,False
LEA-000063,2025-12-15 00:00:00,CMP-0004,Broker Referral,Brokers,AUR,Villa,32311000.0,43715000.0,New Cairo,Egyptian,Egypt,First-Time Buyer,Rental Income,Undecided,51,AGT-007,BRK-03,2025-12-15 00:46:51,2025-12-15 02:04:21,2025-12-15 02:04:21,lost,Price Objection,Unqualified,,,,38013000.0,True,False
LEA-000064,2025-04-15 00:00:00,CMP-0021,Google Search,Google Search,AUR,Apartment,23898000.0,32333000.0,New Cairo,Saudi,Saudi Arabia,Investor,Second Home,Undecided,46,AGT-007,,2025-04-15 00:38:07,2025-04-15 02:22:50,2025-04-16 02:46:27,dormant,,Qualified,,,,28115000.0,True,False
LEA-000065,2026-03-28 00:00:00,CMP-0020,LinkedIn,LinkedIn,AUR,Villa,38451000.0,52022000.0,New Cairo,Egyptian,Egypt,First-Time Buyer,Investment / Resale,Bank Mortgage,85,AGT-009,,2026-03-28 02:44:02,2026-03-28 04:33:45,2026-03-28 04:33:45,lost,Budget Mismatch,Unqualified,,,,45237000.0,True,False
LEA-000066,2024-11-18 00:00:00,CMP-0017,Organic Website,Organic Website,AUR,Apartment,28445000.0,38484000.0,New Cairo,Egyptian,Egypt,First-Time Buyer,Investment / Resale,Undecided,22,AGT-005,,2024-11-18 00:19:41,2024-11-18 01:11:07,2024-11-18 01:11:07,lost,Price Objection,Unqualified,,,,33464000.0,True,False
LEA-000067,2025-11-09 00:00:00,CMP-0006,TikTok,TikTok,AUR,Villa,29140000.0,39425000.0,New Cairo,Emirati,UAE,Mass Affluent,Second Home,Developer Payment Plan,60,AGT-006,,2025-11-09 00:44:06,2025-11-09 06:18:47,2025-11-28 01:13:04,dormant,,Qualified,2025-11-17,2025-11-18,,34283000.0,True,False
LEA-000068,2026-06-09 00:00:00,CMP-0013,TikTok,TikTok,AUR,Apartment,26568000.0,35945000.0,New Cairo,Egyptian,Egypt,First-Time Buyer,Primary Residence,Cash,51,AGT-005,,2026-06-09 00:17:03,2026-06-09 04:56:17,2026-06-12 08:36:34,qualified,,Qualified,,,,31257000.0,True,False
LEA-000069,2024-09-18 00:00:00,CMP-0004,Broker Referral,Brokers,AUR,Villa,37928000.0,51314000.0,New Cairo,Kuwaiti,Kuwait,Mass Affluent,Second Home,Undecided,76,AGT-001,BRK-13,2024-09-18 00:40:44,2024-09-18 03:24:03,2024-09-18 03:24:03,lost,Price Objection,Unqualified,,,,44621000.0,True,False
LEA-000070,2025-01-21 00:00:00,CMP-0014,LinkedIn,LinkedIn,AUR,Apartment,36439000.0,49300000.0,New Cairo,Kuwaiti,Kuwait,High Net Worth,Rental Income,Developer Payment Plan,65,AGT-009,,2025-01-21 00:44:57,2025-01-21 03:03:34,2025-01-31 14:20:12,dormant,,Qualified,2025-01-26,2025-01-29,,42869000.0,True,False
LEA-000071,2024-12-28 00:00:00,CMP-0011,Meta,Meta,AUR,Apartment,27702000.0,37479000.0,New Cairo,Egyptian,Egypt,Mass Affluent,Investment / Resale,Cash,49,AGT-008,,2024-12-28 00:05:14,2024-12-28 05:44:08,2024-12-28 05:44:08,lost,Budget Mismatch,Unqualified,,,,32591000.0,True,False
LEA-000072,2024-12-01 00:00:00,CMP-0005,LinkedIn,LinkedIn,AUR,Apartment,38777000.0,52463000.0,New Cairo,Egyptian,Egypt,High Net Worth,Rental Income,Undecided,61,AGT-007,,2024-12-01 00:39:03,2024-12-01 03:40:27,2024-12-01 03:40:27,lost,Location Preference Changed,Unqualified,,,,45620000.0,True,True
LEA-000073,2024-08-10 00:00:00,CMP-0011,Meta,Meta,AUR,Duplex,24779000.0,33524000.0,New Cairo,Egyptian,Egypt,Mass Affluent,Investment / Resale,Undecided,56,AGT-010,,2024-08-10 00:31:01,2024-08-10 04:17:11,2024-08-12 12:23:02,dormant,,Qualified,,,,29152000.0,True,False
LEA-000074,2024-08-15 00:00:00,CMP-0019,Organic Website,Organic Website,AUR,Apartment,23011000.0,31132000.0,New Cairo,Egyptian,Egypt,First-Time Buyer,Rental Income,Developer Payment Plan,56,AGT-008,,2024-08-15 00:48:23,2024-08-15 05:08:07,2024-08-18 07:28:50,dormant,,Qualified,,,,27072000.0,False,False
LEA-000075,2025-06-12 00:00:00,CMP-0019,Organic Website,Organic Website,AUR,Apartment,37353000.0,50536000.0,New Cairo,Egyptian,Egypt,High Net Worth,Primary Residence,Bank Mortgage,78,AGT-006,,2025-06-12 00:17:57,2025-06-12 00:59:08,2025-06-12 00:59:08,lost,Budget Mismatch,Unqualified,,,,43944000.0,True,False
LEA-000076,2025-06-14 00:00:00,CMP-0005,LinkedIn,LinkedIn,AUR,Duplex,24346000.0,32938000.0,New Cairo,Saudi,Saudi Arabia,High Net Worth,Investment / Resale,Developer Payment Plan,44,AGT-006,,2025-06-14 00:44:05,2025-06-14 01:22:19,2025-06-15 07:02:30,dormant,,Qualified,,,,28642000.0,True,False
LEA-000077,2026-04-02 00:00:00,CMP-0016,TikTok,TikTok,AUR,Villa,32989000.0,44632000.0,New Cairo,Egyptian,Egypt,High Net Worth,Investment / Resale,Undecided,62,AGT-001,,2026-04-02 00:28:14,2026-04-02 03:54:00,2026-04-08 01:34:12,dormant,,Qualified,2026-04-06,2026-04-08,,38811000.0,True,False
LEA-000078,2024-08-10 00:00:00,CMP-0019,Organic Website,Organic Website,AUR,Villa,26353000.0,35655000.0,New Cairo,Other,Egypt,High Net Worth,Rental Income,Undecided,54,AGT-009,,2024-08-10 00:43:59,2024-08-10 03:50:59,2024-08-13 16:32:54,dormant,,Qualified,,,,31004000.0,True,False
