sale_id,unit_id,project_id,customer_id,reservation_date,contract_date,sales_agent_id,team_id,broker_id,lead_id,lead_source,campaign_id,gross_price,discount_value,discount_pct,net_sales_value,commission_value,payment_plan_years,down_payment_value,reservation_deposit,sales_channel,buyer_type,contract_status,cancellation_flag,cancellation_date,cancellation_reason,days_lead_to_reservation,days_reservation_to_contract,down_payment_pct,expected_handover_date,forecast_handover_date
SAL-000017,AUR-P1-B4-00124,AUR,CUS-000017,2026-05-22,2026-06-09,AGT-003,Team Apex,,LEA-002077,Outdoor,CMP-0002,8679068.4,416595.28,4.8,8262473.12,0.0,6,1892106.34,150000.0,Direct,End-User,Contracted,False,,,4.0,17.0,22.9,2027-03-31,2027-03-31
SAL-000018,AUR-P2-B1-00146,AUR,CUS-000018,2025-05-28,2025-06-23,AGT-009,Team Falcon,BRK-03,,Broker Referral,,26549705.1,769941.45,2.9,25779763.65,587778.61,5,3918524.07,150000.0,Broker,End-User,Contracted,False,,,,25.0,15.2,2027-03-31,2027-03-31
SAL-000019,AUR-P2-B3-00214,AUR,CUS-000019,2026-06-21,2026-06-30,AGT-007,Team Falcon,,LEA-001113,Google Search,CMP-0021,11819959.5,472798.38,4.0,11347161.12,0.0,4,1929017.39,150000.0,Direct,Investor,Contracted,False,,,0.0,9.0,17.0,2027-03-31,2027-03-31
SAL-000020,AUR-P1-B3-00098,AUR,CUS-000020,2026-05-07,2026-06-02,AGT-007,Team Falcon,,LEA-000240,LinkedIn,CMP-0010,6987964.7,195663.01,2.8,6792301.69,0.0,4,1630152.41,139759.29,Direct,End-User,Contracted,False,,,0.0,26.0,24.0,2027-03-31,2027-03-31
SAL-000021,AUR-P2-B4-00258,AUR,CUS-000021,2026-06-24,2026-06-30,AGT-007,Team Falcon,,LEA-001170,Meta,CMP-0011,11883689.1,463463.87,3.9,11420225.23,0.0,5,2523869.78,150000.0,Direct,End-User,Contracted,False,,,4.0,5.0,22.1,2027-03-31,2027-03-31
SAL-000022,AUR-P1-B2-00068,AUR,CUS-000022,2026-05-02,2026-05-19,AGT-009,Team Falcon,,LEA-000290,LinkedIn,CMP-0010,8860646.8,363286.52,4.1,8497360.28,0.0,6,1478540.69,150000.0,Direct,End-User,Contracted,False,,,3.0,17.0,17.4,2027-03-31,2027-03-31
SAL-000023,AUR-P3-B1-00288,AUR,CUS-000023,2026-05-20,2026-06-12,AGT-003,Team Apex,,LEA-000736,Google Search,CMP-0021,8821260.8,273459.08,3.1,8547801.72,0.0,5,1512960.9,150000.0,Direct,End-User,Contracted,False,,,4.0,22.0,17.7,2027-03-31,2027-03-31
SAL-000024,AUR-P3-B4-00410,AUR,CUS-000024,2025-07-23,,AGT-008,Team Falcon,,,Direct / Walk-In,,7995598.9,391784.35,4.9,7603814.55,0.0,3,1764084.98,150000.0,Direct,End-User,Reserved,False,,,,,23.2,2027-03-31,2027-03-31
SAL-000025,AUR-P3-B3-00381,AUR,CUS-000025,2026-06-18,2026-06-30,AGT-009,Team Falcon,,LEA-000318,LinkedIn,CMP-0014,8648156.4,475648.6,5.5,8172507.8,0.0,4,2034954.44,150000.0,Direct,End-User,Contracted,False,,,7.0,11.0,24.9,2027-03-31,2027-03-31
SAL-000026,AUR-P2-B3-00231,AUR,CUS-000026,2026-06-17,2026-06-30,AGT-001,Team Apex,,LEA-000716,Meta,CMP-0011,5163440.0,263335.44,5.1,4900104.56,0.0,4,1078023.0,103268.8,Direct,End-User,Contracted,False,,,0.0,13.0,22.0,2027-03-31,2027-03-31
SAL-000027,AUR-P2-B2-00186,AUR,CUS-000027,2026-05-16,2026-06-14,AGT-006,Team Falcon,BRK-01,LEA-000599,Brokers,CMP-0003,15856729.3,364704.77,2.3,15492024.53,320684.91,5,3253325.15,150000.0,Broker,End-User,Contracted,False,,,6.0,28.0,21.0,2027-03-31,2027-03-31
SAL-000028,AUR-P2-B3-00243,AUR,CUS-000028,2026-05-30,,AGT-010,Team Falcon,,LEA-002526,TikTok,CMP-0006,12575385.6,503015.42,4.0,12072370.18,0.0,3,2197171.37,150000.0,Direct,End-User,Reserved,False,,,17.0,,18.2,2027-03-31,2027-03-31
SAL-000029,AUR-P3-B1-00312,AUR,CUS-000029,2026-02-02,2026-02-26,AGT-008,Team Falcon,,,Direct / Walk-In,,6438144.0,218896.9,3.4,6219247.1,0.0,3,957764.05,128762.88,Direct,End-User,Cancelled,True,2026-04-06,Financing Fell Through,,24.0,15.4,2027-03-31,2027-03-31
SAL-000030,AUR-P1-B4-00137,AUR,CUS-000030,2026-06-30,2026-06-30,AGT-004,Team Apex,,LEA-000059,LinkedIn,CMP-0010,7064472.8,402674.95,5.7,6661797.85,0.0,5,1532213.51,141289.46,Direct,Investor,Contracted,False,,,4.0,0.0,23.0,2027-03-31,2027-03-31
SAL-000031,AUR-P1-B4-00121,AUR,CUS-000031,2026-06-27,2026-06-30,AGT-003,Team Apex,,LEA-000960,Meta,CMP-0011,9591449.8,565895.54,5.9,9025554.26,0.0,5,2121005.25,150000.0,Direct,End-User,Contracted,False,,,5.0,2.0,23.5,2027-03-31,2027-03-31
SAL-000032,AUR-P3-B1-00291,AUR,CUS-000032,2026-06-17,2026-06-30,AGT-006,Team Falcon,,LEA-001940,Organic Website,CMP-0022,5525419.9,221016.8,4.0,5304403.1,0.0,6,1172273.09,110508.4,Direct,Investor,Contracted,False,,,7.0,12.0,22.1,2027-03-31,2027-03-31
SAL-000033,AUR-P1-B1-00021,AUR,CUS-000033,2026-06-19,2026-06-20,AGT-009,Team Falcon,,LEA-002199,Google Search,CMP-0009,17854521.6,589199.21,3.3,17265322.39,0.0,6,3729309.64,150000.0,Direct,End-User,Contracted,False,,,7.0,1.0,21.6,2027-03-31,2027-03-31
SAL-000034,AUR-P3-B3-00365,AUR,CUS-000034,2026-06-30,2026-06-30,AGT-002,Team Apex,BRK-13,,Broker Referral,,10676532.0,437737.81,4.1,10238794.19,209895.28,4,2375400.25,150000.0,Broker,End-User,Contracted,False,,,,0.0,23.2,2027-03-31,2027-03-31
SAL-000035,AUR-P2-B2-00192,AUR,CUS-000035,2026-05-31,2026-06-20,AGT-006,Team Falcon,BRK-14,LEA-000053,Brokers,CMP-0003,7123861.4,170972.67,2.4,6952888.73,161307.02,3,1717363.52,142477.23,Broker,Investor,Contracted,False,,,12.0,19.0,24.7,2027-03-31,2027-03-31
SAL-000036,AUR-P2-B1-00155,AUR,CUS-000036,2025-05-10,,AGT-006,Team Falcon,,,Direct / Walk-In,,10938049.9,525026.4,4.8,10413023.5,0.0,3,2176321.91,150000.0,Direct,End-User,Reserved,False,,,,,20.9,2027-03-31,2027-03-31
SAL-000037,AUR-P1-B4-00110,AUR,CUS-000037,2025-04-16,,AGT-002,Team Apex,,,Direct / Walk-In,,11650655.6,244663.77,2.1,11405991.83,0.0,4,2634784.11,150000.0,Direct,End-User,Reserved,False,,,,,23.1,2027-03-31,2027-03-31
SAL-000038,AUR-P1-B4-00119,AUR,CUS-000038,2025-11-18,,AGT-002,Team Apex,,,Direct / Walk-In,,13055731.2,443894.86,3.4,12611836.34,0.0,6,2547590.94,150000.0,Direct,End-User,Reserved,False,,,,,20.2,2027-03-31,2027-03-31
SAL-000039,AUR-P2-B1-00163,AUR,CUS-000039,2026-03-14,2026-04-12,AGT-001,Team Apex,,,Direct / Walk-In,,10458371.1,439251.59,4.2,10019119.51,0.0,4,1913651.83,150000.0,Direct,End-User,Contracted,False,,,,28.0,19.1,2027-03-31,2027-03-31
SAL-000040,AUR-P1-B2-00062,AUR,CUS-000040,2025-12-14,2026-01-12,AGT-006,Team Falcon,BRK-08,,Broker Referral,,13098294.3,772799.36,5.9,12325494.94,189812.62,3,2009055.68,150000.0,Broker,End-User,Contracted,False,,,,29.0,16.3,2027-03-31,2027-03-31
SAL-000041,AUR-P3-B3-00363,AUR,CUS-000041,2025-10-11,2025-11-18,AGT-004,Team Apex,,,Direct / Walk-In,,8866284.0,390116.5,4.4,8476167.5,0.0,4,1924090.02,150000.0,Direct,End-User,Contracted,False,,,,38.0,22.7,2027-03-31,2027-03-31
SAL-000042,AUR-P1-B2-00045,AUR,CUS-000042,2026-05-04,2026-05-16,AGT-006,Team Falcon,,,Direct / Walk-In,,9523423.7,485694.61,5.1,9037729.09,0.0,6,1482187.57,150000.0,Direct,End-User,Cancelled,True,2026-06-30,Personal / Financial Hardship,,11.0,16.4,2027-03-31,2027-03-31
SAL-000043,AUR-P3-B3-00372,AUR,CUS-000043,2026-06-30,2026-06-30,AGT-006,Team Falcon,,,Direct / Walk-In,,10916169.8,447562.96,4.1,10468606.84,0.0,6,1915755.05,150000.0,Direct,End-User,Contracted,False,,,,0.0,18.3,2027-03-31,2027-03-31
SAL-000044,AUR-P3-B2-00323,AUR,CUS-000044,2025-07-04,2025-07-20,AGT-009,Team Falcon,,,Direct / Walk-In,,10856475.0,542823.75,5.0,10313651.25,0.0,3,2372139.79,150000.0,Direct,End-User,Contracted,False,,,,16.0,23.0,2027-03-31,2027-03-31
SAL-000045,AUR-P1-B2-00038,AUR,CUS-000045,2026-01-16,2026-02-13,AGT-003,Team Apex,,,Direct / Walk-In,,12777358.0,447207.53,3.5,12330150.47,0.0,5,2626322.05,150000.0,Direct,End-User,Contracted,False,,,,27.0,21.3,2027-03-31,2027-03-31
SAL-000046,AUR-P2-B4-00274,AUR,CUS-000046,2026-03-04,2026-03-25,AGT-003,Team Apex,,,Direct / Walk-In,,9906201.9,307092.26,3.1,9599109.64,0.0,3,1583853.09,150000.0,Direct,End-User,Contracted,False,,,,20.0,16.5,2027-03-31,2027-03-31
SAL-000047,AUR-P2-B4-00278,AUR,CUS-000047,2024-09-30,2024-10-01,AGT-001,Team Apex,,,Direct / Walk-In,,8405962.5,445516.01,5.3,7960446.49,0.0,3,1687614.66,150000.0,Direct,End-User,Contracted,False,,,,1.0,21.2,2027-03-31,2027-03-31
SAL-000048,AUR-P1-B3-00100,AUR,CUS-000048,2026-01-11,2026-02-01,AGT-001,Team Apex,BRK-04,,Broker Referral,,16175126.0,695530.42,4.3,15479595.58,407113.36,3,3715102.94,150000.0,Broker,End-User,Cancelled,True,2026-03-25,Price Renegotiation Failed,,21.0,24.0,2027-03-31,2027-03-31
SAL-000049,AUR-P2-B3-00230,AUR,CUS-000049,2024-08-22,2024-09-10,AGT-002,Team Apex,,,Direct / Walk-In,,11139598.8,445583.95,4.0,10694014.85,0.0,6,1700348.36,150000.0,Direct,End-User,Contracted,False,,,,18.0,15.9,2027-03-31,2027-03-31
SAL-000050,AUR-P1-B3-00105,AUR,CUS-000050,2025-07-17,2025-08-14,AGT-001,Team Apex,,,Direct / Walk-In,,12197551.3,317136.33,2.6,11880414.97,0.0,4,2661212.95,150000.0,Direct,End-User,Cancelled,True,2025-10-13,Unit Defect Concern,,28.0,22.4,2027-03-31,2027-03-31
SAL-000051,AUR-P3-B3-00384,AUR,CUS-000051,2025-06-10,2025-06-23,AGT-010,Team Falcon,,,Direct / Walk-In,,18179785.7,1018068.0,5.6,17161717.7,0.0,4,2660066.24,150000.0,Direct,End-User,Contracted,False,,,,13.0,15.5,2027-03-31,2027-03-31
SAL-000052,AUR-P3-B2-00337,AUR,CUS-000052,2025-02-28,2025-03-21,AGT-005,Team Apex,,,Direct / Walk-In,,23581890.8,1108348.87,4.7,22473541.93,0.0,3,5011599.85,150000.0,Direct,End-User,Contracted,False,,,,20.0,22.3,2027-03-31,2027-03-31
SAL-000053,AUR-P1-B2-00052,AUR,CUS-000053,2026-04-23,2026-05-12,AGT-001,Team Apex,,,Direct / Walk-In,,13582459.1,421056.23,3.1,13161402.87,0.0,3,3211382.3,150000.0,Direct,End-User,Contracted,False,,,,18.0,24.4,2027-03-31,2027-03-31
SAL-000054,AUR-P3-B2-00349,AUR,CUS-000054,2025-10-08,,AGT-007,Team Falcon,,,Direct / Walk-In,,13234283.4,648479.89,4.9,12585803.51,0.0,4,2517160.7,150000.0,Direct,End-User,Reserved,False,,,,,20.0,2027-03-31,2027-03-31
SAL-000055,AUR-P1-B4-00111,AUR,CUS-000055,2025-10-02,2025-10-04,AGT-003,Team Apex,,,Direct / Walk-In,,17488032.4,559617.04,3.2,16928415.36,0.0,6,4147461.76,150000.0,Direct,End-User,Contracted,False,,,,2.0,24.5,2027-03-31,2027-03-31
SAL-000056,AUR-P3-B2-00343,AUR,CUS-000056,2025-01-28,2025-02-20,AGT-008,Team Falcon,,,Direct / Walk-In,,6381056.0,299909.63,4.7,6081146.37,0.0,3,1374339.08,127621.12,Direct,End-User,Contracted,False,,,,23.0,22.6,2027-03-31,2027-03-31
SAL-000057,AUR-P1-B1-00032,AUR,CUS-000057,2025-09-03,2025-09-25,AGT-005,Team Apex,,,Direct / Walk-In,,15205100.3,562588.71,3.7,14642511.59,0.0,4,3543487.8,150000.0,Direct,End-User,Contracted,False,,,,21.0,24.2,2027-03-31,2027-03-31
SAL-000058,AUR-P3-B4-00398,AUR,CUS-000058,2025-10-20,,AGT-005,Team Apex,,,Direct / Walk-In,,7772217.0,341977.55,4.4,7430239.45,0.0,6,1642082.92,150000.0,Direct,End-User,Cancelled,True,2025-12-12,Found Alternative Property,,,22.1,2027-03-31,2027-03-31
SAL-000059,AUR-P2-B3-00221,AUR,CUS-000059,2025-09-13,2025-09-25,AGT-009,Team Falcon,,,Direct / Walk-In,,5833399.0,309170.15,5.3,5524228.85,0.0,6,878352.39,116667.98,Direct,End-User,Contracted,False,,,,11.0,15.9,2027-03-31,2027-03-31
SAL-000060,AUR-P2-B2-00198,AUR,CUS-000060,2025-12-04,2025-12-24,AGT-009,Team Falcon,,,Direct / Walk-In,,6464017.8,368449.01,5.7,6095568.79,0.0,6,963099.87,129280.36,Direct,End-User,Contracted,False,,,,19.0,15.8,2027-03-31,2027-03-31
SAL-000061,AUR-P3-B4-00416,AUR,CUS-000061,2025-11-11,2025-11-14,AGT-002,Team Apex,BRK-13,,Broker Referral,,12209486.4,512798.43,4.2,11696687.97,239782.1,4,2772115.05,150000.0,Broker,End-User,Contracted,False,,,,2.0,23.7,2027-03-31,2027-03-31
SAL-000062,AUR-P3-B4-00404,AUR,CUS-000062,2024-11-30,2024-12-21,AGT-004,Team Apex,BRK-10,,Broker Referral,,19821648.0,1050547.34,5.3,18771100.66,354773.8,4,4092099.94,150000.0,Broker,End-User,Contracted,False,,,,20.0,21.8,2027-03-31,2027-03-31
SAL-000063,AUR-P1-B2-00063,AUR,CUS-000063,2025-02-03,2025-02-10,AGT-002,Team Apex,,,Direct / Walk-In,,7030208.4,154664.58,2.2,6875543.82,0.0,4,1038207.12,140604.17,Direct,End-User,Contracted,False,,,,7.0,15.1,2027-03-31,2027-03-31
SAL-000064,AUR-P1-B2-00051,AUR,CUS-000064,2025-04-19,2025-05-04,AGT-005,Team Apex,BRK-13,,Broker Referral,,12266077.2,601037.78,4.9,11665039.42,239133.31,5,1761420.95,150000.0,Broker,End-User,Contracted,False,,,,15.0,15.1,2027-03-31,2027-03-31
SAL-000065,AUR-P2-B1-00159,AUR,CUS-000065,2026-02-26,2026-04-02,AGT-008,Team Falcon,,,Direct / Walk-In,,7427056.6,222811.7,3.0,7204244.9,0.0,3,1095045.22,148541.13,Direct,End-User,Contracted,False,,,,35.0,15.2,2027-03-31,2027-03-31
SAL-000066,AUR-P1-B2-00053,AUR,CUS-000066,2025-05-14,2025-05-15,AGT-009,Team Falcon,,,Direct / Walk-In,,11592550.0,417331.8,3.6,11175218.2,0.0,6,2771454.11,150000.0,Direct,End-User,Contracted,False,,,,1.0,24.8,2027-03-31,2027-03-31
SAL-000067,AUR-P2-B4-00251,AUR,CUS-000067,2024-12-14,2024-12-31,AGT-004,Team Apex,BRK-08,,Broker Referral,,4907002.1,220815.09,4.5,4686187.01,72167.28,4,702928.05,98140.04,Broker,End-User,Contracted,False,,,,17.0,15.0,2027-03-31,2027-03-31
SAL-000068,AUR-P2-B4-00252,AUR,CUS-000068,2026-01-07,2026-01-31,AGT-004,Team Apex,,,Direct / Walk-In,,11371009.8,602663.52,5.3,10768346.28,0.0,3,1766008.79,150000.0,Direct,End-User,Contracted,False,,,,23.0,16.4,2027-03-31,2027-03-31
SAL-000069,AUR-P3-B1-00314,AUR,CUS-000069,2024-11-04,2024-11-09,AGT-003,Team Apex,,,Direct / Walk-In,,14277871.5,599670.6,4.2,13678200.9,0.0,3,2749318.38,150000.0,Direct,End-User,Contracted,False,,,,5.0,20.1,2027-03-31,2027-03-31
SAL-000070,AUR-P3-B3-00373,AUR,CUS-000070,2025-01-19,2025-02-12,AGT-007,Team Falcon,,,Direct / Walk-In,,12441220.0,609619.78,4.9,11831600.22,0.0,6,1987708.84,150000.0,Direct,End-User,Cancelled,True,2025-04-02,Changed Mind,,24.0,16.8,2027-03-31,2027-03-31
SAL-000071,AUR-P3-B4-00395,AUR,CUS-000071,2024-09-24,,AGT-003,Team Apex,,,Direct / Walk-In,,7410640.3,340889.45,4.6,7069750.85,0.0,3,1512926.68,148212.81,Direct,End-User,Reserved,False,,,,,21.4,2027-03-31,2027-03-31
SAL-000072,AUR-P1-B2-00043,AUR,CUS-000072,2025-07-10,2025-08-17,AGT-010,Team Falcon,,,Direct / Walk-In,,10290726.0,360175.41,3.5,9930550.59,0.0,5,1797429.66,150000.0,Direct,End-User,Contracted,False,,,,38.0,18.1,2027-03-31,2027-03-31
SAL-000073,AUR-P2-B2-00210,AUR,CUS-000073,2024-10-09,2024-11-08,AGT-010,Team Falcon,,,Direct / Walk-In,,7489663.9,239669.24,3.2,7249994.66,0.0,4,1196249.12,149793.28,Direct,End-User,Contracted,False,,,,30.0,16.5,2027-03-31,2027-03-31
SAL-000074,AUR-P3-B2-00347,AUR,CUS-000074,2024-11-05,2024-12-02,AGT-008,Team Falcon,,,Direct / Walk-In,,7152388.2,185962.09,2.6,6966426.11,0.0,5,1609244.43,143047.76,Direct,End-User,Contracted,False,,,,27.0,23.1,2027-03-31,2027-03-31
SAL-000075,AUR-P3-B1-00283,AUR,CUS-000075,2025-09-02,2025-09-03,AGT-010,Team Falcon,BRK-07,,Broker Referral,,9038568.5,497121.27,5.5,8541447.23,169120.66,6,1614333.53,150000.0,Broker,End-User,Contracted,False,,,,1.0,18.9,2027-03-31,2027-03-31
SAL-000076,AUR-P1-B3-00085,AUR,CUS-000076,2025-06-07,2025-06-09,AGT-009,Team Falcon,,,Direct / Walk-In,,6360789.6,184462.9,2.9,6176326.7,0.0,6,1167325.75,127215.79,Direct,End-User,Contracted,False,,,,1.0,18.9,2027-03-31,2027-03-31
SAL-000077,AUR-P2-B3-00228,AUR,CUS-000077,2025-06-02,2025-06-29,AGT-001,Team Apex,,,Direct / Walk-In,,5437034.4,320785.03,5.9,5116249.37,0.0,3,1258597.35,108740.69,Direct,End-User,Contracted,False,,,,26.0,24.6,2027-03-31,2027-03-31
SAL-000078,AUR-P2-B1-00147,AUR,CUS-000078,2024-08-11,2024-08-28,AGT-007,Team Falcon,,,Direct / Walk-In,,11148124.0,557406.2,5.0,10590717.8,0.0,6,2573544.43,150000.0,Direct,End-User,Contracted,False,,,,17.0,24.3,2027-03-31,2027-03-31
SAL-000079,AUR-P3-B2-00346,AUR,CUS-000079,2024-12-31,2025-01-04,AGT-004,Team Apex,,,Direct / Walk-In,,5013855.0,160443.36,3.2,4853411.64,0.0,5,1009509.62,100277.1,Direct,End-User,Contracted,False,,,,4.0,20.8,2027-03-31,2027-03-31
SAL-000080,AUR-P2-B4-00262,AUR,CUS-000080,2024-12-28,2025-01-12,AGT-004,Team Apex,,,Direct / Walk-In,,7784420.7,280239.15,3.6,7504181.55,0.0,3,1433298.68,150000.0,Direct,End-User,Contracted,False,,,,15.0,19.1,2027-03-31,2027-03-31
SAL-000081,AUR-P3-B2-00344,AUR,CUS-000081,2025-12-07,2025-12-24,AGT-006,Team Falcon,,,Direct / Walk-In,,5359342.2,230451.71,4.3,5128890.49,0.0,5,1230933.72,107186.84,Direct,End-User,Contracted,False,,,,16.0,24.0,2027-03-31,2027-03-31
SAL-000082,AUR-P1-B2-00041,AUR,CUS-000082,2025-05-04,2025-05-21,AGT-003,Team Apex,BRK-04,,Broker Referral,,7850001.6,408200.08,5.2,7441801.52,195719.38,6,1830683.17,150000.0,Broker,End-User,Contracted,False,,,,17.0,24.6,2027-03-31,2027-03-31
SAL-000083,AUR-P1-B3-00080,AUR,CUS-000083,2025-06-11,2025-06-12,AGT-002,Team Apex,,,Direct / Walk-In,,9526999.0,409660.96,4.3,9117338.04,0.0,5,2033166.38,150000.0,Direct,End-User,Cancelled,True,2025-07-05,Personal / Financial Hardship,,1.0,22.3,2027-03-31,2027-03-31
SAL-000084,AUR-P2-B2-00187,AUR,CUS-000084,2025-10-16,2025-10-17,AGT-010,Team Falcon,,,Direct / Walk-In,,9309151.2,418911.8,4.5,8890239.4,0.0,5,1902511.23,150000.0,Direct,End-User,Contracted,False,,,,1.0,21.4,2027-03-31,2027-03-31
SAL-000085,AUR-P3-B4-00392,AUR,CUS-000085,2024-09-04,2024-10-09,AGT-001,Team Apex,,,Direct / Walk-In,,13412031.6,603541.42,4.5,12808490.18,0.0,6,2805059.35,150000.0,Direct,End-User,Contracted,False,,,,35.0,21.9,2027-03-31,2027-03-31
SAL-000086,AUR-P3-B3-00358,AUR,CUS-000086,2024-10-24,2024-11-16,AGT-007,Team Falcon,,,Direct / Walk-In,,5272707.2,247817.24,4.7,5024889.96,0.0,3,904480.19,105454.14,Direct,End-User,Contracted,False,,,,23.0,18.0,2027-03-31,2027-03-31
SAL-000087,AUR-P2-B2-00205,AUR,CUS-000087,2026-01-06,2026-01-08,AGT-002,Team Apex,,,Direct / Walk-In,,7898299.2,308033.67,3.9,7590265.53,0.0,5,1540823.9,150000.0,Direct,End-User,Contracted,False,,,,1.0,20.3,2027-03-31,2027-03-31
SAL-000088,AUR-P1-B1-00029,AUR,CUS-000088,2025-10-11,2025-10-26,AGT-003,Team Apex,,,Direct / Walk-In,,12084763.4,253780.03,2.1,11830983.37,0.0,6,2673802.24,150000.0,Direct,End-User,Contracted,False,,,,14.0,22.6,2027-03-31,2027-03-31
SAL-000089,AUR-P1-B3-00091,AUR,CUS-000089,2025-09-15,2025-10-14,AGT-006,Team Falcon,,,Direct / Walk-In,,11577109.6,393621.73,3.4,11183487.87,0.0,6,2561018.72,150000.0,Direct,End-User,Contracted,False,,,,28.0,22.9,2027-03-31,2027-03-31
