installment_id,sale_id,customer_id,project_id,due_date,amount_due,installment_type,payment_status,days_overdue,amount_paid,outstanding_amount,payment_date,bounced_payment_flag,rescheduled_flag,grace_period_days
INS-0000021,SAL-000006,CUS-000006,AUR,2027-03-30,735651.17,Regular Installment,Not Yet Due,0,0.0,735651.17,,False,False,10
INS-0000022,SAL-000006,CUS-000006,AUR,2027-06-30,735651.17,Regular Installment,Not Yet Due,0,0.0,735651.17,,False,False,10
INS-0000023,SAL-000007,CUS-000007,AUR,2026-05-20,1369994.83,Down Payment,Overdue,182,77334.67,1292660.16,,False,False,10
INS-0000024,SAL-000007,CUS-000007,AUR,2026-08-20,297809.04,Regular Installment,Not Yet Due,0,0.0,297809.04,,False,False,10
INS-0000025,SAL-000007,CUS-000007,AUR,2026-11-20,297809.04,Regular Installment,Not Yet Due,0,0.0,297809.04,,False,False,10
INS-0000026,SAL-000007,CUS-000007,AUR,2027-02-20,297809.04,Regular Installment,Not Yet Due,0,0.0,297809.04,,False,False,10
INS-0000027,SAL-000007,CUS-000007,AUR,2027-05-20,297809.04,Regular Installment,Not Yet Due,0,0.0,297809.04,,False,False,10
INS-0000028,SAL-000008,CUS-000008,AUR,2026-06-30,2304710.1,Down Payment,Paid,0,2304710.1,0.0,2026-06-27,False,False,10
INS-0000029,SAL-000008,CUS-000008,AUR,2026-09-30,731302.24,Regular Installment,Not Yet Due,0,0.0,731302.24,,False,False,10
INS-0000030,SAL-000008,CUS-000008,AUR,2026-12-30,731302.24,Regular Installment,Not Yet Due,0,0.0,731302.24,,False,False,10
INS-0000031,SAL-000008,CUS-000008,AUR,2027-03-30,731302.24,Regular Installment,Not Yet Due,0,0.0,731302.24,,False,False,10
INS-0000032,SAL-000008,CUS-000008,AUR,2027-06-30,731302.24,Regular Installment,Not Yet Due,0,0.0,731302.24,,False,False,10
INS-0000033,SAL-000009,CUS-000009,AUR,2026-06-26,1575275.31,Down Payment,Paid,0,1575275.31,0.0,2026-06-25,False,False,10
INS-0000034,SAL-000009,CUS-000009,AUR,2026-09-26,498240.49,Regular Installment,Not Yet Due,0,0.0,498240.49,,False,False,10
INS-0000035,SAL-000009,CUS-000009,AUR,2026-12-26,498240.49,Regular Installment,Not Yet Due,0,0.0,498240.49,,False,False,10
INS-0000036,SAL-000009,CUS-000009,AUR,2027-03-26,498240.49,Regular Installment,Not Yet Due,0,0.0,498240.49,,False,False,10
INS-0000037,SAL-000009,CUS-000009,AUR,2027-06-26,498240.49,Regular Installment,Not Yet Due,0,0.0,498240.49,,False,False,10
INS-0000038,SAL-000010,CUS-000010,AUR,2026-05-22,1735582.08,Down Payment,Paid,0,1735582.08,0.0,2026-05-21,False,False,10
INS-0000039,SAL-000010,CUS-000010,AUR,2026-08-22,433895.52,Regular Installment,Not Yet Due,0,0.0,433895.52,,False,False,10
INS-0000040,SAL-000010,CUS-000010,AUR,2026-11-22,433895.52,Regular Installment,Not Yet Due,0,0.0,433895.52,,False,False,10
INS-0000041,SAL-000010,CUS-000010,AUR,2027-02-22,433895.52,Regular Installment,Not Yet Due,0,0.0,433895.52,,False,False,10
INS-0000042,SAL-000010,CUS-000010,AUR,2027-05-22,433895.52,Regular Installment,Not Yet Due,0,0.0,433895.52,,False,False,10
INS-0000043,SAL-000012,CUS-000012,AUR,2026-06-25,2271929.17,Down Payment,Paid,0,2271929.17,0.0,2026-06-23,False,False,10
INS-0000044,SAL-000012,CUS-000012,AUR,2026-09-25,597564.7,Regular Installment,Not Yet Due,0,0.0,597564.7,,False,False,10
INS-0000045,SAL-000012,CUS-000012,AUR,2026-12-25,597564.7,Regular Installment,Not Yet Due,0,0.0,597564.7,,False,False,10
INS-0000046,SAL-000012,CUS-000012,AUR,2027-03-25,597564.7,Regular Installment,Not Yet Due,0,0.0,597564.7,,False,False,10
INS-0000047,SAL-000012,CUS-000012,AUR,2027-06-25,597564.7,Regular Installment,Not Yet Due,0,0.0,597564.7,,False,False,10
INS-0000048,SAL-000013,CUS-000013,AUR,2024-11-23,1729043.26,Down Payment,Paid,0,1729043.26,0.0,2024-11-23,False,False,10
INS-0000049,SAL-000013,CUS-000013,AUR,2025-02-23,485699.65,Regular Installment,Paid,0,485699.65,0.0,2025-02-22,False,False,10
INS-0000050,SAL-000013,CUS-000013,AUR,2025-05-23,485699.65,Regular Installment,Paid,0,485699.65,0.0,2025-05-19,False,False,10
INS-0000051,SAL-000013,CUS-000013,AUR,2025-08-23,485699.65,Regular Installment,Paid,0,485699.65,0.0,2025-08-19,False,False,10
INS-0000052,SAL-000013,CUS-000013,AUR,2025-11-23,485699.65,Regular Installment,Paid,0,485699.65,0.0,2025-11-20,False,False,10
INS-0000053,SAL-000013,CUS-000013,AUR,2026-02-23,485699.65,Regular Installment,Paid,0,485699.65,0.0,2026-02-19,False,False,10
INS-0000054,SAL-000013,CUS-000013,AUR,2026-05-23,485699.65,Regular Installment,Paid,0,485699.65,0.0,2026-05-20,False,False,10
INS-0000055,SAL-000013,CUS-000013,AUR,2026-08-23,485699.65,Regular Installment,Not Yet Due,0,0.0,485699.65,,False,False,10
INS-0000056,SAL-000013,CUS-000013,AUR,2026-11-23,485699.65,Regular Installment,Not Yet Due,0,0.0,485699.65,,False,False,10
INS-0000057,SAL-000013,CUS-000013,AUR,2027-02-23,485699.65,Regular Installment,Not Yet Due,0,0.0,485699.65,,False,False,10
INS-0000058,SAL-000013,CUS-000013,AUR,2027-05-23,485699.65,Regular Installment,Not Yet Due,0,0.0,485699.65,,False,False,10
INS-0000059,SAL-000015,CUS-000015,AUR,2026-02-13,1597506.2,Down Payment,Paid,0,1597506.2,0.0,2026-02-09,False,False,10
INS-0000060,SAL-000015,CUS-000015,AUR,2026-05-13,439853.9,Regular Installment,Paid,0,439853.9,0.0,2026-05-09,False,False,10
INS-0000061,SAL-000015,CUS-000015,AUR,2026-08-13,439853.9,Regular Installment,Not Yet Due,0,0.0,439853.9,,False,False,10
INS-0000062,SAL-000015,CUS-000015,AUR,2026-11-13,439853.9,Regular Installment,Not Yet Due,0,0.0,439853.9,,False,False,10
INS-0000063,SAL-000015,CUS-000015,AUR,2027-02-13,439853.9,Regular Installment,Not Yet Due,0,0.0,439853.9,,False,False,10
INS-0000064,SAL-000015,CUS-000015,AUR,2027-05-13,439853.9,Regular Installment,Not Yet Due,0,0.0,439853.9,,False,False,10
INS-0000065,SAL-000017,CUS-000017,AUR,2026-06-09,1892106.34,Down Payment,Paid,0,1892106.34,0.0,2026-06-06,False,False,10
INS-0000066,SAL-000017,CUS-000017,AUR,2026-09-09,265431.95,Regular Installment,Not Yet Due,0,0.0,265431.95,,False,False,10
INS-0000067,SAL-000017,CUS-000017,AUR,2026-12-09,265431.95,Regular Installment,Not Yet Due,0,0.0,265431.95,,False,False,10
INS-0000068,SAL-000017,CUS-000017,AUR,2027-03-09,265431.95,Regular Installment,Not Yet Due,0,0.0,265431.95,,False,False,10
INS-0000069,SAL-000017,CUS-000017,AUR,2027-06-09,265431.95,Regular Installment,Not Yet Due,0,0.0,265431.95,,False,False,10
INS-0000070,SAL-000018,CUS-000018,AUR,2025-06-23,3918524.07,Down Payment,Paid,0,3918524.07,0.0,2025-06-22,False,False,10
INS-0000071,SAL-000018,CUS-000018,AUR,2025-09-23,1093061.98,Regular Installment,Overdue,9,848509.63,244552.35,,False,False,10
INS-0000072,SAL-000018,CUS-000018,AUR,2025-12-23,1093061.98,Regular Installment,Overdue,199,22176.3,1070885.68,,False,True,10
INS-0000073,SAL-000018,CUS-000018,AUR,2026-03-23,1093061.98,Regular Installment,Paid,0,1093061.98,0.0,2026-03-22,False,False,10
INS-0000074,SAL-000018,CUS-000018,AUR,2026-06-23,1093061.98,Regular Installment,Paid,0,1093061.98,0.0,2026-06-22,False,False,10
INS-0000075,SAL-000018,CUS-000018,AUR,2026-09-23,1093061.98,Regular Installment,Not Yet Due,0,0.0,1093061.98,,False,False,10
INS-0000076,SAL-000018,CUS-000018,AUR,2026-12-23,1093061.98,Regular Installment,Not Yet Due,0,0.0,1093061.98,,False,False,10
INS-0000077,SAL-000018,CUS-000018,AUR,2027-03-23,1093061.98,Regular Installment,Not Yet Due,0,0.0,1093061.98,,False,False,10
INS-0000078,SAL-000018,CUS-000018,AUR,2027-06-23,1093061.98,Regular Installment,Not Yet Due,0,0.0,1093061.98,,False,False,10
INS-0000079,SAL-000019,CUS-000019,AUR,2026-06-30,1929017.39,Down Payment,Paid,0,1929017.39,0.0,2026-06-27,False,False,10
INS-0000080,SAL-000019,CUS-000019,AUR,2026-09-30,588633.98,Regular Installment,Not Yet Due,0,0.0,588633.98,,False,False,10
INS-0000081,SAL-000019,CUS-000019,AUR,2026-12-30,588633.98,Regular Installment,Not Yet Due,0,0.0,588633.98,,False,False,10
INS-0000082,SAL-000019,CUS-000019,AUR,2027-03-30,588633.98,Regular Installment,Not Yet Due,0,0.0,588633.98,,False,False,10
INS-0000083,SAL-000019,CUS-000019,AUR,2027-06-30,588633.98,Regular Installment,Not Yet Due,0,0.0,588633.98,,False,False,10
INS-0000084,SAL-000020,CUS-000020,AUR,2026-06-02,1630152.41,Down Payment,Paid,0,1630152.41,0.0,2026-05-31,False,False,10
INS-0000085,SAL-000020,CUS-000020,AUR,2026-09-02,322634.33,Regular Installment,Not Yet Due,0,0.0,322634.33,,False,False,10
INS-0000086,SAL-000020,CUS-000020,AUR,2026-12-02,322634.33,Regular Installment,Not Yet Due,0,0.0,322634.33,,False,False,10
INS-0000087,SAL-000020,CUS-000020,AUR,2027-03-02,322634.33,Regular Installment,Not Yet Due,0,0.0,322634.33,,False,False,10
INS-0000088,SAL-000020,CUS-000020,AUR,2027-06-02,322634.33,Regular Installment,Not Yet Due,0,0.0,322634.33,,False,False,10
INS-0000089,SAL-000021,CUS-000021,AUR,2026-06-30,2523869.78,Down Payment,Paid,0,2523869.78,0.0,2026-06-30,False,False,10
INS-0000090,SAL-000021,CUS-000021,AUR,2026-09-30,444817.77,Regular Installment,Not Yet Due,0,0.0,444817.77,,False,False,10
INS-0000091,SAL-000021,CUS-000021,AUR,2026-12-30,444817.77,Regular Installment,Not Yet Due,0,0.0,444817.77,,False,False,10
INS-0000092,SAL-000021,CUS-000021,AUR,2027-03-30,444817.77,Regular Installment,Not Yet Due,0,0.0,444817.77,,False,False,10
INS-0000093,SAL-000021,CUS-000021,AUR,2027-06-30,444817.77,Regular Installment,Not Yet Due,0,0.0,444817.77,,False,False,10
INS-0000094,SAL-000022,CUS-000022,AUR,2026-05-19,1478540.69,Down Payment,Paid,0,1478540.69,0.0,2026-05-19,False,False,10
INS-0000095,SAL-000022,CUS-000022,AUR,2026-08-19,292450.82,Regular Installment,Not Yet Due,0,0.0,292450.82,,False,False,10
INS-0000096,SAL-000022,CUS-000022,AUR,2026-11-19,292450.82,Regular Installment,Not Yet Due,0,0.0,292450.82,,False,False,10
INS-0000097,SAL-000022,CUS-000022,AUR,2027-02-19,292450.82,Regular Installment,Not Yet Due,0,0.0,292450.82,,False,False,10
INS-0000098,SAL-000022,CUS-000022,AUR,2027-05-19,292450.82,Regular Installment,Not Yet Due,0,0.0,292450.82,,False,False,10
INS-0000099,SAL-000023,CUS-000023,AUR,2026-06-12,1512960.9,Down Payment,Paid,0,1512960.9,0.0,2026-06-11,False,False,10
INS-0000100,SAL-000023,CUS-000023,AUR,2026-09-12,351742.04,Regular Installment,Not Yet Due,0,0.0,351742.04,,False,False,10
INS-0000101,SAL-000023,CUS-000023,AUR,2026-12-12,351742.04,Regular Installment,Not Yet Due,0,0.0,351742.04,,False,False,10
INS-0000102,SAL-000023,CUS-000023,AUR,2027-03-12,351742.04,Regular Installment,Not Yet Due,0,0.0,351742.04,,False,False,10
INS-0000103,SAL-000023,CUS-000023,AUR,2027-06-12,351742.04,Regular Installment,Not Yet Due,0,0.0,351742.04,,False,False,10
INS-0000104,SAL-000025,CUS-000025,AUR,2026-06-30,2034954.44,Down Payment,Paid,0,2034954.44,0.0,2026-06-26,False,False,10
INS-0000105,SAL-000025,CUS-000025,AUR,2026-09-30,383597.08,Regular Installment,Not Yet Due,0,0.0,383597.08,,False,False,10
INS-0000106,SAL-000025,CUS-000025,AUR,2026-12-30,383597.08,Regular Installment,Not Yet Due,0,0.0,383597.08,,False,False,10
INS-0000107,SAL-000025,CUS-000025,AUR,2027-03-30,383597.08,Regular Installment,Not Yet Due,0,0.0,383597.08,,False,False,10
INS-0000108,SAL-000025,CUS-000025,AUR,2027-06-30,383597.08,Regular Installment,Not Yet Due,0,0.0,383597.08,,False,False,10
INS-0000109,SAL-000026,CUS-000026,AUR,2026-06-30,1078023.0,Down Payment,Paid,0,1078023.0,0.0,2026-06-29,False,False,10
INS-0000110,SAL-000026,CUS-000026,AUR,2026-09-30,238880.1,Regular Installment,Not Yet Due,0,0.0,238880.1,,False,False,10
INS-0000111,SAL-000026,CUS-000026,AUR,2026-12-30,238880.1,Regular Installment,Not Yet Due,0,0.0,238880.1,,False,False,10
INS-0000112,SAL-000026,CUS-000026,AUR,2027-03-30,238880.1,Regular Installment,Not Yet Due,0,0.0,238880.1,,False,False,10
INS-0000113,SAL-000026,CUS-000026,AUR,2027-06-30,238880.1,Regular Installment,Not Yet Due,0,0.0,238880.1,,False,False,10
INS-0000114,SAL-000027,CUS-000027,AUR,2026-06-14,3253325.15,Down Payment,Paid,0,3253325.15,0.0,2026-06-14,False,False,10
INS-0000115,SAL-000027,CUS-000027,AUR,2026-09-14,611934.97,Regular Installment,Not Yet Due,0,0.0,611934.97,,False,False,10
INS-0000116,SAL-000027,CUS-000027,AUR,2026-12-14,611934.97,Regular Installment,Not Yet Due,0,0.0,611934.97,,False,False,10
INS-0000117,SAL-000027,CUS-000027,AUR,2027-03-14,611934.97,Regular Installment,Not Yet Due,0,0.0,611934.97,,False,False,10
INS-0000118,SAL-000027,CUS-000027,AUR,2027-06-14,611934.97,Regular Installment,Not Yet Due,0,0.0,611934.97,,False,False,10
INS-0000119,SAL-000029,CUS-000029,AUR,2026-02-26,957764.05,Down Payment,Paid,0,957764.05,0.0,2026-02-25,False,False,10
INS-0000120,SAL-000029,CUS-000029,AUR,2026-05-26,438456.92,Regular Installment,Voided (Cancelled),0,0.0,438456.92,,False,False,10
INS-0000121,SAL-000029,CUS-000029,AUR,2026-08-26,438456.92,Regular Installment,Voided (Cancelled),0,0.0,438456.92,,False,False,10
INS-0000122,SAL-000029,CUS-000029,AUR,2026-11-26,438456.92,Regular Installment,Voided (Cancelled),0,0.0,438456.92,,False,False,10
INS-0000123,SAL-000029,CUS-000029,AUR,2027-02-26,438456.92,Regular Installment,Voided (Cancelled),0,0.0,438456.92,,False,False,10
INS-0000124,SAL-000029,CUS-000029,AUR,2027-05-26,438456.92,Regular Installment,Voided (Cancelled),0,0.0,438456.92,,False,False,10
INS-0000125,SAL-000030,CUS-000030,AUR,2026-06-30,1532213.51,Down Payment,Paid,0,1532213.51,0.0,2026-06-28,False,False,10
INS-0000126,SAL-000030,CUS-000030,AUR,2026-09-30,256479.22,Regular Installment,Not Yet Due,0,0.0,256479.22,,False,False,10
INS-0000127,SAL-000030,CUS-000030,AUR,2026-12-30,256479.22,Regular Installment,Not Yet Due,0,0.0,256479.22,,False,False,10
INS-0000128,SAL-000030,CUS-000030,AUR,2027-03-30,256479.22,Regular Installment,Not Yet Due,0,0.0,256479.22,,False,False,10
INS-0000129,SAL-000030,CUS-000030,AUR,2027-06-30,256479.22,Regular Installment,Not Yet Due,0,0.0,256479.22,,False,False,10
INS-0000130,SAL-000031,CUS-000031,AUR,2026-06-30,2121005.25,Down Payment,Paid,0,2121005.25,0.0,2026-06-29,False,False,10
INS-0000131,SAL-000031,CUS-000031,AUR,2026-09-30,345227.45,Regular Installment,Not Yet Due,0,0.0,345227.45,,False,False,10
INS-0000132,SAL-000031,CUS-000031,AUR,2026-12-30,345227.45,Regular Installment,Not Yet Due,0,0.0,345227.45,,False,False,10
INS-0000133,SAL-000031,CUS-000031,AUR,2027-03-30,345227.45,Regular Installment,Not Yet Due,0,0.0,345227.45,,False,False,10
INS-0000134,SAL-000031,CUS-000031,AUR,2027-06-30,345227.45,Regular Installment,Not Yet Due,0,0.0,345227.45,,False,False,10
INS-0000135,SAL-000032,CUS-000032,AUR,2026-06-30,1172273.09,Down Payment,Paid,0,1172273.09,0.0,2026-06-28,False,False,10
INS-0000136,SAL-000032,CUS-000032,AUR,2026-09-30,172172.08,Regular Installment,Not Yet Due,0,0.0,172172.08,,False,False,10
INS-0000137,SAL-000032,CUS-000032,AUR,2026-12-30,172172.08,Regular Installment,Not Yet Due,0,0.0,172172.08,,False,False,10
INS-0000138,SAL-000032,CUS-000032,AUR,2027-03-30,172172.08,Regular Installment,Not Yet Due,0,0.0,172172.08,,False,False,10
INS-0000139,SAL-000032,CUS-000032,AUR,2027-06-30,172172.08,Regular Installment,Not Yet Due,0,0.0,172172.08,,False,False,10
INS-0000140,SAL-000033,CUS-000033,AUR,2026-06-20,3729309.64,Down Payment,Paid,0,3729309.64,0.0,2026-06-17,False,False,10
INS-0000141,SAL-000033,CUS-000033,AUR,2026-09-20,564000.53,Regular Installment,Not Yet Due,0,0.0,564000.53,,False,False,10
INS-0000142,SAL-000033,CUS-000033,AUR,2026-12-20,564000.53,Regular Installment,Not Yet Due,0,0.0,564000.53,,False,False,10
INS-0000143,SAL-000033,CUS-000033,AUR,2027-03-20,564000.53,Regular Installment,Not Yet Due,0,0.0,564000.53,,False,False,10
INS-0000144,SAL-000033,CUS-000033,AUR,2027-06-20,564000.53,Regular Installment,Not Yet Due,0,0.0,564000.53,,False,False,10
INS-0000145,SAL-000034,CUS-000034,AUR,2026-06-30,2375400.25,Down Payment,Paid,0,2375400.25,0.0,2026-06-29,False,False,10
INS-0000146,SAL-000034,CUS-000034,AUR,2026-09-30,491462.12,Regular Installment,Not Yet Due,0,0.0,491462.12,,False,False,10
INS-0000147,SAL-000034,CUS-000034,AUR,2026-12-30,491462.12,Regular Installment,Not Yet Due,0,0.0,491462.12,,False,False,10
INS-0000148,SAL-000034,CUS-000034,AUR,2027-03-30,491462.12,Regular Installment,Not Yet Due,0,0.0,491462.12,,False,False,10
INS-0000149,SAL-000034,CUS-000034,AUR,2027-06-30,491462.12,Regular Installment,Not Yet Due,0,0.0,491462.12,,False,False,10
INS-0000150,SAL-000035,CUS-000035,AUR,2026-06-20,1717363.52,Down Payment,Paid,0,1717363.52,0.0,2026-06-18,False,False,10
INS-0000151,SAL-000035,CUS-000035,AUR,2026-09-20,436293.77,Regular Installment,Not Yet Due,0,0.0,436293.77,,False,False,10
INS-0000152,SAL-000035,CUS-000035,AUR,2026-12-20,436293.77,Regular Installment,Not Yet Due,0,0.0,436293.77,,False,False,10
INS-0000153,SAL-000035,CUS-000035,AUR,2027-03-20,436293.77,Regular Installment,Not Yet Due,0,0.0,436293.77,,False,False,10
INS-0000154,SAL-000035,CUS-000035,AUR,2027-06-20,436293.77,Regular Installment,Not Yet Due,0,0.0,436293.77,,False,False,10
INS-0000155,SAL-000039,CUS-000039,AUR,2026-04-12,1913651.83,Down Payment,Paid,0,1913651.83,0.0,2026-04-09,False,False,10
INS-0000156,SAL-000039,CUS-000039,AUR,2026-07-12,506591.73,Regular Installment,Not Yet Due,0,0.0,506591.73,,False,False,10
INS-0000157,SAL-000039,CUS-000039,AUR,2026-10-12,506591.73,Regular Installment,Not Yet Due,0,0.0,506591.73,,False,False,10
INS-0000158,SAL-000039,CUS-000039,AUR,2027-01-12,506591.73,Regular Installment,Not Yet Due,0,0.0,506591.73,,False,False,10
INS-0000159,SAL-000039,CUS-000039,AUR,2027-04-12,506591.73,Regular Installment,Not Yet Due,0,0.0,506591.73,,False,False,10
INS-0000160,SAL-000040,CUS-000040,AUR,2026-01-12,2009055.68,Down Payment,Overdue,118,512437.17,1496618.51,,False,False,10
INS-0000161,SAL-000040,CUS-000040,AUR,2026-04-12,859703.27,Regular Installment,Paid,0,859703.27,0.0,2026-04-12,False,False,10
INS-0000162,SAL-000040,CUS-000040,AUR,2026-07-12,859703.27,Regular Installment,Not Yet Due,0,0.0,859703.27,,False,False,10
INS-0000163,SAL-000040,CUS-000040,AUR,2026-10-12,859703.27,Regular Installment,Not Yet Due,0,0.0,859703.27,,False,False,10
INS-0000164,SAL-000040,CUS-000040,AUR,2027-01-12,859703.27,Regular Installment,Not Yet Due,0,0.0,859703.27,,False,False,10
INS-0000165,SAL-000040,CUS-000040,AUR,2027-04-12,859703.27,Regular Installment,Not Yet Due,0,0.0,859703.27,,False,False,10
INS-0000166,SAL-000041,CUS-000041,AUR,2025-11-18,1924090.02,Down Payment,Paid,0,1924090.02,0.0,2025-11-15,False,False,10
INS-0000167,SAL-000041,CUS-000041,AUR,2026-02-18,409504.84,Regular Installment,Overdue,155,13248.1,396256.74,,False,False,10
INS-0000168,SAL-000041,CUS-000041,AUR,2026-05-18,409504.84,Regular Installment,Paid,0,409504.84,0.0,2026-05-15,False,False,10
INS-0000169,SAL-000041,CUS-000041,AUR,2026-08-18,409504.84,Regular Installment,Not Yet Due,0,0.0,409504.84,,False,False,10
INS-0000170,SAL-000041,CUS-000041,AUR,2026-11-18,409504.84,Regular Installment,Not Yet Due,0,0.0,409504.84,,False,False,10
INS-0000171,SAL-000041,CUS-000041,AUR,2027-02-18,409504.84,Regular Installment,Not Yet Due,0,0.0,409504.84,,False,False,10
INS-0000172,SAL-000041,CUS-000041,AUR,2027-05-18,409504.84,Regular Installment,Not Yet Due,0,0.0,409504.84,,False,False,10
INS-0000173,SAL-000042,CUS-000042,AUR,2026-05-16,1482187.57,Down Payment,Paid,0,1482187.57,0.0,2026-05-16,False,False,10
INS-0000174,SAL-000042,CUS-000042,AUR,2026-08-16,314814.23,Regular Installment,Voided (Cancelled),0,0.0,314814.23,,False,False,10
INS-0000175,SAL-000042,CUS-000042,AUR,2026-11-16,314814.23,Regular Installment,Voided (Cancelled),0,0.0,314814.23,,False,False,10
INS-0000176,SAL-000042,CUS-000042,AUR,2027-02-16,314814.23,Regular Installment,Voided (Cancelled),0,0.0,314814.23,,False,False,10
INS-0000177,SAL-000042,CUS-000042,AUR,2027-05-16,314814.23,Regular Installment,Voided (Cancelled),0,0.0,314814.23,,False,False,10
INS-0000178,SAL-000043,CUS-000043,AUR,2026-06-30,1915755.05,Down Payment,Paid,0,1915755.05,0.0,2026-06-29,False,False,10
INS-0000179,SAL-000043,CUS-000043,AUR,2026-09-30,356368.82,Regular Installment,Not Yet Due,0,0.0,356368.82,,False,False,10
INS-0000180,SAL-000043,CUS-000043,AUR,2026-12-30,356368.82,Regular Installment,Not Yet Due,0,0.0,356368.82,,False,False,10
INS-0000181,SAL-000043,CUS-000043,AUR,2027-03-30,356368.82,Regular Installment,Not Yet Due,0,0.0,356368.82,,False,False,10
INS-0000182,SAL-000043,CUS-000043,AUR,2027-06-30,356368.82,Regular Installment,Not Yet Due,0,0.0,356368.82,,False,False,10
INS-0000183,SAL-000044,CUS-000044,AUR,2025-07-20,2372139.79,Down Payment,Paid,0,2372139.79,0.0,2025-07-20,False,False,10
INS-0000184,SAL-000044,CUS-000044,AUR,2025-10-20,661792.62,Regular Installment,Paid,0,661792.62,0.0,2025-10-19,False,False,10
INS-0000185,SAL-000044,CUS-000044,AUR,2026-01-20,661792.62,Regular Installment,Paid,0,661792.62,0.0,2026-01-20,False,False,10
INS-0000186,SAL-000044,CUS-000044,AUR,2026-04-20,661792.62,Regular Installment,Paid,0,661792.62,0.0,2026-04-20,False,False,10
INS-0000187,SAL-000044,CUS-000044,AUR,2026-07-20,661792.62,Regular Installment,Not Yet Due,0,0.0,661792.62,,False,False,10
INS-0000188,SAL-000044,CUS-000044,AUR,2026-10-20,661792.62,Regular Installment,Not Yet Due,0,0.0,661792.62,,False,False,10
INS-0000189,SAL-000044,CUS-000044,AUR,2027-01-20,661792.62,Regular Installment,Not Yet Due,0,0.0,661792.62,,False,False,10
INS-0000190,SAL-000044,CUS-000044,AUR,2027-04-20,661792.62,Regular Installment,Not Yet Due,0,0.0,661792.62,,False,False,10
INS-0000191,SAL-000045,CUS-000045,AUR,2026-02-13,2626322.05,Down Payment,Paid,0,2626322.05,0.0,2026-02-12,False,False,10
INS-0000192,SAL-000045,CUS-000045,AUR,2026-05-13,485191.42,Regular Installment,Paid,0,485191.42,0.0,2026-05-11,False,False,10
INS-0000193,SAL-000045,CUS-000045,AUR,2026-08-13,485191.42,Regular Installment,Not Yet Due,0,0.0,485191.42,,False,False,10
INS-0000194,SAL-000045,CUS-000045,AUR,2026-11-13,485191.42,Regular Installment,Not Yet Due,0,0.0,485191.42,,False,False,10
INS-0000195,SAL-000045,CUS-000045,AUR,2027-02-13,485191.42,Regular Installment,Not Yet Due,0,0.0,485191.42,,False,False,10
