snag_id,handover_id,unit_id,category,severity,created_at,target_resolution_date,resolved_at,status,contractor,reopen_count
SNG-00032,HAN-0019,MER-P1-B1-01674,Flooring,Moderate,2025-10-24,2025-11-07,2025-11-13,Resolved,Cairo Structural Works,0
SNG-00033,HAN-0019,MER-P1-B1-01674,HVAC,Minor,2025-10-24,2025-10-31,2025-11-02,Resolved,Nile Engineering Contractors,0
SNG-00034,HAN-0019,MER-P1-B1-01674,Doors & Windows,Minor,2025-11-06,2025-11-13,,Open,Delta Construction Group,0
SNG-00035,HAN-0020,MER-P1-B1-01675,Doors & Windows,Moderate,2025-10-29,2025-11-12,2025-11-17,Resolved,Cairo Structural Works,0
SNG-00036,HAN-0020,MER-P1-B1-01675,Structural,Minor,2025-10-27,2025-11-03,,Open,Cairo Structural Works,0
SNG-00037,HAN-0020,MER-P1-B1-01675,Plumbing,Major,2025-10-16,2025-11-15,2025-11-10,Resolved,Prime MEP Solutions,0
SNG-00038,HAN-0022,MER-P1-B1-01677,Structural,Major,2025-10-22,2025-11-21,,Open,Prime MEP Solutions,0
SNG-00039,HAN-0024,MER-P1-B1-01679,Paint & Finishing,Moderate,2025-10-15,2025-10-29,2025-11-02,Resolved,Prime MEP Solutions,0
SNG-00040,HAN-0025,MER-P1-B1-01680,Structural,Minor,2025-11-19,2025-11-26,2025-11-27,Resolved,Delta Construction Group,0
SNG-00041,HAN-0027,MER-P1-B1-01682,HVAC,Moderate,2025-10-22,2025-11-05,2025-11-15,Resolved,Horizon Build Partners,0
SNG-00042,HAN-0027,MER-P1-B1-01682,Flooring,Minor,2025-10-22,2025-10-29,2025-11-03,Resolved,Nile Engineering Contractors,0
SNG-00043,HAN-0027,MER-P1-B1-01682,Plumbing,Minor,2025-10-28,2025-11-04,2025-11-04,Resolved,Horizon Build Partners,0
SNG-00044,HAN-0028,MER-P1-B1-01684,HVAC,Moderate,2025-10-13,2025-10-27,2025-11-04,Resolved,Nile Engineering Contractors,0
SNG-00045,HAN-0028,MER-P1-B1-01684,HVAC,Minor,2025-10-30,2025-11-06,,In Progress,Nile Engineering Contractors,0
SNG-00046,HAN-0029,MER-P1-B1-01685,Structural,Minor,2025-10-26,2025-11-02,2025-11-03,Resolved,Nile Engineering Contractors,0
SNG-00047,HAN-0029,MER-P1-B1-01685,Structural,Minor,2025-11-01,2025-11-08,2025-11-07,Resolved,Modern Facade Systems,0
SNG-00048,HAN-0029,MER-P1-B1-01685,Paint & Finishing,Major,2025-11-01,2025-12-01,2025-12-19,Resolved,Cairo Structural Works,0
SNG-00049,HAN-0031,MER-P1-B1-01687,Paint & Finishing,Moderate,2025-10-28,2025-11-11,2025-11-18,Resolved,Horizon Build Partners,0
SNG-00050,HAN-0031,MER-P1-B1-01687,Electrical,Moderate,2025-11-01,2025-11-15,2025-11-12,Resolved,Nile Engineering Contractors,0
SNG-00051,HAN-0032,MER-P1-B1-01689,HVAC,Minor,2025-10-24,2025-10-31,,Open,Modern Facade Systems,0
SNG-00052,HAN-0034,MER-P1-B2-01694,Electrical,Minor,2025-10-13,2025-10-20,2025-10-25,Resolved,Delta Construction Group,0
SNG-00053,HAN-0034,MER-P1-B2-01694,Doors & Windows,Minor,2025-10-27,2025-11-03,,Open,Nile Engineering Contractors,0
SNG-00054,HAN-0034,MER-P1-B2-01694,Flooring,Minor,2025-10-21,2025-10-28,2025-10-29,Resolved,Nile Engineering Contractors,0
SNG-00055,HAN-0035,MER-P1-B2-01695,Doors & Windows,Minor,2025-10-25,2025-11-01,2025-10-31,Resolved,Delta Construction Group,0
SNG-00056,HAN-0036,MER-P1-B2-01696,HVAC,Minor,2025-10-20,2025-10-27,2025-10-30,Resolved,Cairo Structural Works,0
SNG-00057,HAN-0037,MER-P1-B2-01699,Flooring,Moderate,2025-11-05,2025-11-19,,Open,Delta Construction Group,0
SNG-00058,HAN-0037,MER-P1-B2-01699,Structural,Major,2025-10-28,2025-11-27,2025-12-05,Resolved,Prime MEP Solutions,0
SNG-00059,HAN-0037,MER-P1-B2-01699,Paint & Finishing,Minor,2025-10-23,2025-10-30,2025-10-31,Resolved,Nile Engineering Contractors,0
SNG-00060,HAN-0038,MER-P1-B2-01700,HVAC,Minor,2025-10-22,2025-10-29,,Open,Cairo Structural Works,0
SNG-00061,HAN-0038,MER-P1-B2-01700,Flooring,Moderate,2025-11-01,2025-11-15,2025-11-12,Resolved,Modern Facade Systems,0
SNG-00062,HAN-0040,MER-P1-B2-01702,Paint & Finishing,Moderate,2025-10-16,2025-10-30,,In Progress,Horizon Build Partners,0
SNG-00063,HAN-0042,MER-P1-B2-01705,HVAC,Moderate,2025-10-30,2025-11-13,,In Progress,Nile Engineering Contractors,0
SNG-00064,HAN-0042,MER-P1-B2-01705,Plumbing,Moderate,2025-11-09,2025-11-23,,In Progress,Horizon Build Partners,0
SNG-00065,HAN-0042,MER-P1-B2-01705,HVAC,Moderate,2025-10-25,2025-11-08,2025-11-04,Resolved,Nile Engineering Contractors,0
SNG-00066,HAN-0043,MER-P1-B2-01706,Structural,Minor,2025-10-17,2025-10-24,2025-10-24,Resolved,Nile Engineering Contractors,1
SNG-00067,HAN-0043,MER-P1-B2-01706,Flooring,Minor,2025-10-22,2025-10-29,,Open,Nile Engineering Contractors,0
SNG-00068,HAN-0043,MER-P1-B2-01706,Flooring,Minor,2025-10-14,2025-10-21,2025-10-20,Resolved,Horizon Build Partners,0
SNG-00069,HAN-0044,MER-P1-B2-01709,Doors & Windows,Minor,2025-10-27,2025-11-03,2025-11-03,Resolved,Cairo Structural Works,0
SNG-00070,HAN-0045,MER-P1-B2-01710,Flooring,Minor,2025-10-17,2025-10-24,,Open,Nile Engineering Contractors,0
SNG-00071,HAN-0045,MER-P1-B2-01710,Doors & Windows,Major,2025-10-20,2025-11-19,2025-11-07,Resolved,Cairo Structural Works,0
SNG-00072,HAN-0045,MER-P1-B2-01710,Electrical,Moderate,2025-10-24,2025-11-07,2025-11-13,Resolved,Cairo Structural Works,0
SNG-00073,HAN-0046,MER-P1-B2-01711,Flooring,Minor,2025-11-05,2025-11-12,2025-11-17,Resolved,Prime MEP Solutions,0
SNG-00074,HAN-0046,MER-P1-B2-01711,Electrical,Minor,2025-10-17,2025-10-24,,In Progress,Modern Facade Systems,0
SNG-00075,HAN-0049,MER-P1-B2-01715,Structural,Moderate,2025-10-06,2025-10-20,2025-10-31,Resolved,Delta Construction Group,0
SNG-00076,HAN-0049,MER-P1-B2-01715,Doors & Windows,Moderate,2025-10-07,2025-10-21,2025-10-27,Resolved,Horizon Build Partners,0
SNG-00077,HAN-0050,MER-P1-B2-01716,Paint & Finishing,Minor,2025-10-06,2025-10-13,2025-10-15,Resolved,Delta Construction Group,0
SNG-00078,HAN-0054,MER-P1-B2-01722,Plumbing,Moderate,2025-10-16,2025-10-30,2025-11-07,Resolved,Prime MEP Solutions,0
SNG-00079,HAN-0054,MER-P1-B2-01722,Electrical,Minor,2025-10-31,2025-11-07,2025-11-07,Resolved,Delta Construction Group,0
SNG-00080,HAN-0054,MER-P1-B2-01722,HVAC,Moderate,2025-10-16,2025-10-30,,In Progress,Nile Engineering Contractors,0
SNG-00081,HAN-0056,MER-P1-B2-01724,Flooring,Minor,2025-11-04,2025-11-11,2025-11-09,Resolved,Prime MEP Solutions,0
SNG-00082,HAN-0056,MER-P1-B2-01724,Flooring,Minor,2025-10-25,2025-11-01,,Open,Prime MEP Solutions,0
SNG-00083,HAN-0056,MER-P1-B2-01724,Electrical,Minor,2025-11-03,2025-11-10,2025-11-15,Resolved,Prime MEP Solutions,0
SNG-00084,HAN-0057,MER-P1-B2-01725,Structural,Minor,2025-10-22,2025-10-29,2025-10-27,Resolved,Nile Engineering Contractors,0
SNG-00085,HAN-0058,MER-P1-B2-01726,Electrical,Minor,2025-10-30,2025-11-06,,Open,Cairo Structural Works,0
SNG-00086,HAN-0058,MER-P1-B2-01726,HVAC,Moderate,2025-11-01,2025-11-15,,Open,Cairo Structural Works,0
SNG-00087,HAN-0058,MER-P1-B2-01726,Flooring,Moderate,2025-10-29,2025-11-12,,In Progress,Modern Facade Systems,0
SNG-00088,HAN-0059,MER-P1-B3-01727,HVAC,Moderate,2026-02-09,2026-02-23,,Open,Nile Engineering Contractors,0
SNG-00089,HAN-0059,MER-P1-B3-01727,Structural,Minor,2026-02-14,2026-02-21,,Open,Cairo Structural Works,0
SNG-00090,HAN-0059,MER-P1-B3-01727,Plumbing,Major,2026-02-10,2026-03-12,2026-03-14,Resolved,Cairo Structural Works,1
SNG-00091,HAN-0060,MER-P1-B3-01728,Flooring,Moderate,2026-01-02,2026-01-16,,Open,Delta Construction Group,0
SNG-00092,HAN-0060,MER-P1-B3-01728,Electrical,Major,2026-01-09,2026-02-08,2026-02-25,Resolved,Horizon Build Partners,0
SNG-00093,HAN-0060,MER-P1-B3-01728,Electrical,Moderate,2025-12-28,2026-01-11,,Open,Horizon Build Partners,0
SNG-00094,HAN-0061,MER-P1-B3-01730,Paint & Finishing,Major,2026-02-10,2026-03-12,2026-03-08,Resolved,Delta Construction Group,0
SNG-00095,HAN-0061,MER-P1-B3-01730,Plumbing,Moderate,2026-02-12,2026-02-26,2026-03-05,Resolved,Cairo Structural Works,0
SNG-00096,HAN-0061,MER-P1-B3-01730,Paint & Finishing,Minor,2026-02-16,2026-02-23,,Open,Horizon Build Partners,0
SNG-00097,HAN-0061,MER-P1-B3-01730,Flooring,Minor,2026-02-20,2026-02-27,,In Progress,Delta Construction Group,0
SNG-00098,HAN-0061,MER-P1-B3-01730,Paint & Finishing,Moderate,2026-02-11,2026-02-25,,In Progress,Cairo Structural Works,0
SNG-00099,HAN-0061,MER-P1-B3-01730,Paint & Finishing,Moderate,2026-02-08,2026-02-22,2026-03-02,Resolved,Cairo Structural Works,0
SNG-00100,HAN-0061,MER-P1-B3-01730,HVAC,Major,2026-02-21,2026-03-23,,Open,Modern Facade Systems,0
SNG-00101,HAN-0062,MER-P1-B3-01731,Electrical,Major,2026-02-24,2026-03-26,2026-04-12,Resolved,Horizon Build Partners,0
SNG-00102,HAN-0062,MER-P1-B3-01731,Structural,Minor,2026-03-01,2026-03-08,,In Progress,Delta Construction Group,0
SNG-00103,HAN-0062,MER-P1-B3-01731,Structural,Minor,2026-03-07,2026-03-14,2026-03-17,Resolved,Modern Facade Systems,0
SNG-00104,HAN-0063,MER-P1-B3-01732,HVAC,Minor,2026-03-06,2026-03-13,2026-03-11,Resolved,Modern Facade Systems,0
SNG-00105,HAN-0063,MER-P1-B3-01732,Electrical,Minor,2026-03-02,2026-03-09,2026-03-12,Resolved,Modern Facade Systems,0
SNG-00106,HAN-0063,MER-P1-B3-01732,Plumbing,Major,2026-03-17,2026-04-16,,Open,Horizon Build Partners,0
SNG-00107,HAN-0063,MER-P1-B3-01732,Doors & Windows,Moderate,2026-03-10,2026-03-24,2026-04-02,Resolved,Nile Engineering Contractors,0
SNG-00108,HAN-0063,MER-P1-B3-01732,Doors & Windows,Major,2026-02-26,2026-03-28,2026-04-06,Resolved,Delta Construction Group,0
SNG-00109,HAN-0063,MER-P1-B3-01732,Flooring,Major,2026-02-26,2026-03-28,,Open,Nile Engineering Contractors,0
SNG-00110,HAN-0063,MER-P1-B3-01732,Plumbing,Moderate,2026-03-03,2026-03-17,,Open,Nile Engineering Contractors,0
SNG-00111,HAN-0064,MER-P1-B3-01735,Paint & Finishing,Minor,2026-01-06,2026-01-13,,In Progress,Nile Engineering Contractors,0
SNG-00112,HAN-0064,MER-P1-B3-01735,Paint & Finishing,Major,2025-12-28,2026-01-27,,Open,Nile Engineering Contractors,0
SNG-00113,HAN-0064,MER-P1-B3-01735,Flooring,Major,2025-12-30,2026-01-29,2026-01-22,Resolved,Horizon Build Partners,0
SNG-00114,HAN-0064,MER-P1-B3-01735,Structural,Moderate,2026-01-03,2026-01-17,2026-01-21,Resolved,Horizon Build Partners,0
SNG-00115,HAN-0064,MER-P1-B3-01735,Flooring,Major,2026-01-02,2026-02-01,,In Progress,Horizon Build Partners,0
SNG-00116,HAN-0064,MER-P1-B3-01735,Paint & Finishing,Minor,2026-01-05,2026-01-12,2026-01-12,Resolved,Horizon Build Partners,0
SNG-00117,HAN-0064,MER-P1-B3-01735,HVAC,Moderate,2025-12-31,2026-01-14,2026-01-18,Resolved,Cairo Structural Works,0
SNG-00118,HAN-0065,MER-P1-B3-01736,Plumbing,Minor,2026-03-15,2026-03-22,2026-03-26,Resolved,Cairo Structural Works,0
SNG-00119,HAN-0065,MER-P1-B3-01736,Electrical,Major,2026-03-18,2026-04-17,,In Progress,Prime MEP Solutions,0
SNG-00120,HAN-0065,MER-P1-B3-01736,Electrical,Major,2026-03-19,2026-04-18,,Open,Horizon Build Partners,0
SNG-00121,HAN-0065,MER-P1-B3-01736,Flooring,Major,2026-03-20,2026-04-19,,Open,Cairo Structural Works,0
SNG-00122,HAN-0066,MER-P1-B3-01737,Paint & Finishing,Moderate,2025-12-23,2026-01-06,,Open,Delta Construction Group,0
SNG-00123,HAN-0066,MER-P1-B3-01737,Electrical,Moderate,2025-12-29,2026-01-12,2026-01-10,Resolved,Modern Facade Systems,1
SNG-00124,HAN-0066,MER-P1-B3-01737,Doors & Windows,Major,2025-12-22,2026-01-21,2026-02-01,Resolved,Nile Engineering Contractors,0
SNG-00125,HAN-0066,MER-P1-B3-01737,Electrical,Minor,2026-01-06,2026-01-13,2026-01-14,Resolved,Horizon Build Partners,0
SNG-00126,HAN-0066,MER-P1-B3-01737,Plumbing,Moderate,2026-01-06,2026-01-20,2026-01-15,Resolved,Delta Construction Group,0
SNG-00127,HAN-0066,MER-P1-B3-01737,Flooring,Moderate,2025-12-24,2026-01-07,,In Progress,Modern Facade Systems,0
SNG-00128,HAN-0066,MER-P1-B3-01737,Plumbing,Minor,2025-12-23,2025-12-30,2025-12-30,Resolved,Horizon Build Partners,1
SNG-00129,HAN-0067,MER-P1-B3-01738,Structural,Major,2026-03-16,2026-04-15,,Open,Delta Construction Group,0
SNG-00130,HAN-0067,MER-P1-B3-01738,Doors & Windows,Major,2026-03-05,2026-04-04,,Open,Horizon Build Partners,0
SNG-00131,HAN-0067,MER-P1-B3-01738,Electrical,Moderate,2026-03-08,2026-03-22,,In Progress,Modern Facade Systems,0
SNG-00132,HAN-0067,MER-P1-B3-01738,Flooring,Minor,2026-03-12,2026-03-19,2026-03-18,Resolved,Horizon Build Partners,0
SNG-00133,HAN-0068,MER-P1-B3-01739,Flooring,Major,2025-12-18,2026-01-17,,Open,Cairo Structural Works,0
SNG-00134,HAN-0068,MER-P1-B3-01739,Electrical,Minor,2025-12-14,2025-12-21,2025-12-24,Resolved,Delta Construction Group,1
SNG-00135,HAN-0068,MER-P1-B3-01739,HVAC,Minor,2025-12-30,2026-01-06,,Open,Prime MEP Solutions,0
SNG-00136,HAN-0068,MER-P1-B3-01739,Flooring,Major,2025-12-20,2026-01-19,,Open,Horizon Build Partners,0
SNG-00137,HAN-0068,MER-P1-B3-01739,Flooring,Major,2025-12-21,2026-01-20,2026-01-09,Resolved,Cairo Structural Works,0
SNG-00138,HAN-0069,MER-P1-B3-01740,Flooring,Moderate,2026-02-01,2026-02-15,2026-02-22,Resolved,Prime MEP Solutions,0
SNG-00139,HAN-0069,MER-P1-B3-01740,Doors & Windows,Moderate,2026-01-14,2026-01-28,,Open,Prime MEP Solutions,0
SNG-00140,HAN-0069,MER-P1-B3-01740,Doors & Windows,Major,2026-01-22,2026-02-21,,In Progress,Nile Engineering Contractors,0
SNG-00141,HAN-0070,MER-P1-B3-01741,HVAC,Major,2026-02-23,2026-03-25,,Open,Prime MEP Solutions,0
SNG-00142,HAN-0070,MER-P1-B3-01741,Plumbing,Moderate,2026-02-21,2026-03-07,,In Progress,Horizon Build Partners,0
SNG-00143,HAN-0070,MER-P1-B3-01741,Doors & Windows,Major,2026-02-10,2026-03-12,,In Progress,Prime MEP Solutions,0
SNG-00144,HAN-0070,MER-P1-B3-01741,Structural,Moderate,2026-02-12,2026-02-26,2026-02-21,Resolved,Horizon Build Partners,0
SNG-00145,HAN-0070,MER-P1-B3-01741,Plumbing,Moderate,2026-02-25,2026-03-11,,In Progress,Horizon Build Partners,0
SNG-00146,HAN-0070,MER-P1-B3-01741,Plumbing,Moderate,2026-02-26,2026-03-12,2026-03-13,Resolved,Modern Facade Systems,0
SNG-00147,HAN-0071,MER-P1-B3-01742,HVAC,Minor,2026-01-06,2026-01-13,,In Progress,Prime MEP Solutions,0
SNG-00148,HAN-0071,MER-P1-B3-01742,Paint & Finishing,Major,2026-01-16,2026-02-15,2026-03-04,Resolved,Delta Construction Group,0
SNG-00149,HAN-0071,MER-P1-B3-01742,Plumbing,Moderate,2026-01-05,2026-01-19,,Open,Nile Engineering Contractors,0
SNG-00150,HAN-0071,MER-P1-B3-01742,Flooring,Major,2025-12-30,2026-01-29,,Open,Prime MEP Solutions,0
SNG-00151,HAN-0072,MER-P1-B3-01744,Doors & Windows,Moderate,2026-01-23,2026-02-06,2026-02-07,Resolved,Cairo Structural Works,0
SNG-00152,HAN-0072,MER-P1-B3-01744,HVAC,Moderate,2026-02-03,2026-02-17,,Open,Modern Facade Systems,0
SNG-00153,HAN-0072,MER-P1-B3-01744,Plumbing,Moderate,2026-01-21,2026-02-04,,Open,Modern Facade Systems,0
SNG-00154,HAN-0073,MER-P1-B3-01745,Structural,Major,2026-02-04,2026-03-06,,Open,Horizon Build Partners,0
SNG-00155,HAN-0073,MER-P1-B3-01745,Electrical,Minor,2026-01-24,2026-01-31,,In Progress,Delta Construction Group,0
SNG-00156,HAN-0073,MER-P1-B3-01745,Flooring,Minor,2026-02-02,2026-02-09,2026-02-07,Resolved,Horizon Build Partners,0
SNG-00157,HAN-0073,MER-P1-B3-01745,HVAC,Major,2026-01-21,2026-02-20,2026-02-28,Resolved,Horizon Build Partners,0
SNG-00158,HAN-0073,MER-P1-B3-01745,Flooring,Moderate,2026-02-08,2026-02-22,2026-03-01,Resolved,Modern Facade Systems,0
SNG-00159,HAN-0073,MER-P1-B3-01745,Plumbing,Moderate,2026-01-30,2026-02-13,,Open,Cairo Structural Works,0
SNG-00160,HAN-0073,MER-P1-B3-01745,Doors & Windows,Minor,2026-02-06,2026-02-13,,Open,Modern Facade Systems,0
SNG-00161,HAN-0074,MER-P1-B3-01746,Electrical,Major,2026-01-29,2026-02-28,,Open,Delta Construction Group,0
SNG-00162,HAN-0074,MER-P1-B3-01746,Flooring,Moderate,2026-01-22,2026-02-05,2026-02-06,Resolved,Cairo Structural Works,0
SNG-00163,HAN-0074,MER-P1-B3-01746,HVAC,Major,2026-02-05,2026-03-07,2026-03-26,Resolved,Horizon Build Partners,0
SNG-00164,HAN-0074,MER-P1-B3-01746,Structural,Moderate,2026-02-06,2026-02-20,,In Progress,Modern Facade Systems,0
SNG-00165,HAN-0074,MER-P1-B3-01746,HVAC,Major,2026-01-20,2026-02-19,,Open,Nile Engineering Contractors,0
SNG-00166,HAN-0074,MER-P1-B3-01746,Flooring,Minor,2026-02-03,2026-02-10,2026-02-08,Resolved,Nile Engineering Contractors,0
SNG-00167,HAN-0074,MER-P1-B3-01746,Doors & Windows,Moderate,2026-01-24,2026-02-07,,In Progress,Cairo Structural Works,0
SNG-00168,HAN-0074,MER-P1-B3-01746,Doors & Windows,Moderate,2026-01-22,2026-02-05,,Open,Delta Construction Group,0
SNG-00169,HAN-0075,MER-P1-B3-01747,Doors & Windows,Moderate,2026-01-21,2026-02-04,2026-02-13,Resolved,Horizon Build Partners,0
SNG-00170,HAN-0075,MER-P1-B3-01747,Paint & Finishing,Major,2026-01-11,2026-02-10,,Open,Nile Engineering Contractors,0
SNG-00171,HAN-0075,MER-P1-B3-01747,Flooring,Moderate,2026-01-20,2026-02-03,,Open,Nile Engineering Contractors,0
SNG-00172,HAN-0076,MER-P1-B3-01749,Flooring,Moderate,2026-03-03,2026-03-17,,Open,Horizon Build Partners,0
SNG-00173,HAN-0076,MER-P1-B3-01749,Electrical,Major,2026-02-23,2026-03-25,2026-04-09,Resolved,Delta Construction Group,0
SNG-00174,HAN-0076,MER-P1-B3-01749,Flooring,Major,2026-02-28,2026-03-30,,In Progress,Nile Engineering Contractors,0
SNG-00175,HAN-0076,MER-P1-B3-01749,Paint & Finishing,Moderate,2026-02-25,2026-03-11,,Open,Nile Engineering Contractors,0
SNG-00176,HAN-0076,MER-P1-B3-01749,Plumbing,Major,2026-02-14,2026-03-16,2026-04-07,Resolved,Cairo Structural Works,0
SNG-00177,HAN-0076,MER-P1-B3-01749,Plumbing,Major,2026-03-03,2026-04-02,,Open,Nile Engineering Contractors,0
SNG-00178,HAN-0077,MER-P1-B3-01750,Flooring,Major,2026-01-09,2026-02-08,2026-02-05,Resolved,Prime MEP Solutions,0
SNG-00179,HAN-0077,MER-P1-B3-01750,Doors & Windows,Major,2026-01-17,2026-02-16,,Open,Prime MEP Solutions,0
SNG-00180,HAN-0077,MER-P1-B3-01750,Doors & Windows,Major,2026-01-12,2026-02-11,2026-02-27,Resolved,Modern Facade Systems,1
SNG-00181,HAN-0078,MER-P1-B3-01751,HVAC,Major,2026-01-16,2026-02-15,2026-02-10,Resolved,Cairo Structural Works,0
SNG-00182,HAN-0078,MER-P1-B3-01751,Doors & Windows,Moderate,2026-01-05,2026-01-19,,In Progress,Prime MEP Solutions,0
SNG-00183,HAN-0078,MER-P1-B3-01751,Electrical,Major,2026-01-19,2026-02-18,,Open,Horizon Build Partners,0
SNG-00184,HAN-0078,MER-P1-B3-01751,Plumbing,Minor,2026-01-09,2026-01-16,,Open,Modern Facade Systems,0
SNG-00185,HAN-0078,MER-P1-B3-01751,Paint & Finishing,Moderate,2026-01-24,2026-02-07,,Open,Modern Facade Systems,0
SNG-00186,HAN-0078,MER-P1-B3-01751,Flooring,Moderate,2026-01-23,2026-02-06,,Open,Cairo Structural Works,0
SNG-00187,HAN-0078,MER-P1-B3-01751,Flooring,Major,2026-01-16,2026-02-15,,Open,Prime MEP Solutions,0
SNG-00188,HAN-0079,MER-P1-B3-01752,HVAC,Major,2026-03-21,2026-04-20,,In Progress,Horizon Build Partners,0
SNG-00189,HAN-0079,MER-P1-B3-01752,Flooring,Major,2026-03-23,2026-04-22,2026-04-21,Resolved,Delta Construction Group,0
SNG-00190,HAN-0079,MER-P1-B3-01752,Paint & Finishing,Moderate,2026-03-04,2026-03-18,,Open,Modern Facade Systems,0
SNG-00191,HAN-0079,MER-P1-B3-01752,Plumbing,Minor,2026-03-21,2026-03-28,,In Progress,Prime MEP Solutions,0
SNG-00192,HAN-0079,MER-P1-B3-01752,Structural,Minor,2026-03-21,2026-03-28,2026-03-31,Resolved,Prime MEP Solutions,0
SNG-00193,HAN-0079,MER-P1-B3-01752,HVAC,Minor,2026-03-13,2026-03-20,2026-03-23,Resolved,Modern Facade Systems,0
SNG-00194,HAN-0079,MER-P1-B3-01752,Plumbing,Moderate,2026-03-21,2026-04-04,,Open,Modern Facade Systems,0
SNG-00195,HAN-0079,MER-P1-B3-01752,Flooring,Minor,2026-03-12,2026-03-19,2026-03-18,Resolved,Delta Construction Group,1
SNG-00196,HAN-0080,MER-P1-B3-01753,HVAC,Moderate,2026-01-23,2026-02-06,2026-02-13,Resolved,Prime MEP Solutions,0
