complaint_id,shipment_id,complaint_date,category,sentiment,region,resolution_time_hours,assigned_team,escalation_level,resolved,customer_satisfaction_after_resolution
CMP200049,SHP102431,2025-05-14,Wrong Item,Neutral,Delta,33.4,Fulfillment QA,2,True,4.0
CMP200050,SHP103275,2025-06-06,Wrong Item,Neutral,Delta,26.5,Fulfillment QA,1,True,4.0
CMP200051,SHP102817,2025-12-13,Poor Communication,Negative,Alexandria,12.6,Customer Success,1,True,5.0
CMP200052,SHP104015,2025-12-25,Wrong Item,Negative,Cairo,37.5,Fulfillment QA,1,True,4.0
CMP200053,SHP101192,2025-05-08,Poor Communication,Positive,Cairo,11.9,Customer Success,1,True,5.0
CMP200054,SHP101729,2025-04-28,Poor Communication,Neutral,Cairo,16.9,Customer Success,1,True,4.0
CMP200055,SHP103002,2025-12-07,Poor Communication,Negative,Cairo,11.6,Customer Success,1,True,4.0
CMP200056,SHP101957,2025-12-18,Late Delivery,Negative,Cairo,32.3,Logistics Support,1,True,4.0
CMP200057,SHP103970,2025-04-21,Poor Communication,Negative,Alexandria,10.1,Customer Success,1,True,5.0
CMP200058,SHP100058,2025-10-03,Damaged Package,Negative,Giza,42.9,Claims & Damage,2,True,4.0
CMP200059,SHP103933,2025-01-28,Poor Communication,Negative,Cairo,17.1,Customer Success,1,True,5.0
CMP200060,SHP104139,2025-09-05,Poor Communication,Negative,Suez,15.0,Customer Success,1,True,5.0
CMP200061,SHP103630,2025-10-14,Damaged Package,Neutral,Upper Egypt,69.3,Claims & Damage,2,True,3.0
CMP200062,SHP102809,2025-03-12,Damaged Package,Neutral,Cairo,66.1,Claims & Damage,3,True,4.0
CMP200063,SHP101236,2025-04-02,Damaged Package,Negative,Cairo,63.2,Claims & Damage,2,True,3.0
CMP200064,SHP100757,2025-02-27,Poor Communication,Negative,Delta,9.5,Customer Success,1,True,4.0
CMP200065,SHP104500,2025-06-17,Late Delivery,Negative,Giza,22.2,Logistics Support,1,True,5.0
CMP200066,SHP104996,2025-12-07,Damaged Package,Negative,Upper Egypt,59.6,Claims & Damage,2,True,4.0
CMP200067,SHP100838,2025-04-24,Damaged Package,Negative,Suez,53.6,Claims & Damage,2,True,4.0
CMP200068,SHP101929,2025-06-14,Wrong Item,Neutral,Cairo,38.3,Fulfillment QA,1,True,4.0
CMP200069,SHP101148,2025-11-21,Poor Communication,Negative,Cairo,14.3,Customer Success,1,True,5.0
CMP200070,SHP101034,2025-12-05,Wrong Item,Negative,Cairo,32.4,Fulfillment QA,1,True,4.0
CMP200071,SHP103638,2025-11-23,Wrong Item,Negative,Upper Egypt,27.3,Fulfillment QA,1,True,4.0
CMP200072,SHP104687,2025-07-27,Late Delivery,Negative,Cairo,33.0,Logistics Support,1,True,5.0
CMP200073,SHP102021,2025-04-15,Damaged Package,Negative,Cairo,71.0,Claims & Damage,2,True,3.0
CMP200074,SHP104259,2025-08-09,Poor Communication,Negative,Suez,19.2,Customer Success,1,True,5.0
CMP200075,SHP104413,2025-10-17,Wrong Item,Negative,Giza,33.1,Fulfillment QA,1,True,4.0
CMP200076,SHP103569,2025-02-02,Damaged Package,Negative,Cairo,65.0,Claims & Damage,2,True,4.0
CMP200077,SHP103983,2025-08-24,Damaged Package,Negative,Giza,73.3,Claims & Damage,3,True,3.0
CMP200078,SHP100424,2025-03-31,Late Delivery,Negative,Giza,45.2,Logistics Support,1,True,4.0
CMP200079,SHP104020,2025-12-17,Lost Shipment,Negative,Giza,20.9,Claims & Damage,3,False,
CMP200080,SHP100769,2025-07-20,Late Delivery,Negative,Suez,54.6,Logistics Support,1,True,3.0
CMP200081,SHP104785,2025-03-27,Wrong Item,Neutral,Suez,16.0,Fulfillment QA,1,True,4.0
CMP200082,SHP101459,2025-07-04,Late Delivery,Neutral,Upper Egypt,44.2,Logistics Support,2,True,4.0
CMP200083,SHP102417,2025-07-19,Damaged Package,Negative,Cairo,54.3,Claims & Damage,2,True,4.0
CMP200084,SHP100957,2025-11-08,Wrong Item,Neutral,Cairo,29.3,Fulfillment QA,1,True,4.0
CMP200085,SHP100085,2025-07-22,Late Delivery,Negative,Cairo,37.0,Logistics Support,2,True,4.0
CMP200086,SHP103909,2025-12-08,Late Delivery,Negative,Delta,34.8,Logistics Support,1,True,4.0
CMP200087,SHP104489,2025-05-15,Poor Communication,Negative,Giza,15.2,Customer Success,1,True,4.0
CMP200088,SHP101378,2025-11-10,Wrong Item,Neutral,Cairo,16.9,Fulfillment QA,1,True,4.0
CMP200089,SHP103464,2025-12-09,Damaged Package,Negative,Upper Egypt,29.4,Claims & Damage,3,True,4.0
CMP200090,SHP101642,2025-08-26,Late Delivery,Negative,Cairo,29.5,Logistics Support,1,True,4.0
CMP200091,SHP101410,2025-07-15,Poor Communication,Neutral,Cairo,14.8,Customer Success,1,True,5.0
CMP200092,SHP104390,2025-08-01,Late Delivery,Neutral,Suez,52.5,Logistics Support,2,True,3.0
CMP200093,SHP102016,2025-12-07,Lost Shipment,Negative,Giza,94.0,Claims & Damage,3,True,3.0
CMP200094,SHP104984,2025-05-29,Wrong Item,Neutral,Giza,15.3,Fulfillment QA,1,True,5.0
CMP200095,SHP104226,2025-03-29,Damaged Package,Negative,Cairo,38.9,Claims & Damage,2,True,4.0
CMP200096,SHP104237,2025-08-05,Late Delivery,Negative,Giza,37.0,Logistics Support,1,True,5.0
CMP200097,SHP101080,2025-11-04,Poor Communication,Negative,Alexandria,12.3,Customer Success,1,True,5.0
CMP200098,SHP102115,2025-03-19,Poor Communication,Neutral,Cairo,14.8,Customer Success,1,True,5.0
CMP200099,SHP100619,2025-03-06,Damaged Package,Negative,Upper Egypt,68.1,Claims & Damage,2,True,4.0
CMP200100,SHP101888,2025-04-04,Wrong Item,Negative,Alexandria,16.0,Fulfillment QA,1,True,4.0
CMP200101,SHP104987,2025-04-09,Poor Communication,Neutral,Giza,18.3,Customer Success,1,True,4.0
CMP200102,SHP103261,2025-07-09,Poor Communication,Negative,Cairo,19.0,Customer Success,1,True,5.0
CMP200103,SHP101698,2025-07-18,Late Delivery,Negative,Cairo,45.9,Logistics Support,1,True,4.0
CMP200104,SHP101507,2025-08-02,Late Delivery,Negative,Suez,56.3,Logistics Support,1,True,3.0
CMP200105,SHP101060,2025-07-20,Late Delivery,Negative,Suez,26.6,Logistics Support,1,True,5.0
CMP200106,SHP100549,2025-08-09,Damaged Package,Negative,Upper Egypt,57.9,Claims & Damage,2,True,4.0
CMP200107,SHP100859,2025-07-28,Late Delivery,Neutral,Cairo,44.8,Logistics Support,1,True,4.0
CMP200108,SHP101842,2025-05-08,Poor Communication,Neutral,Alexandria,13.2,Customer Success,1,True,5.0
CMP200109,SHP102192,2025-03-08,Poor Communication,Positive,Suez,11.8,Customer Success,1,True,4.0
CMP200110,SHP101930,2025-08-20,Damaged Package,Negative,Delta,55.5,Claims & Damage,2,True,4.0
CMP200111,SHP100772,2025-02-09,Late Delivery,Negative,Cairo,37.4,Logistics Support,1,True,4.0
CMP200112,SHP101442,2025-06-22,Poor Communication,Neutral,Delta,13.8,Customer Success,1,True,4.0
CMP200113,SHP102296,2025-09-14,Wrong Item,Neutral,Upper Egypt,20.7,Fulfillment QA,1,True,5.0
CMP200114,SHP100411,2025-07-12,Poor Communication,Neutral,Delta,16.7,Customer Success,1,True,5.0
CMP200115,SHP100249,2025-02-05,Wrong Item,Negative,Cairo,24.8,Fulfillment QA,1,True,4.0
CMP200116,SHP104032,2025-07-28,Poor Communication,Negative,Cairo,8.2,Customer Success,1,True,4.0
CMP200117,SHP100990,2025-05-11,Poor Communication,Negative,Suez,13.6,Customer Success,2,True,5.0
CMP200118,SHP101553,2025-09-16,Poor Communication,Negative,Delta,14.9,Customer Success,1,True,5.0
CMP200119,SHP100487,2025-06-22,Poor Communication,Neutral,Cairo,12.2,Customer Success,1,True,4.0
CMP200120,SHP100932,2025-07-03,Late Delivery,Negative,Cairo,8.9,Logistics Support,1,False,
CMP200121,SHP104238,2025-07-20,Poor Communication,Neutral,Delta,17.4,Customer Success,1,True,5.0
CMP200122,SHP104631,2025-10-06,Damaged Package,Negative,Suez,56.7,Claims & Damage,2,True,4.0
CMP200123,SHP102099,2025-04-26,Poor Communication,Negative,Cairo,18.2,Customer Success,1,True,5.0
CMP200124,SHP101058,2025-07-29,Late Delivery,Negative,Delta,57.5,Logistics Support,1,True,4.0
CMP200125,SHP103593,2025-09-17,Damaged Package,Negative,Upper Egypt,21.1,Claims & Damage,2,False,
CMP200126,SHP101027,2025-04-15,Damaged Package,Negative,Giza,30.4,Claims & Damage,2,True,4.0
CMP200127,SHP103533,2025-05-01,Late Delivery,Negative,Delta,11.2,Logistics Support,1,False,
CMP200128,SHP103559,2025-07-04,Poor Communication,Neutral,Cairo,9.9,Customer Success,1,True,4.0
CMP200129,SHP104067,2025-10-07,Wrong Item,Negative,Delta,15.1,Fulfillment QA,1,True,5.0
CMP200130,SHP101291,2025-03-17,Damaged Package,Negative,Cairo,61.0,Claims & Damage,2,True,4.0
CMP200131,SHP101621,2025-02-15,Poor Communication,Negative,Delta,17.6,Customer Success,1,True,5.0
CMP200132,SHP101281,2025-03-23,Lost Shipment,Negative,Upper Egypt,49.9,Claims & Damage,3,False,
CMP200133,SHP103286,2025-08-05,Poor Communication,Positive,Cairo,9.4,Customer Success,1,True,5.0
CMP200134,SHP104890,2025-03-22,Poor Communication,Negative,Delta,10.9,Customer Success,2,True,4.0
CMP200135,SHP102148,2025-08-08,Damaged Package,Negative,Alexandria,20.9,Claims & Damage,2,False,
CMP200136,SHP101702,2025-05-05,Damaged Package,Negative,Cairo,63.7,Claims & Damage,2,True,3.0
CMP200137,SHP102953,2025-07-20,Late Delivery,Negative,Suez,45.3,Logistics Support,1,True,4.0
CMP200138,SHP101789,2025-03-02,Lost Shipment,Neutral,Upper Egypt,132.7,Claims & Damage,3,True,3.0
CMP200139,SHP100557,2025-07-23,Damaged Package,Neutral,Upper Egypt,59.9,Claims & Damage,2,True,3.0
CMP200140,SHP102557,2025-06-24,Lost Shipment,Neutral,Suez,139.3,Claims & Damage,3,True,2.0
CMP200141,SHP102985,2025-07-16,Late Delivery,Neutral,Upper Egypt,23.0,Logistics Support,1,True,5.0
CMP200142,SHP102220,2025-07-18,Late Delivery,Negative,Cairo,50.5,Logistics Support,1,True,4.0
CMP200143,SHP103915,2025-07-29,Late Delivery,Negative,Delta,41.8,Logistics Support,1,True,4.0
CMP200144,SHP103503,2025-12-25,Poor Communication,Neutral,Suez,16.1,Customer Success,1,True,5.0
CMP200145,SHP102362,2025-12-22,Lost Shipment,Negative,Cairo,152.9,Claims & Damage,3,True,1.0
CMP200146,SHP104747,2025-07-17,Poor Communication,Negative,Delta,12.1,Customer Success,2,True,4.0
CMP200147,SHP102991,2025-02-10,Poor Communication,Negative,Giza,17.8,Customer Success,1,True,5.0
CMP200148,SHP101813,2025-08-07,Late Delivery,Negative,Upper Egypt,56.2,Logistics Support,1,True,4.0
CMP200149,SHP101883,2025-06-11,Poor Communication,Positive,Giza,14.8,Customer Success,1,True,5.0
CMP200150,SHP103461,2025-11-25,Poor Communication,Neutral,Suez,16.3,Customer Success,1,True,5.0
CMP200151,SHP103820,2025-10-13,Late Delivery,Negative,Cairo,25.9,Logistics Support,1,True,4.0
CMP200152,SHP101110,2025-06-24,Late Delivery,Neutral,Giza,52.9,Logistics Support,1,True,4.0
CMP200153,SHP103928,2025-07-06,Late Delivery,Negative,Cairo,41.1,Logistics Support,1,True,4.0
CMP200154,SHP103501,2025-04-22,Poor Communication,Negative,Upper Egypt,10.8,Customer Success,1,True,5.0
CMP200155,SHP100262,2025-07-20,Late Delivery,Negative,Giza,32.0,Logistics Support,1,True,4.0
CMP200156,SHP101358,2025-08-28,Wrong Item,Negative,Upper Egypt,22.9,Fulfillment QA,1,True,4.0
CMP200157,SHP104999,2025-03-12,Poor Communication,Negative,Cairo,17.2,Customer Success,1,True,4.0
CMP200158,SHP100040,2025-10-01,Late Delivery,Neutral,Giza,39.9,Logistics Support,1,True,4.0
CMP200159,SHP104611,2025-03-22,Damaged Package,Negative,Upper Egypt,55.1,Claims & Damage,2,True,4.0
CMP200160,SHP104159,2025-10-31,Damaged Package,Negative,Delta,70.0,Claims & Damage,2,True,3.0
CMP200161,SHP103742,2025-07-19,Late Delivery,Neutral,Giza,39.2,Logistics Support,1,True,4.0
CMP200162,SHP102848,2025-07-06,Late Delivery,Negative,Cairo,48.0,Logistics Support,1,True,4.0
CMP200163,SHP101288,2025-05-12,Lost Shipment,Neutral,Delta,138.4,Claims & Damage,3,True,1.0
CMP200164,SHP100837,2025-07-12,Poor Communication,Negative,Cairo,8.1,Customer Success,2,True,5.0
CMP200165,SHP100275,2025-12-03,Damaged Package,Negative,Giza,64.6,Claims & Damage,2,True,3.0
CMP200166,SHP102866,2025-02-24,Damaged Package,Negative,Upper Egypt,49.8,Claims & Damage,2,True,4.0
CMP200167,SHP104430,2025-08-02,Wrong Item,Negative,Alexandria,34.6,Fulfillment QA,1,True,4.0
CMP200168,SHP101216,2025-09-27,Late Delivery,Negative,Cairo,28.3,Logistics Support,1,True,4.0
CMP200169,SHP103205,2025-06-11,Damaged Package,Negative,Cairo,62.5,Claims & Damage,2,True,3.0
CMP200170,SHP103907,2025-01-30,Poor Communication,Neutral,Delta,17.0,Customer Success,1,True,4.0
CMP200171,SHP101197,2025-06-08,Damaged Package,Negative,Giza,33.0,Claims & Damage,2,True,4.0
CMP200172,SHP103629,2025-07-22,Late Delivery,Negative,Cairo,34.8,Logistics Support,1,True,5.0
CMP200173,SHP102314,2025-10-23,Poor Communication,Neutral,Delta,13.2,Customer Success,1,True,4.0
CMP200174,SHP104942,2025-04-10,Wrong Item,Negative,Upper Egypt,24.1,Fulfillment QA,1,True,5.0
CMP200175,SHP103637,2025-07-13,Late Delivery,Negative,Giza,38.1,Logistics Support,1,True,4.0
CMP200176,SHP100509,2025-02-03,Poor Communication,Neutral,Cairo,13.6,Customer Success,1,True,5.0
CMP200177,SHP101555,2025-08-02,Late Delivery,Negative,Cairo,34.0,Logistics Support,1,True,5.0
CMP200178,SHP103499,2025-03-16,Damaged Package,Negative,Alexandria,76.1,Claims & Damage,2,True,3.0
CMP200179,SHP103621,2025-01-16,Damaged Package,Negative,Giza,74.6,Claims & Damage,2,True,3.0
CMP200180,SHP101978,2025-10-29,Poor Communication,Neutral,Alexandria,5.2,Customer Success,1,False,
CMP200181,SHP101304,2025-12-11,Wrong Item,Positive,Cairo,20.1,Fulfillment QA,2,True,4.0
CMP200182,SHP101634,2025-12-16,Wrong Item,Neutral,Giza,37.5,Fulfillment QA,1,True,4.0
CMP200183,SHP100418,2025-07-28,Late Delivery,Negative,Suez,52.4,Logistics Support,2,True,4.0
CMP200184,SHP101830,2025-02-24,Wrong Item,Positive,Delta,14.6,Fulfillment QA,1,True,5.0
CMP200185,SHP100833,2025-11-27,Poor Communication,Negative,Cairo,17.9,Customer Success,1,True,5.0
CMP200186,SHP101099,2025-07-01,Damaged Package,Neutral,Delta,37.4,Claims & Damage,2,True,4.0
CMP200187,SHP101161,2025-11-30,Poor Communication,Neutral,Cairo,7.7,Customer Success,1,True,4.0
CMP200188,SHP100874,2025-02-01,Wrong Item,Negative,Giza,5.1,Fulfillment QA,2,False,
CMP200189,SHP102586,2025-07-18,Late Delivery,Negative,Delta,32.8,Logistics Support,1,True,4.0
CMP200190,SHP102685,2025-08-24,Poor Communication,Negative,Upper Egypt,9.6,Customer Success,1,True,4.0
CMP200191,SHP100256,2025-07-20,Late Delivery,Negative,Suez,24.4,Logistics Support,1,True,3.0
CMP200192,SHP101664,2025-07-16,Late Delivery,Negative,Giza,41.5,Logistics Support,2,True,4.0
CMP200193,SHP102714,2025-04-08,Damaged Package,Negative,Upper Egypt,75.5,Claims & Damage,2,True,3.0
CMP200194,SHP103694,2025-03-09,Wrong Item,Neutral,Upper Egypt,10.2,Fulfillment QA,1,False,
CMP200195,SHP101137,2025-05-31,Damaged Package,Negative,Delta,69.5,Claims & Damage,2,True,4.0
CMP200196,SHP103866,2025-01-21,Poor Communication,Negative,Upper Egypt,19.0,Customer Success,1,True,5.0
CMP200197,SHP103786,2025-11-23,Wrong Item,Neutral,Alexandria,35.8,Fulfillment QA,1,True,4.0
CMP200198,SHP103841,2025-07-23,Late Delivery,Negative,Cairo,26.0,Logistics Support,1,True,5.0
CMP200199,SHP103433,2025-07-15,Late Delivery,Negative,Suez,28.8,Logistics Support,1,True,4.0
CMP200200,SHP101168,2025-08-03,Late Delivery,Neutral,Cairo,48.8,Logistics Support,1,True,4.0
CMP200201,SHP102986,2025-10-09,Wrong Item,Positive,Upper Egypt,22.2,Fulfillment QA,2,True,5.0
CMP200202,SHP101426,2025-01-25,Poor Communication,Negative,Cairo,12.1,Customer Success,1,True,4.0
CMP200203,SHP104587,2025-06-26,Late Delivery,Negative,Suez,51.4,Logistics Support,1,True,4.0
CMP200204,SHP103495,2025-11-30,Wrong Item,Neutral,Giza,22.9,Fulfillment QA,2,True,5.0
CMP200205,SHP102664,2025-12-14,Wrong Item,Neutral,Upper Egypt,26.2,Fulfillment QA,1,True,4.0
CMP200206,SHP100950,2025-07-15,Poor Communication,Neutral,Suez,16.3,Customer Success,1,True,5.0
CMP200207,SHP103006,2025-07-11,Late Delivery,Neutral,Giza,50.6,Logistics Support,1,True,3.0
CMP200208,SHP102923,2025-11-08,Damaged Package,Negative,Alexandria,43.5,Claims & Damage,2,True,3.0
CMP200209,SHP100658,2025-07-06,Late Delivery,Negative,Cairo,37.4,Logistics Support,1,True,4.0
CMP200210,SHP103582,2025-11-03,Poor Communication,Positive,Giza,10.0,Customer Success,1,True,4.0
CMP200211,SHP104590,2025-10-08,Poor Communication,Negative,Upper Egypt,15.0,Customer Success,1,True,3.0
CMP200212,SHP104662,2025-10-03,Late Delivery,Negative,Alexandria,53.5,Logistics Support,1,True,3.0
CMP200213,SHP104189,2025-08-27,Wrong Item,Positive,Cairo,12.0,Fulfillment QA,1,False,
CMP200214,SHP103832,2025-12-16,Late Delivery,Negative,Alexandria,39.2,Logistics Support,1,True,4.0
CMP200215,SHP104816,2025-07-18,Poor Communication,Negative,Upper Egypt,17.3,Customer Success,1,True,5.0
CMP200216,SHP101246,2025-10-08,Late Delivery,Negative,Cairo,47.0,Logistics Support,1,True,4.0
CMP200217,SHP102944,2025-07-27,Late Delivery,Negative,Giza,25.2,Logistics Support,1,True,4.0
CMP200218,SHP102748,2025-05-06,Poor Communication,Negative,Upper Egypt,18.8,Customer Success,1,True,5.0
CMP200219,SHP104208,2025-04-19,Wrong Item,Negative,Cairo,21.8,Fulfillment QA,2,True,5.0
CMP200220,SHP100374,2025-01-28,Late Delivery,Negative,Cairo,41.4,Logistics Support,1,True,4.0
CMP200221,SHP102684,2025-08-08,Lost Shipment,Negative,Upper Egypt,94.6,Claims & Damage,3,True,3.0
CMP200222,SHP102315,2025-03-16,Late Delivery,Neutral,Suez,51.0,Logistics Support,1,True,4.0
CMP200223,SHP104916,2025-02-24,Poor Communication,Negative,Delta,14.6,Customer Success,1,True,5.0
CMP200224,SHP104183,2025-02-07,Wrong Item,Negative,Alexandria,31.8,Fulfillment QA,1,True,4.0
CMP200225,SHP104782,2025-07-14,Damaged Package,Negative,Alexandria,43.2,Claims & Damage,3,True,4.0
CMP200226,SHP103595,2025-11-18,Wrong Item,Negative,Upper Egypt,25.4,Fulfillment QA,2,True,4.0
CMP200227,SHP101211,2025-06-12,Poor Communication,Negative,Giza,19.2,Customer Success,1,True,4.0
CMP200228,SHP101518,2025-07-10,Late Delivery,Negative,Delta,41.6,Logistics Support,1,True,5.0
CMP200229,SHP102971,2025-06-22,Wrong Item,Neutral,Upper Egypt,22.7,Fulfillment QA,1,True,5.0
CMP200230,SHP100500,2025-02-20,Wrong Item,Positive,Giza,33.1,Fulfillment QA,1,True,3.0
CMP200231,SHP102020,2025-03-12,Wrong Item,Negative,Cairo,22.2,Fulfillment QA,1,True,4.0
CMP200232,SHP102671,2025-11-29,Wrong Item,Neutral,Upper Egypt,20.2,Fulfillment QA,2,True,5.0
CMP200233,SHP102190,2025-02-23,Damaged Package,Negative,Cairo,56.4,Claims & Damage,2,True,4.0
CMP200234,SHP100167,2026-01-05,Late Delivery,Negative,Cairo,51.8,Logistics Support,1,True,4.0
CMP200235,SHP104100,2025-02-10,Lost Shipment,Neutral,Cairo,119.3,Claims & Damage,3,True,2.0
CMP200236,SHP104580,2025-07-17,Poor Communication,Negative,Upper Egypt,18.3,Customer Success,1,True,5.0
CMP200237,SHP101201,2025-09-10,Wrong Item,Negative,Upper Egypt,16.8,Fulfillment QA,1,True,5.0
CMP200238,SHP103428,2025-04-24,Poor Communication,Negative,Delta,15.5,Customer Success,1,True,5.0
CMP200239,SHP102351,2025-05-01,Lost Shipment,Negative,Alexandria,142.6,Claims & Damage,3,True,1.0
CMP200240,SHP103140,2025-07-19,Damaged Package,Negative,Giza,29.7,Claims & Damage,2,True,4.0
CMP200241,SHP100142,2025-08-31,Wrong Item,Negative,Giza,25.6,Fulfillment QA,2,True,4.0
CMP200242,SHP100261,2025-05-31,Lost Shipment,Negative,Suez,24.7,Claims & Damage,3,False,
CMP200243,SHP103416,2025-04-25,Lost Shipment,Negative,Delta,76.8,Claims & Damage,3,True,3.0
CMP200244,SHP102567,2025-07-18,Late Delivery,Negative,Cairo,34.5,Logistics Support,2,True,5.0
CMP200245,SHP104441,2025-07-19,Damaged Package,Negative,Alexandria,56.1,Claims & Damage,3,True,3.0
CMP200246,SHP102331,2025-06-25,Poor Communication,Negative,Cairo,14.1,Customer Success,1,True,5.0
CMP200247,SHP104934,2025-08-31,Damaged Package,Neutral,Cairo,50.8,Claims & Damage,2,True,3.0
CMP200248,SHP104617,2025-01-31,Poor Communication,Negative,Upper Egypt,9.4,Customer Success,2,True,5.0
CMP200249,SHP101091,2025-12-27,Late Delivery,Negative,Delta,38.2,Logistics Support,1,True,4.0
CMP200250,SHP100955,2025-09-16,Damaged Package,Negative,Cairo,23.3,Claims & Damage,3,False,
CMP200251,SHP103358,2025-09-07,Poor Communication,Negative,Cairo,13.2,Customer Success,1,True,5.0
CMP200252,SHP103216,2025-12-11,Wrong Item,Positive,Suez,8.1,Fulfillment QA,1,False,
