case_id,customer_id,project_id,unit_id,created_at,category,subcategory,priority,channel,first_response_at,resolved_at,status,resolution_sla_hours,resolution_sla_met,reopen_count,sentiment,escalation_flag,responsible_department
CAS-00016,CUS-000006,AUR,AUR-P2-B3-00241,2025-09-15 00:00:00,General Inquiry,Resale Process,Medium,In-Person,2025-09-15 01:36:57,2025-09-16 04:54:40,Resolved,48,True,0,Neutral,False,Customer Experience
CAS-00017,CUS-000198,AUR,AUR-P2-B1-00170,2024-11-10 00:00:00,Handover,Final Payment Query,Low,WhatsApp,2024-11-10 00:05:00,2024-11-11 05:26:38,Resolved,96,True,0,Positive,False,Customer Experience
CAS-00018,CUS-000202,AUR,AUR-P1-B4-00109,2025-08-11 00:00:00,Sales Experience,Response Time,Critical,In-Person,2025-08-11 02:47:14,,Open,4,,0,Positive,False,Sales
CAS-00019,CUS-000216,AUR,AUR-P2-B3-00242,2025-04-24 00:00:00,Snagging / Quality,Finishing Quality,High,In-Person,2025-04-24 02:23:37,,Open,24,,0,Positive,False,Construction
CAS-00020,CUS-000243,AUR,AUR-P2-B1-00173,2026-02-23 00:00:00,Sales Experience,Response Time,High,Customer Portal,2026-02-23 02:04:29,,Open,24,,0,Neutral,False,Sales
CAS-00021,CUS-000218,AUR,AUR-P2-B2-00208,2025-10-21 00:00:00,General Inquiry,Amenities,High,WhatsApp,2025-10-21 01:19:42,2025-10-22 00:25:01,Resolved,24,True,0,Neutral,True,Customer Experience
CAS-00022,CUS-000024,AUR,AUR-P3-B4-00410,2025-09-16 00:00:00,Collections,Late Fee Dispute,Low,Phone,2025-09-16 00:05:00,2025-09-22 06:05:20,Resolved,96,False,0,Positive,False,Collections
CAS-00023,CUS-000160,AUR,AUR-P2-B4-00250,2024-11-22 00:00:00,Construction Update,Progress Inquiry,Low,Email,2024-11-22 01:40:33,2024-11-28 13:02:32,Resolved,96,False,0,Negative,False,Construction
CAS-00024,CUS-000030,AUR,AUR-P1-B4-00137,2025-05-18 00:00:00,Construction Update,Site Visit Request,Medium,WhatsApp,2025-05-18 01:21:24,,Open,48,,0,Negative,False,Construction
CAS-00025,CUS-000231,AUR,AUR-P1-B2-00055,2024-09-30 00:00:00,Snagging / Quality,Defect Report,Medium,Customer Portal,2024-09-30 02:18:33,2024-10-03 06:13:09,Resolved,48,False,0,Positive,False,Construction
CAS-00026,CUS-000132,AUR,AUR-P1-B1-00008,2025-01-03 00:00:00,Sales Experience,Response Time,Low,Phone,2025-01-03 03:57:31,2025-01-06 20:43:08,Resolved,96,True,0,Neutral,False,Sales
CAS-00027,CUS-000107,AUR,AUR-P1-B2-00059,2025-09-06 00:00:00,General Inquiry,HOA / Facilities Management,High,Phone,2025-09-06 01:32:13,2025-09-06 12:10:06,Resolved,24,True,0,Negative,False,Customer Experience
CAS-00028,CUS-000085,AUR,AUR-P3-B4-00392,2025-11-15 00:00:00,General Inquiry,HOA / Facilities Management,Medium,Phone,2025-11-15 00:56:46,2025-11-15 18:04:21,Resolved,48,True,0,Neutral,False,Customer Experience
CAS-00029,CUS-000203,AUR,AUR-P3-B4-00399,2024-09-13 00:00:00,General Inquiry,HOA / Facilities Management,High,Customer Portal,2024-09-13 02:55:35,2024-09-13 15:13:46,Resolved,24,True,0,Negative,False,Customer Experience
CAS-00030,CUS-000197,AUR,AUR-P2-B4-00248,2025-12-04 00:00:00,General Inquiry,Amenities,Low,In-Person,2025-12-04 00:05:00,2025-12-08 21:53:18,Resolved,96,True,0,Neutral,False,Customer Experience
CAS-00031,CUS-000158,AUR,AUR-P2-B1-00172,2026-02-16 00:00:00,Sales Experience,Communication Quality,Low,WhatsApp,2026-02-16 00:26:57,2026-02-19 18:33:18,Resolved,96,True,0,Neutral,False,Sales
CAS-00032,CUS-000037,AUR,AUR-P1-B4-00110,2025-03-23 00:00:00,Sales Experience,Response Time,Critical,WhatsApp,2025-03-23 01:39:30,2025-03-23 06:16:12,Resolved,4,True,0,Positive,False,Sales
CAS-00033,CUS-000208,AUR,AUR-P3-B2-00325,2025-12-16 00:00:00,Sales Experience,Response Time,Medium,Phone,2025-12-16 00:05:00,2025-12-17 05:16:15,Resolved,48,True,0,Positive,False,Sales
CAS-00034,CUS-000167,AUR,AUR-P2-B2-00177,2025-01-16 00:00:00,Collections,Payment Plan Dispute,High,Phone,2025-01-16 01:29:32,2025-01-16 15:13:25,Resolved,24,True,0,Neutral,True,Collections
CAS-00035,CUS-000097,AUR,AUR-P3-B3-00352,2025-06-18 00:00:00,Collections,Payment Plan Dispute,Low,WhatsApp,2025-06-18 00:27:26,2025-06-18 14:22:28,Resolved,96,True,0,Neutral,False,Collections
CAS-00036,CUS-000180,AUR,AUR-P3-B1-00315,2025-04-27 00:00:00,Collections,Payment Plan Dispute,Medium,Customer Portal,2025-04-27 01:45:09,2025-04-28 18:05:56,Resolved,48,True,0,Neutral,False,Collections
CAS-00037,CUS-000014,AUR,AUR-P2-B2-00189,2026-05-11 00:00:00,General Inquiry,Amenities,Low,Email,2026-05-11 01:11:15,2026-05-16 10:16:56,Resolved,96,True,0,Negative,False,Customer Experience
CAS-00038,CUS-000047,AUR,AUR-P2-B4-00278,2024-07-04 00:00:00,Sales Experience,Communication Quality,Medium,In-Person,2024-07-04 01:18:48,,Open,48,,0,Neutral,False,Sales
CAS-00039,CUS-000190,AUR,AUR-P2-B4-00249,2025-11-26 00:00:00,Collections,Installment Amount Query,High,Email,2025-11-26 01:50:04,2025-11-26 10:14:13,Resolved,24,True,0,Positive,False,Collections
CAS-00040,CUS-000047,AUR,AUR-P2-B4-00278,2025-03-30 00:00:00,Snagging / Quality,Defect Report,Low,Email,2025-03-30 00:54:36,2025-03-30 17:58:35,Resolved,96,True,0,Negative,False,Construction
CAS-00041,CUS-000081,AUR,AUR-P3-B2-00344,2026-05-05 00:00:00,Sales Experience,Misrepresentation Concern,Medium,Phone,2026-05-05 02:06:36,2026-05-06 22:08:24,Resolved,48,True,0,Neutral,False,Sales
CAS-00042,CUS-000124,AUR,AUR-P1-B1-00007,2026-06-19 00:00:00,Snagging / Quality,MEP Issue,High,Email,2026-06-19 01:47:53,2026-06-19 18:49:30,Resolved,24,True,0,Neutral,False,Construction
CAS-00043,CUS-000245,AUR,AUR-P3-B3-00361,2025-11-23 00:00:00,Construction Update,Site Visit Request,Medium,WhatsApp,2025-11-23 01:31:28,,Open,48,,0,Neutral,False,Construction
CAS-00044,CUS-000170,AUR,AUR-P2-B2-00179,2026-03-27 00:00:00,Handover,Final Payment Query,Low,Customer Portal,2026-03-27 03:31:28,2026-04-02 02:30:06,Resolved,96,True,0,Positive,False,Customer Experience
CAS-00045,CUS-000018,AUR,AUR-P2-B1-00146,2024-11-07 00:00:00,Collections,Installment Amount Query,Low,Email,2024-11-07 03:36:41,2024-11-11 00:32:56,Resolved,96,True,0,Positive,False,Collections
CAS-00046,CUS-000159,AUR,AUR-P2-B1-00145,2024-07-14 00:00:00,Construction Update,Site Visit Request,Low,Customer Portal,2024-07-14 03:20:36,2024-07-14 06:37:01,Resolved,96,True,0,Neutral,False,Construction
CAS-00047,CUS-000106,AUR,AUR-P3-B3-00351,2025-02-02 00:00:00,Construction Update,Delay Concern,Medium,WhatsApp,2025-02-02 01:13:32,,Open,48,,0,Negative,False,Construction
CAS-00048,CUS-000065,AUR,AUR-P2-B1-00159,2026-03-12 00:00:00,Sales Experience,Misrepresentation Concern,Critical,WhatsApp,2026-03-12 00:44:17,2026-03-12 02:00:37,Resolved,4,True,0,Neutral,True,Sales
CAS-00049,CUS-000049,AUR,AUR-P2-B3-00230,2026-05-20 00:00:00,Snagging / Quality,MEP Issue,Critical,Email,2026-05-20 02:14:00,,Open,4,,0,Neutral,False,Construction
CAS-00050,CUS-000024,AUR,AUR-P3-B4-00410,2024-11-07 00:00:00,Sales Experience,Response Time,Medium,In-Person,2024-11-07 01:22:11,2024-11-08 17:24:37,Resolved,48,True,0,Positive,False,Sales
CAS-00051,CUS-000202,AUR,AUR-P1-B4-00109,2024-12-14 00:00:00,Construction Update,Delay Concern,Low,Email,2024-12-14 03:06:36,2024-12-15 05:47:32,Resolved,96,True,0,Neutral,False,Construction
CAS-00052,CUS-000157,AUR,AUR-P1-B1-00006,2025-10-22 00:00:00,Sales Experience,Response Time,Medium,In-Person,2025-10-22 02:31:37,2025-10-26 08:18:33,Resolved,48,False,0,Negative,False,Sales
CAS-00053,CUS-000239,AUR,AUR-P1-B4-00114,2026-05-08 00:00:00,Handover,Documentation,Medium,Email,2026-05-08 00:50:11,2026-05-09 05:24:29,Resolved,48,True,0,Neutral,False,Customer Experience
CAS-00054,CUS-000141,AUR,AUR-P2-B4-00257,2026-05-13 00:00:00,General Inquiry,HOA / Facilities Management,High,Phone,2026-05-13 01:25:21,2026-05-13 18:25:17,Resolved,24,True,0,Positive,False,Customer Experience
CAS-00055,CUS-000155,AUR,AUR-P2-B1-00142,2025-10-15 00:00:00,General Inquiry,Amenities,Low,Customer Portal,2025-10-15 00:46:11,,Open,96,,0,Positive,False,Customer Experience
CAS-00056,CUS-000191,AUR,AUR-P1-B1-00012,2026-06-12 00:00:00,General Inquiry,HOA / Facilities Management,Critical,WhatsApp,2026-06-12 00:39:23,2026-06-12 02:55:35,Resolved,4,True,0,Neutral,True,Customer Experience
CAS-00057,CUS-000051,AUR,AUR-P3-B3-00384,2025-01-26 00:00:00,Construction Update,Progress Inquiry,Medium,Phone,2025-01-26 00:48:37,2025-01-26 15:16:12,Resolved,48,True,0,Positive,False,Construction
CAS-00058,CUS-000034,AUR,AUR-P3-B3-00365,2026-04-18 00:00:00,Sales Experience,Response Time,Medium,Customer Portal,2026-04-18 00:54:08,2026-04-19 15:51:59,Resolved,48,True,0,Negative,False,Sales
CAS-00059,CUS-000217,AUR,AUR-P1-B2-00057,2025-06-09 00:00:00,Handover,Documentation,Medium,Customer Portal,2025-06-09 01:06:33,,Open,48,,0,Negative,False,Customer Experience
CAS-00060,CUS-000116,AUR,AUR-P1-B1-00027,2025-09-07 00:00:00,Sales Experience,Communication Quality,Medium,Customer Portal,2025-09-07 00:52:29,,Open,48,,0,Negative,False,Sales
CAS-00061,CUS-000116,AUR,AUR-P1-B1-00027,2025-08-22 00:00:00,Handover,Documentation,Low,In-Person,2025-08-22 01:35:13,2025-08-23 05:32:33,Resolved,96,True,0,Neutral,False,Customer Experience
CAS-00062,CUS-000018,AUR,AUR-P2-B1-00146,2025-11-29 00:00:00,Snagging / Quality,MEP Issue,Low,In-Person,2025-11-29 01:07:57,2025-11-30 22:34:57,Resolved,96,True,0,Positive,False,Construction
CAS-00063,CUS-000141,AUR,AUR-P2-B4-00257,2025-09-08 00:00:00,Snagging / Quality,MEP Issue,High,WhatsApp,2025-09-08 01:32:23,2025-09-09 09:10:44,Resolved,24,True,0,Neutral,False,Construction
CAS-00064,CUS-000193,AUR,AUR-P2-B4-00264,2025-09-17 00:00:00,Construction Update,Progress Inquiry,Medium,WhatsApp,2025-09-17 00:54:10,2025-09-19 16:49:51,Resolved,48,True,0,Neutral,False,Construction
CAS-00065,CUS-000188,AUR,AUR-P3-B2-00338,2026-05-10 00:00:00,General Inquiry,Resale Process,Critical,Customer Portal,2026-05-10 00:36:41,2026-05-10 04:04:25,Resolved,4,True,0,Negative,False,Customer Experience
CAS-00066,CUS-000043,AUR,AUR-P3-B3-00372,2025-07-05 00:00:00,Handover,Final Payment Query,Low,WhatsApp,2025-07-05 03:25:21,2025-07-08 06:16:07,Resolved,96,True,0,Positive,False,Customer Experience
CAS-00067,CUS-000062,AUR,AUR-P3-B4-00404,2025-11-19 00:00:00,Sales Experience,Response Time,Medium,In-Person,2025-11-19 02:04:01,2025-11-19 22:09:21,Resolved,48,True,0,Neutral,False,Sales
CAS-00068,CUS-000098,AUR,AUR-P2-B3-00222,2025-05-21 00:00:00,Snagging / Quality,MEP Issue,High,WhatsApp,2025-05-21 03:07:26,2025-05-21 13:17:48,Resolved,24,True,0,Neutral,False,Construction
CAS-00069,CUS-000007,AUR,AUR-P2-B2-00209,2024-08-12 00:00:00,Sales Experience,Misrepresentation Concern,Medium,Phone,2024-08-12 02:35:15,2024-08-13 07:58:20,Resolved,48,True,0,Neutral,False,Sales
CAS-00070,CUS-000016,AUR,AUR-P1-B3-00087,2026-02-25 00:00:00,General Inquiry,Amenities,Low,WhatsApp,2026-02-25 00:35:06,2026-02-27 19:55:40,Resolved,96,True,0,Negative,False,Customer Experience
CAS-00071,CUS-000168,AUR,AUR-P2-B3-00220,2025-09-15 00:00:00,Sales Experience,Response Time,Medium,In-Person,2025-09-15 00:33:25,2025-09-17 10:45:11,Resolved,48,True,0,Neutral,False,Sales
CAS-00072,CUS-000245,AUR,AUR-P3-B3-00361,2025-12-25 00:00:00,Construction Update,Progress Inquiry,Low,Customer Portal,2025-12-25 00:09:52,2025-12-28 05:18:26,Resolved,96,True,0,Neutral,False,Construction
CAS-00073,CUS-000175,AUR,AUR-P3-B1-00285,2026-01-03 00:00:00,Sales Experience,Misrepresentation Concern,Medium,Phone,2026-01-03 00:07:50,2026-01-03 19:04:41,Resolved,48,True,0,Positive,False,Sales
CAS-00074,CUS-000096,AUR,AUR-P3-B4-00408,2025-06-27 00:00:00,Construction Update,Progress Inquiry,Medium,Customer Portal,2025-06-27 00:09:15,2025-06-28 01:26:35,Resolved,48,True,0,Neutral,False,Construction
CAS-00075,CUS-000031,AUR,AUR-P1-B4-00121,2025-08-16 00:00:00,Sales Experience,Communication Quality,Medium,Customer Portal,2025-08-16 01:41:32,2025-08-18 04:54:51,Resolved,48,True,0,Neutral,False,Sales
CAS-00076,CUS-000128,AUR,AUR-P3-B4-00409,2024-12-22 00:00:00,Sales Experience,Response Time,High,WhatsApp,2024-12-22 00:05:00,2024-12-23 10:53:51,Resolved,24,True,0,Neutral,False,Sales
CAS-00077,CUS-000017,AUR,AUR-P1-B4-00124,2026-04-30 00:00:00,Construction Update,Delay Concern,High,Phone,2026-04-30 00:36:09,2026-04-30 18:11:01,Resolved,24,True,0,Negative,False,Construction
CAS-00078,CUS-000047,AUR,AUR-P2-B4-00278,2024-07-03 00:00:00,Snagging / Quality,Defect Report,Medium,Phone,2024-07-03 02:28:24,2024-07-04 06:46:54,Resolved,48,True,0,Positive,False,Construction
CAS-00079,CUS-000140,AUR,AUR-P3-B1-00286,2026-03-27 00:00:00,General Inquiry,Amenities,High,In-Person,2026-03-27 00:55:31,2026-03-28 15:33:04,Resolved,24,False,0,Neutral,False,Customer Experience
CAS-00080,CUS-000170,AUR,AUR-P2-B2-00179,2024-12-30 00:00:00,Collections,Installment Amount Query,Low,Phone,2024-12-30 03:21:43,2024-12-30 15:48:37,Resolved,96,True,0,Positive,False,Collections
CAS-00081,CUS-000065,AUR,AUR-P2-B1-00159,2026-06-29 00:00:00,Sales Experience,Response Time,Critical,Email,2026-06-29 00:39:11,2026-06-29 03:14:15,Resolved,4,True,0,Neutral,False,Sales
CAS-00082,CUS-000107,AUR,AUR-P1-B2-00059,2024-12-02 00:00:00,General Inquiry,Resale Process,Low,In-Person,2024-12-02 01:50:36,,Open,96,,0,Positive,False,Customer Experience
CAS-00083,CUS-000096,AUR,AUR-P3-B4-00408,2025-08-07 00:00:00,General Inquiry,Resale Process,Medium,Customer Portal,2025-08-07 01:53:37,2025-08-10 01:07:57,Resolved,48,True,0,Neutral,False,Customer Experience
CAS-00084,CUS-000241,AUR,AUR-P1-B2-00039,2025-12-15 00:00:00,Construction Update,Site Visit Request,Medium,Phone,2025-12-15 02:47:44,2025-12-17 05:36:11,Resolved,48,True,0,Neutral,False,Construction
CAS-00085,CUS-000047,AUR,AUR-P2-B4-00278,2025-04-05 00:00:00,Snagging / Quality,MEP Issue,Medium,In-Person,2025-04-05 01:59:40,2025-04-06 02:31:38,Resolved,48,True,0,Positive,False,Construction
CAS-00086,CUS-000086,AUR,AUR-P3-B3-00358,2024-09-01 00:00:00,Sales Experience,Misrepresentation Concern,Low,Customer Portal,2024-09-01 02:04:06,2024-09-06 01:43:19,Resolved,96,True,0,Neutral,False,Sales
CAS-00087,CUS-000039,AUR,AUR-P2-B1-00163,2025-11-08 00:00:00,Sales Experience,Response Time,Critical,Phone,2025-11-08 01:28:57,2025-11-08 04:41:18,Resolved,4,True,0,Neutral,True,Sales
CAS-00088,CUS-000244,AUR,AUR-P3-B1-00311,2024-08-23 00:00:00,General Inquiry,Resale Process,High,In-Person,2024-08-23 02:45:48,2024-08-23 21:28:29,Resolved,24,True,0,Positive,False,Customer Experience
CAS-00089,CUS-000188,AUR,AUR-P3-B2-00338,2025-09-24 00:00:00,General Inquiry,Amenities,Medium,Email,2025-09-24 01:38:56,2025-09-25 03:31:04,Resolved,48,True,0,Positive,False,Customer Experience
CAS-00090,CUS-000196,AUR,AUR-P2-B1-00154,2025-10-06 00:00:00,Sales Experience,Response Time,Medium,In-Person,2025-10-06 01:05:02,2025-10-08 01:18:34,Resolved,48,True,0,Positive,False,Sales
CAS-00091,CUS-000002,AUR,AUR-P2-B2-00183,2025-10-03 00:00:00,General Inquiry,Amenities,Low,WhatsApp,2025-10-03 01:58:49,2025-10-05 09:11:29,Resolved,96,True,0,Neutral,False,Customer Experience
CAS-00092,CUS-000098,AUR,AUR-P2-B3-00222,2025-11-16 00:00:00,General Inquiry,Amenities,Medium,Phone,2025-11-16 01:07:38,,Open,48,,0,Neutral,False,Customer Experience
CAS-00093,CUS-000180,AUR,AUR-P3-B1-00315,2026-06-07 00:00:00,Construction Update,Site Visit Request,Medium,In-Person,2026-06-07 01:24:27,2026-06-09 02:50:03,Resolved,48,True,0,Neutral,False,Construction
CAS-00094,CUS-000174,AUR,AUR-P1-B2-00037,2024-07-29 00:00:00,Handover,Final Payment Query,Low,Phone,2024-07-29 00:50:20,2024-08-03 15:36:12,Resolved,96,True,0,Positive,False,Customer Experience
CAS-00095,CUS-000189,AUR,AUR-P1-B1-00020,2025-06-10 00:00:00,General Inquiry,Amenities,Low,In-Person,2025-06-10 01:26:17,2025-06-14 11:19:28,Resolved,96,True,0,Positive,False,Customer Experience
CAS-00096,CUS-000072,AUR,AUR-P1-B2-00043,2025-04-01 00:00:00,Snagging / Quality,MEP Issue,Medium,WhatsApp,2025-04-01 01:16:01,2025-04-03 02:51:21,Resolved,48,True,0,Negative,False,Construction
CAS-00097,CUS-000230,AUR,AUR-P3-B4-00401,2024-10-11 00:00:00,Collections,Payment Plan Dispute,Medium,Customer Portal,2024-10-11 01:26:02,2024-10-12 20:54:25,Resolved,48,True,0,Neutral,False,Collections
CAS-00098,CUS-000063,AUR,AUR-P1-B2-00063,2025-10-21 00:00:00,General Inquiry,Amenities,Medium,Phone,2025-10-21 01:07:09,2025-10-21 13:15:13,Resolved,48,True,0,Negative,False,Customer Experience
CAS-00099,CUS-000108,AUR,AUR-P2-B1-00169,2026-03-18 00:00:00,General Inquiry,Amenities,High,WhatsApp,2026-03-18 01:01:12,2026-03-19 16:43:40,Resolved,24,False,0,Negative,False,Customer Experience
CAS-00100,CUS-000166,AUR,AUR-P3-B4-00388,2025-07-20 00:00:00,General Inquiry,Amenities,Low,Phone,2025-07-20 01:03:44,2025-07-23 02:13:33,Resolved,96,True,0,Positive,False,Customer Experience
CAS-00101,CUS-000085,AUR,AUR-P3-B4-00392,2024-09-10 00:00:00,Collections,Payment Plan Dispute,Critical,WhatsApp,2024-09-10 02:56:17,2024-09-10 03:56:17,Resolved,4,True,1,Negative,False,Collections
CAS-00102,CUS-000202,AUR,AUR-P1-B4-00109,2026-03-03 00:00:00,Snagging / Quality,MEP Issue,Low,Phone,2026-03-03 00:27:11,2026-03-03 21:04:13,Resolved,96,True,0,Positive,False,Construction
CAS-00103,CUS-000049,AUR,AUR-P2-B3-00230,2024-08-19 00:00:00,Construction Update,Site Visit Request,Low,In-Person,2024-08-19 02:29:06,2024-08-23 05:32:11,Resolved,96,True,0,Neutral,False,Construction
CAS-00104,CUS-000189,AUR,AUR-P1-B1-00020,2025-03-05 00:00:00,General Inquiry,Resale Process,Low,WhatsApp,2025-03-05 02:01:46,2025-03-10 03:08:18,Resolved,96,True,0,Positive,False,Customer Experience
CAS-00105,CUS-000210,AUR,AUR-P2-B3-00236,2026-06-25 00:00:00,General Inquiry,Resale Process,Medium,Customer Portal,2026-06-25 01:54:23,2026-06-25 12:49:12,Resolved,48,True,0,Positive,False,Customer Experience
CAS-00106,CUS-000126,AUR,AUR-P1-B2-00049,2026-06-09 00:00:00,Snagging / Quality,MEP Issue,Medium,Phone,2026-06-09 03:21:41,2026-06-09 16:08:31,Resolved,48,True,0,Negative,False,Construction
CAS-00107,CUS-000091,AUR,AUR-P1-B3-00099,2025-10-16 00:00:00,Sales Experience,Communication Quality,Medium,WhatsApp,2025-10-16 00:46:40,2025-10-17 09:15:12,Resolved,48,True,0,Negative,False,Sales
CAS-00108,CUS-000249,AUR,AUR-P2-B2-00185,2024-12-14 00:00:00,General Inquiry,Resale Process,Medium,Phone,2024-12-14 02:20:47,2024-12-16 06:53:49,Resolved,48,True,0,Negative,False,Customer Experience
CAS-00109,CUS-000183,AUR,AUR-P2-B3-00239,2025-10-03 00:00:00,General Inquiry,Resale Process,Medium,Customer Portal,2025-10-03 00:58:27,2025-10-04 17:17:30,Resolved,48,True,0,Neutral,False,Customer Experience
CAS-00110,CUS-000145,AUR,AUR-P3-B3-00377,2025-02-13 00:00:00,Sales Experience,Communication Quality,High,WhatsApp,2025-02-13 00:50:55,,Open,24,,0,Negative,False,Sales
CAS-00111,CUS-000045,AUR,AUR-P1-B2-00038,2025-09-29 00:00:00,General Inquiry,Resale Process,Medium,WhatsApp,2025-09-29 00:56:10,,Open,48,,0,Neutral,False,Customer Experience
CAS-00112,CUS-000101,AUR,AUR-P3-B3-00362,2024-12-05 00:00:00,Construction Update,Site Visit Request,High,WhatsApp,2024-12-05 02:33:44,,Open,24,,0,Neutral,True,Construction
CAS-00113,CUS-000234,AUR,AUR-P1-B1-00003,2026-02-12 00:00:00,Sales Experience,Communication Quality,Medium,WhatsApp,2026-02-12 01:52:47,2026-02-15 04:49:07,Resolved,48,False,0,Negative,False,Sales
CAS-00114,CUS-000035,AUR,AUR-P2-B2-00192,2025-04-10 00:00:00,Snagging / Quality,MEP Issue,Medium,Phone,2025-04-10 01:34:30,2025-04-11 16:35:06,Resolved,48,True,0,Neutral,False,Construction
CAS-00115,CUS-000134,AUR,AUR-P2-B1-00152,2026-05-06 00:00:00,Handover,Final Payment Query,High,Customer Portal,2026-05-06 01:54:57,2026-05-06 20:51:46,Resolved,24,True,1,Neutral,False,Customer Experience
CAS-00116,CUS-000186,AUR,AUR-P2-B3-00229,2025-01-13 00:00:00,Collections,Installment Amount Query,High,Email,2025-01-13 01:56:03,,Open,24,,0,Negative,True,Collections
CAS-00117,CUS-000026,AUR,AUR-P2-B3-00231,2024-07-25 00:00:00,Snagging / Quality,Finishing Quality,Critical,In-Person,2024-07-25 01:54:33,2024-07-25 07:16:56,Resolved,4,True,0,Negative,False,Construction
CAS-00118,CUS-000236,AUR,AUR-P2-B4-00269,2026-02-13 00:00:00,General Inquiry,Amenities,High,Customer Portal,2026-02-13 00:20:18,2026-02-14 22:52:22,Resolved,24,False,1,Positive,True,Customer Experience
CAS-00119,CUS-000027,AUR,AUR-P2-B2-00186,2025-12-28 00:00:00,Sales Experience,Response Time,High,WhatsApp,2025-12-28 01:50:26,2025-12-28 21:53:06,Resolved,24,True,0,Neutral,False,Sales
CAS-00120,CUS-000056,AUR,AUR-P3-B2-00343,2026-05-28 00:00:00,Collections,Late Fee Dispute,Critical,Customer Portal,2026-05-28 00:31:45,2026-05-28 02:24:16,Resolved,4,True,0,Negative,True,Collections
CAS-00121,CUS-000062,AUR,AUR-P3-B4-00404,2025-04-20 00:00:00,Sales Experience,Misrepresentation Concern,Medium,Phone,2025-04-20 01:12:49,2025-04-21 08:00:00,Resolved,48,True,0,Positive,False,Sales
CAS-00122,CUS-000229,AUR,AUR-P1-B4-00118,2025-08-14 00:00:00,Collections,Installment Amount Query,Low,Phone,2025-08-14 00:05:00,2025-08-18 03:48:10,Resolved,96,True,0,Positive,False,Collections
