unit_id,project_id,phase,building,floor,unit_type,bedrooms,built_up_area_sqm,garden_area_sqm,terrace_area_sqm,view_type,list_price,price_per_sqm,release_date,unit_status,reservation_date,contract_date,cancellation_date,buyer_id,broker_id,sales_agent_id,discount_pct,net_contract_value,payment_plan_years,down_payment_pct,expected_handover_date,forecast_handover_date,construction_completion_pct,days_on_market,availability_bucket
AUR-P1-B1-00011,AUR,Phase 1,Building A,2,Apartment,2,122.9,0.0,12.0,Skyline View,7986656.5,64985.0,2024-10-19,contracted,2025-07-05,2025-07-14,,CUS-000138,,AGT-002,2.2,7810950.06,3,18.1,2027-03-31,2027-03-31,54.0,259,181-365 days
AUR-P1-B1-00012,AUR,Phase 1,Building A,5,Apartment,2,154.6,2.3,0.0,Street View,8373290.6,54161.0,2024-08-17,contracted,2026-03-29,2026-04-09,,CUS-000191,,AGT-003,3.3,8096972.01,3,19.9,2027-03-31,2027-03-31,54.0,589,365+ days
AUR-P1-B1-00013,AUR,Phase 1,Building A,11,Apartment,3,98.7,0.0,10.7,Skyline View,6627310.2,67146.0,2024-01-31,contracted,2024-07-27,2024-08-19,,CUS-000179,,AGT-008,5.8,6242926.21,6,20.9,2027-03-31,2027-03-31,54.0,178,91-180 days
AUR-P1-B1-00014,AUR,Phase 1,Building A,7,Apartment,2,221.6,35.4,0.0,Street View,11355005.6,51241.0,2024-09-29,contracted,2024-12-21,2025-01-13,,CUS-000248,,AGT-010,3.5,10957580.4,5,16.6,2027-03-31,2027-03-31,54.0,83,31-90 days
AUR-P1-B1-00015,AUR,Phase 1,Building A,13,Duplex,5,116.9,0.0,24.6,Garden View,7373350.6,63074.0,2024-07-12,available,,,,,,,,,,,,,54.0,718,365+ days
AUR-P1-B1-00016,AUR,Phase 1,Building A,12,Apartment,4,97.1,0.0,0.0,Skyline View,5373319.8,55338.0,2024-01-25,available,,,,,,,,,,,,,54.0,887,365+ days
AUR-P1-B1-00017,AUR,Phase 1,Building A,2,Apartment,2,147.7,20.8,0.0,Pool View,8405163.9,56907.0,2024-10-24,contracted,2025-07-05,2025-07-16,,CUS-000211,BRK-01,AGT-003,3.1,8144603.82,4,20.3,2027-03-31,2027-03-31,54.0,254,181-365 days
AUR-P1-B1-00018,AUR,Phase 1,Building A,14,Apartment,2,159.4,0.0,19.5,Skyline View,10410414.0,65310.0,2024-08-19,available,,,,,,,,,,,,,54.0,680,365+ days
AUR-P1-B1-00019,AUR,Phase 1,Building A,6,Apartment,4,222.3,0.0,0.0,Street View,9733850.1,43787.0,2024-03-14,contracted,2024-10-26,2024-11-23,,CUS-000013,,AGT-010,2.4,9500237.7,4,18.2,2027-03-31,2027-03-31,54.0,226,181-365 days
AUR-P1-B1-00020,AUR,Phase 1,Building A,14,Apartment,3,131.4,0.0,0.0,Skyline View,7968621.6,60644.0,2024-02-08,contracted,2024-12-13,2025-01-15,,CUS-000189,,AGT-010,4.5,7610033.63,5,15.6,2027-03-31,2027-03-31,54.0,309,181-365 days
AUR-P1-B1-00021,AUR,Phase 1,Building A,0,Villa,4,375.6,144.9,22.0,Pool View,17854521.6,47536.0,2024-04-09,contracted,2026-06-19,2026-06-20,,CUS-000033,,AGT-009,3.3,17265322.39,6,21.6,2027-03-31,2027-03-31,54.0,801,365+ days
AUR-P1-B1-00022,AUR,Phase 1,Building A,5,Duplex,5,111.3,0.0,21.1,Garden View,6582393.3,59141.0,2024-04-01,available,,,,,,,,,,,,,54.0,820,365+ days
AUR-P1-B1-00023,AUR,Phase 1,Building A,0,Apartment,4,186.1,0.0,9.4,Skyline View,9807283.9,52699.0,2024-08-18,contracted,2024-11-06,2024-11-28,,CUS-000095,,AGT-009,5.2,9297305.14,4,23.3,2027-03-31,2027-03-31,54.0,80,31-90 days
AUR-P1-B1-00024,AUR,Phase 1,Building A,13,Duplex,5,111.4,0.0,0.0,Courtyard View,7220948.0,64820.0,2024-06-06,available,,,,,,,,,,,,,54.0,754,365+ days
AUR-P1-B1-00025,AUR,Phase 1,Building A,3,Apartment,4,99.4,15.2,12.1,Pool View,5640254.2,56743.0,2024-01-10,available,,,,,,,,,,,,,54.0,902,365+ days
AUR-P1-B1-00026,AUR,Phase 1,Building A,9,Apartment,3,193.3,18.6,0.0,Street View,10824413.4,55998.0,2024-09-01,available,,,,,,,,,,,,,54.0,667,365+ days
AUR-P1-B1-00027,AUR,Phase 1,Building A,13,Apartment,3,122.7,0.0,25.6,Garden View,8216237.4,66962.0,2024-09-14,contracted,2025-07-07,2025-07-10,,CUS-000116,BRK-07,AGT-004,4.4,7854722.95,3,19.7,2027-03-31,2027-03-31,54.0,296,181-365 days
AUR-P1-B1-00028,AUR,Phase 1,Building A,9,Apartment,2,141.1,37.6,0.0,Street View,7077152.7,50157.0,2024-09-17,cancelled,2025-10-09,2025-10-28,2025-12-01,CUS-000227,,AGT-005,5.1,6716217.91,3,17.7,2027-03-31,2027-03-31,54.0,387,365+ days
AUR-P1-B1-00029,AUR,Phase 1,Building A,3,Apartment,4,206.2,0.0,20.6,Skyline View,12084763.4,58607.0,2024-07-02,contracted,2025-10-11,2025-10-26,,CUS-000088,,AGT-003,2.1,11830983.37,6,22.6,2027-03-31,2027-03-31,54.0,466,365+ days
AUR-P1-B1-00030,AUR,Phase 1,Building A,1,Duplex,3,186.6,0.0,0.0,Pool View,9424419.6,50506.0,2024-08-05,available,,,,,,,,,,,,,54.0,694,365+ days
AUR-P1-B1-00031,AUR,Phase 1,Building A,0,Villa,6,318.8,88.5,46.0,Street View,15169141.6,47582.0,2024-02-17,available,,,,,,,,,,,,,54.0,864,365+ days
AUR-P1-B1-00032,AUR,Phase 1,Building A,0,Villa,6,340.7,226.1,46.3,Street View,15205100.3,44629.0,2024-04-23,contracted,2025-09-03,2025-09-25,,CUS-000057,,AGT-005,3.7,14642511.59,4,24.2,2027-03-31,2027-03-31,54.0,498,365+ days
AUR-P1-B1-00033,AUR,Phase 1,Building A,4,Apartment,3,191.1,0.0,16.2,Skyline View,10706950.8,56028.0,2024-03-04,contracted,2024-08-02,2024-08-27,,CUS-000223,,AGT-008,4.5,10225138.01,6,21.8,2027-03-31,2027-03-31,54.0,151,91-180 days
AUR-P1-B1-00034,AUR,Phase 1,Building A,2,Apartment,2,161.3,45.2,14.6,Courtyard View,7099780.8,44016.0,2024-08-18,available,,,,,,,,,,,,,54.0,681,365+ days
AUR-P1-B1-00035,AUR,Phase 1,Building A,7,Apartment,2,113.9,54.4,14.7,Courtyard View,7250076.7,63653.0,2024-07-05,available,,,,,,,,,,,,,54.0,725,365+ days
AUR-P1-B2-00036,AUR,Phase 1,Building B,9,Apartment,2,223.2,0.0,0.0,Garden View,9936194.4,44517.0,2024-08-07,reserved,2026-06-01,,,CUS-000171,,AGT-005,2.7,9667917.15,4,16.9,2027-03-31,2027-03-31,54.0,663,365+ days
AUR-P1-B2-00037,AUR,Phase 1,Building B,12,Duplex,5,192.8,0.0,19.4,Pool View,11894603.2,61694.0,2024-02-26,contracted,2026-06-14,2026-06-24,,CUS-000174,,AGT-003,5.7,11216610.82,6,20.5,2027-03-31,2027-03-31,54.0,839,365+ days
AUR-P1-B2-00038,AUR,Phase 1,Building B,6,Apartment,2,203.5,0.0,12.1,Garden View,12777358.0,62788.0,2024-07-12,contracted,2026-01-16,2026-02-13,,CUS-000045,,AGT-003,3.5,12330150.47,5,21.3,2027-03-31,2027-03-31,54.0,553,365+ days
AUR-P1-B2-00039,AUR,Phase 1,Building B,0,Villa,6,505.4,349.8,51.1,Skyline View,26417258.0,52270.0,2024-04-02,reserved,2026-04-17,,,CUS-000241,,AGT-003,4.3,25281315.91,4,23.3,2027-03-31,2027-03-31,54.0,745,365+ days
AUR-P1-B2-00040,AUR,Phase 1,Building B,11,Apartment,4,204.9,0.0,16.3,Garden View,10842078.6,52914.0,2024-05-22,available,,,,,,,,,,,,,54.0,769,365+ days
AUR-P1-B2-00041,AUR,Phase 1,Building B,8,Duplex,4,151.2,0.0,0.0,Courtyard View,7850001.6,51918.0,2024-01-08,contracted,2025-05-04,2025-05-21,,CUS-000082,BRK-04,AGT-003,5.2,7441801.52,6,24.6,2027-03-31,2027-03-31,54.0,482,365+ days
AUR-P1-B2-00042,AUR,Phase 1,Building B,0,Villa,5,313.1,323.3,59.7,Pool View,14355008.8,45848.0,2024-04-25,available,,,,,,,,,,,,,54.0,796,365+ days
AUR-P1-B2-00043,AUR,Phase 1,Building B,2,Duplex,5,228.5,5.5,0.0,Street View,10290726.0,45036.0,2024-02-21,contracted,2025-07-10,2025-08-17,,CUS-000072,,AGT-010,3.5,9930550.59,5,18.1,2027-03-31,2027-03-31,54.0,505,365+ days
AUR-P1-B2-00044,AUR,Phase 1,Building B,3,Apartment,3,203.8,54.9,24.9,Garden View,8917880.4,43758.0,2024-05-21,available,,,,,,,,,,,,,54.0,770,365+ days
AUR-P1-B2-00045,AUR,Phase 1,Building B,4,Apartment,2,140.3,0.0,9.2,Pool View,9523423.7,67879.0,2024-09-25,cancelled,2026-05-04,2026-05-16,2026-06-30,CUS-000042,,AGT-006,5.1,9037729.09,6,16.4,2027-03-31,2027-03-31,54.0,586,365+ days
AUR-P1-B2-00046,AUR,Phase 1,Building B,2,Apartment,4,152.1,7.5,19.1,Street View,6875072.1,45201.0,2024-02-21,available,,,,,,,,,,,,,54.0,860,365+ days
AUR-P1-B2-00047,AUR,Phase 1,Building B,12,Apartment,4,121.6,0.0,19.6,Skyline View,6001811.2,49357.0,2024-06-03,available,,,,,,,,,,,,,54.0,757,365+ days
AUR-P1-B2-00048,AUR,Phase 1,Building B,3,Apartment,3,152.4,0.0,0.0,Pool View,7111593.6,46664.0,2024-02-09,available,,,,,,,,,,,,,54.0,872,365+ days
AUR-P1-B2-00049,AUR,Phase 1,Building B,0,Villa,4,506.0,153.8,58.8,Street View,23985918.0,47403.0,2024-08-09,contracted,2026-02-26,2026-03-26,,CUS-000126,,AGT-005,2.9,23290326.38,4,23.2,2027-03-31,2027-03-31,54.0,566,365+ days
AUR-P1-B2-00050,AUR,Phase 1,Building B,13,Apartment,3,100.9,36.0,13.2,Courtyard View,5457882.8,54092.0,2024-09-14,contracted,2024-09-03,2024-09-27,,CUS-000131,,AGT-007,3.3,5277772.67,3,22.2,2027-03-31,2027-03-31,54.0,0,0-30 days
AUR-P1-B2-00051,AUR,Phase 1,Building B,12,Duplex,5,205.4,0.0,0.0,Skyline View,12266077.2,59718.0,2024-10-20,contracted,2025-04-19,2025-05-04,,CUS-000064,BRK-13,AGT-005,4.9,11665039.42,5,15.1,2027-03-31,2027-03-31,54.0,181,181-365 days
AUR-P1-B2-00052,AUR,Phase 1,Building B,2,Apartment,2,204.7,55.2,15.2,Garden View,13582459.1,66353.0,2024-06-27,contracted,2026-04-23,2026-05-12,,CUS-000053,,AGT-001,3.1,13161402.87,3,24.4,2027-03-31,2027-03-31,54.0,665,365+ days
AUR-P1-B2-00053,AUR,Phase 1,Building B,1,Apartment,2,235.0,0.0,0.0,Courtyard View,11592550.0,49330.0,2024-06-24,contracted,2025-05-14,2025-05-15,,CUS-000066,,AGT-009,3.6,11175218.2,6,24.8,2027-03-31,2027-03-31,54.0,324,181-365 days
AUR-P1-B2-00054,AUR,Phase 1,Building B,9,Duplex,5,232.8,0.0,23.2,Pool View,14831920.8,63711.0,2024-08-04,available,,,,,,,,,,,,,54.0,695,365+ days
AUR-P1-B2-00055,AUR,Phase 1,Building B,3,Duplex,4,175.0,0.0,24.0,Courtyard View,7420175.0,42401.0,2024-07-16,contracted,2026-01-01,2026-01-12,,CUS-000231,,AGT-007,2.3,7249510.98,6,19.2,2027-03-31,2027-03-31,54.0,534,365+ days
AUR-P1-B2-00056,AUR,Phase 1,Building B,6,Apartment,3,199.5,0.0,0.0,Street View,8818698.0,44204.0,2024-10-14,available,,,,,,,,,,,,,54.0,624,365+ days
AUR-P1-B2-00057,AUR,Phase 1,Building B,13,Apartment,2,100.7,0.0,0.0,Garden View,5671323.3,56319.0,2024-08-17,contracted,2024-12-03,2024-12-20,,CUS-000217,,AGT-010,3.8,5455813.01,6,16.7,2027-03-31,2027-03-31,54.0,108,91-180 days
AUR-P1-B2-00058,AUR,Phase 1,Building B,3,Apartment,2,123.4,0.0,18.0,Skyline View,7589963.8,61507.0,2024-10-08,contracted,2026-02-25,2026-03-26,,CUS-000235,,AGT-004,5.0,7210465.61,5,24.9,2027-03-31,2027-03-31,54.0,505,365+ days
AUR-P1-B2-00059,AUR,Phase 1,Building B,12,Apartment,3,162.5,0.0,0.0,Skyline View,9689875.0,59630.0,2024-07-15,reserved,2024-12-31,,,CUS-000107,,AGT-006,2.9,9408868.62,4,21.1,2027-03-31,2027-03-31,54.0,169,91-180 days
AUR-P1-B2-00060,AUR,Phase 1,Building B,8,Apartment,2,152.4,0.0,18.3,Street View,9394240.8,61642.0,2024-09-22,available,,,,,,,,,,,,,54.0,646,365+ days
AUR-P1-B2-00061,AUR,Phase 1,Building B,12,Apartment,2,150.2,0.0,0.0,Skyline View,8055226.0,53630.0,2024-08-15,contracted,2026-04-13,2026-05-12,,CUS-000110,,AGT-004,3.8,7749127.41,6,24.0,2027-03-31,2027-03-31,54.0,606,365+ days
AUR-P1-B2-00062,AUR,Phase 1,Building B,5,Apartment,4,219.7,0.0,22.6,Street View,13098294.3,59619.0,2024-03-15,contracted,2025-12-14,2026-01-12,,CUS-000040,BRK-08,AGT-006,5.9,12325494.94,3,16.3,2027-03-31,2027-03-31,54.0,639,365+ days
AUR-P1-B2-00063,AUR,Phase 1,Building B,2,Apartment,2,137.4,25.8,0.0,Street View,7030208.4,51166.0,2024-04-05,contracted,2025-02-03,2025-02-10,,CUS-000063,,AGT-002,2.2,6875543.82,4,15.1,2027-03-31,2027-03-31,54.0,304,181-365 days
AUR-P1-B2-00064,AUR,Phase 1,Building B,8,Apartment,2,232.4,0.0,13.9,Street View,15104605.6,64994.0,2024-04-02,cancelled,2025-04-20,2025-05-18,2025-06-29,CUS-000250,,AGT-008,5.1,14334270.71,4,24.0,2027-03-31,2027-03-31,54.0,383,365+ days
AUR-P1-B2-00065,AUR,Phase 1,Building B,1,Duplex,3,220.7,29.7,17.2,Courtyard View,14020850.3,63529.0,2024-05-19,available,,,,,,,,,,,,,54.0,772,365+ days
AUR-P1-B2-00066,AUR,Phase 1,Building B,11,Apartment,4,161.4,0.0,12.4,Skyline View,8107283.4,50231.0,2024-06-04,available,,,,,,,,,,,,,54.0,756,365+ days
AUR-P1-B2-00067,AUR,Phase 1,Building B,0,Duplex,4,201.3,0.0,9.4,Pool View,12028882.8,59756.0,2024-06-23,reserved,2025-11-24,,,CUS-000118,BRK-12,AGT-008,5.5,11367294.25,4,18.6,2027-03-31,2027-03-31,54.0,519,365+ days
AUR-P1-B2-00068,AUR,Phase 1,Building B,5,Apartment,3,187.4,28.6,21.9,Courtyard View,8860646.8,47282.0,2024-01-22,contracted,2026-05-02,2026-05-19,,CUS-000022,,AGT-009,4.1,8497360.28,6,17.4,2027-03-31,2027-03-31,54.0,831,365+ days
AUR-P1-B2-00069,AUR,Phase 1,Building B,4,Apartment,4,132.2,25.4,0.0,Garden View,7991357.8,60449.0,2024-08-31,available,,,,,,,,,,,,,54.0,668,365+ days
AUR-P1-B2-00070,AUR,Phase 1,Building B,4,Apartment,2,206.4,0.0,0.0,Skyline View,12191222.4,59066.0,2024-06-27,available,,,,,,,,,,,,,54.0,733,365+ days
AUR-P1-B3-00071,AUR,Phase 1,Building C,11,Duplex,4,144.9,26.3,11.1,Skyline View,7748527.5,53475.0,2024-03-09,contracted,2024-10-10,2024-10-15,,CUS-000252,,AGT-006,3.0,7516071.67,6,24.1,2027-03-31,2027-03-31,54.0,215,181-365 days
AUR-P1-B3-00072,AUR,Phase 1,Building C,2,Apartment,4,120.2,57.7,12.0,Street View,5564178.2,46291.0,2024-10-15,reserved,2025-06-14,,,CUS-000142,,AGT-006,2.6,5419509.57,3,17.1,2027-03-31,2027-03-31,54.0,242,181-365 days
AUR-P1-B3-00073,AUR,Phase 1,Building C,6,Apartment,2,118.6,47.5,21.6,Street View,6234090.4,52564.0,2024-09-05,available,,,,,,,,,,,,,54.0,663,365+ days
AUR-P1-B3-00074,AUR,Phase 1,Building C,2,Duplex,5,229.0,0.0,0.0,Skyline View,9912494.0,43286.0,2024-01-07,available,,,,,,,,,,,,,54.0,905,365+ days
AUR-P1-B3-00075,AUR,Phase 1,Building C,11,Apartment,3,126.0,0.0,0.0,Pool View,5666598.0,44973.0,2024-03-23,available,,,,,,,,,,,,,54.0,829,365+ days
AUR-P1-B3-00076,AUR,Phase 1,Building C,12,Apartment,4,227.7,0.0,0.0,Skyline View,13506253.2,59316.0,2024-08-26,contracted,2026-05-02,2026-05-10,,CUS-000212,BRK-11,AGT-006,3.5,13033534.34,3,23.5,2027-03-31,2027-03-31,54.0,614,365+ days
AUR-P1-B3-00077,AUR,Phase 1,Building C,14,Apartment,2,183.1,30.8,23.9,Street View,10993690.2,60042.0,2024-06-29,available,,,,,,,,,,,,,54.0,731,365+ days
AUR-P1-B3-00078,AUR,Phase 1,Building C,11,Duplex,5,143.8,7.9,14.7,Courtyard View,7712713.0,53635.0,2024-06-15,contracted,2024-10-23,2024-11-25,,CUS-000226,,AGT-006,2.9,7489044.32,4,25.0,2027-03-31,2027-03-31,54.0,130,91-180 days
AUR-P1-B3-00079,AUR,Phase 1,Building C,13,Apartment,3,193.7,0.0,8.1,Pool View,12098695.7,62461.0,2024-10-11,available,,,,,,,,,,,,,54.0,627,365+ days
AUR-P1-B3-00080,AUR,Phase 1,Building C,11,Apartment,2,194.5,16.1,0.0,Skyline View,9526999.0,48982.0,2024-08-03,cancelled,2025-06-11,2025-06-12,2025-07-05,CUS-000083,,AGT-002,4.3,9117338.04,5,22.3,2027-03-31,2027-03-31,54.0,312,181-365 days
AUR-P1-B3-00081,AUR,Phase 1,Building C,12,Apartment,2,112.1,0.0,20.1,Garden View,7175745.2,64012.0,2024-05-31,contracted,2025-06-15,2025-06-23,,CUS-000137,,AGT-008,5.4,6788254.96,6,21.1,2027-03-31,2027-03-31,54.0,380,365+ days
AUR-P1-B3-00082,AUR,Phase 1,Building C,11,Apartment,4,183.2,37.7,27.0,Skyline View,9089651.2,49616.0,2024-08-04,contracted,2026-01-07,2026-02-13,,CUS-000015,,AGT-008,5.0,8635168.64,4,18.5,2027-03-31,2027-03-31,54.0,521,365+ days
AUR-P1-B3-00083,AUR,Phase 1,Building C,11,Apartment,2,149.8,0.0,0.0,Garden View,7800835.0,52075.0,2024-02-04,available,,,,,,,,,,,,,54.0,877,365+ days
AUR-P1-B3-00084,AUR,Phase 1,Building C,0,Villa,5,329.1,313.9,31.1,Garden View,17837549.1,54201.0,2024-08-02,available,,,,,,,,,,,,,54.0,697,365+ days
AUR-P1-B3-00085,AUR,Phase 1,Building C,10,Apartment,4,136.8,4.6,14.0,Skyline View,6360789.6,46497.0,2024-01-18,contracted,2025-06-07,2025-06-09,,CUS-000076,,AGT-009,2.9,6176326.7,6,18.9,2027-03-31,2027-03-31,54.0,506,365+ days
AUR-P1-B3-00086,AUR,Phase 1,Building C,7,Apartment,3,202.1,0.0,20.6,Pool View,11150867.5,55175.0,2024-01-21,available,,,,,,,,,,,,,54.0,891,365+ days
AUR-P1-B3-00087,AUR,Phase 1,Building C,0,Villa,4,393.8,337.5,22.7,Courtyard View,22629717.0,57465.0,2024-05-14,reserved,2024-10-22,,,CUS-000016,,AGT-004,4.7,21566120.3,3,21.9,2027-03-31,2027-03-31,54.0,161,91-180 days
AUR-P1-B3-00088,AUR,Phase 1,Building C,0,Duplex,3,170.6,0.0,0.0,Pool View,7490022.4,43904.0,2024-04-24,available,,,,,,,,,,,,,54.0,797,365+ days
AUR-P1-B3-00089,AUR,Phase 1,Building C,7,Duplex,4,160.7,0.0,8.9,Garden View,8388057.9,52197.0,2024-01-02,contracted,2025-07-07,2025-08-03,,CUS-000240,,AGT-007,2.1,8211908.68,5,24.0,2027-03-31,2027-03-31,54.0,552,365+ days
AUR-P1-B3-00090,AUR,Phase 1,Building C,8,Apartment,2,233.3,0.0,0.0,Street View,11761586.2,50414.0,2024-07-03,contracted,2025-03-28,2025-04-26,,CUS-000209,,AGT-010,2.7,11444023.37,3,17.0,2027-03-31,2027-03-31,54.0,268,181-365 days
AUR-P1-B3-00091,AUR,Phase 1,Building C,8,Duplex,5,211.4,0.0,20.8,Garden View,11577109.6,54764.0,2024-02-23,contracted,2025-09-15,2025-10-14,,CUS-000089,,AGT-006,3.4,11183487.87,6,22.9,2027-03-31,2027-03-31,54.0,570,365+ days
AUR-P1-B3-00092,AUR,Phase 1,Building C,12,Apartment,4,114.6,0.0,0.0,Pool View,6013978.8,52478.0,2024-05-03,available,,,,,,,,,,,,,54.0,788,365+ days
AUR-P1-B3-00093,AUR,Phase 1,Building C,8,Apartment,4,194.6,0.0,26.0,Garden View,12847492.0,66020.0,2024-07-01,available,,,,,,,,,,,,,54.0,729,365+ days
AUR-P1-B3-00094,AUR,Phase 1,Building C,2,Apartment,4,218.1,0.0,15.3,Street View,10251790.5,47005.0,2024-05-27,available,,,,,,,,,,,,,54.0,764,365+ days
AUR-P1-B3-00095,AUR,Phase 1,Building C,0,Villa,6,321.1,235.8,41.0,Street View,19710081.3,61383.0,2024-01-20,contracted,2025-12-28,2026-01-11,,CUS-000242,,AGT-010,5.3,18665446.99,3,19.7,2027-03-31,2027-03-31,54.0,708,365+ days
AUR-P1-B3-00096,AUR,Phase 1,Building C,6,Apartment,3,146.3,0.0,0.0,Pool View,6587157.5,45025.0,2024-08-31,reserved,2025-08-08,,,CUS-000151,,AGT-005,4.3,6303909.73,4,24.6,2027-03-31,2027-03-31,54.0,342,181-365 days
AUR-P1-B3-00097,AUR,Phase 1,Building C,3,Duplex,3,96.8,0.0,18.0,Street View,5731140.8,59206.0,2024-06-01,available,,,,,,,,,,,,,54.0,759,365+ days
AUR-P1-B3-00098,AUR,Phase 1,Building C,6,Apartment,2,136.3,13.0,18.2,Skyline View,6987964.7,51269.0,2024-06-25,contracted,2026-05-07,2026-06-02,,CUS-000020,,AGT-007,2.8,6792301.69,4,24.0,2027-03-31,2027-03-31,54.0,681,365+ days
AUR-P1-B3-00099,AUR,Phase 1,Building C,12,Apartment,2,143.0,0.0,16.9,Pool View,8812947.0,61629.0,2024-05-01,contracted,2025-06-21,2025-07-11,,CUS-000091,,AGT-006,3.9,8469242.07,6,16.9,2027-03-31,2027-03-31,54.0,416,365+ days
AUR-P1-B3-00100,AUR,Phase 1,Building C,0,Villa,6,354.5,315.5,30.1,Street View,16175126.0,45628.0,2024-10-20,cancelled,2026-01-11,2026-02-01,2026-03-25,CUS-000048,BRK-04,AGT-001,4.3,15479595.58,3,24.0,2027-03-31,2027-03-31,54.0,448,365+ days
AUR-P1-B3-00101,AUR,Phase 1,Building C,14,Apartment,4,116.2,0.0,10.9,Skyline View,7818981.8,67289.0,2024-02-27,available,,,,,,,,,,,,,54.0,854,365+ days
AUR-P1-B3-00102,AUR,Phase 1,Building C,13,Apartment,2,109.9,19.9,0.0,Courtyard View,4710204.1,42859.0,2024-04-26,available,,,,,,,,,,,,,54.0,795,365+ days
AUR-P1-B3-00103,AUR,Phase 1,Building C,1,Apartment,4,177.4,0.0,24.2,Courtyard View,10580845.6,59644.0,2024-07-05,available,,,,,,,,,,,,,54.0,725,365+ days
AUR-P1-B3-00104,AUR,Phase 1,Building C,12,Apartment,4,154.6,0.0,0.0,Pool View,10480643.2,67792.0,2024-05-26,contracted,2026-05-19,2026-06-05,,CUS-000199,,AGT-003,3.3,10134781.97,4,22.1,2027-03-31,2027-03-31,54.0,723,365+ days
AUR-P1-B3-00105,AUR,Phase 1,Building C,14,Apartment,2,232.1,0.0,0.0,Pool View,12197551.3,52553.0,2024-08-13,cancelled,2025-07-17,2025-08-14,2025-10-13,CUS-000050,,AGT-001,2.6,11880414.97,4,22.4,2027-03-31,2027-03-31,54.0,338,181-365 days
AUR-P1-B4-00106,AUR,Phase 1,Building D,7,Duplex,3,160.0,0.0,11.1,Skyline View,6973920.0,43587.0,2024-09-07,contracted,2025-05-20,2025-06-17,,CUS-000207,,AGT-007,2.8,6778650.24,4,20.9,2027-03-31,2027-03-31,54.0,255,181-365 days
AUR-P1-B4-00107,AUR,Phase 1,Building D,10,Apartment,3,211.3,14.0,14.7,Pool View,13053691.4,61778.0,2024-07-26,reserved,2026-04-19,,,CUS-000094,,AGT-002,3.6,12583758.51,6,22.9,2027-03-31,2027-03-31,54.0,632,365+ days
AUR-P1-B4-00108,AUR,Phase 1,Building D,9,Apartment,2,122.1,41.8,0.0,Skyline View,6068980.5,49705.0,2024-05-26,available,,,,,,,,,,,,,54.0,765,365+ days
